osmid,x,y,ref,highway
49457666,-76.5548585,39.3599584,,
49457668,-76.5533587,39.3590665,,
49457670,-76.5522424,39.3583999,,
49458377,-76.553399,39.357149,,
49458392,-76.5508317,39.3565122,,
49458398,-76.5498675,39.3562445,,
49458400,-76.5488813,39.3559746,,
49458402,-76.5479957,39.3557338,,
49458412,-76.5469348,39.3557658,,
49458413,-76.545776,39.355828,,
49458415,-76.5444584,39.355898,,
49458418,-76.5555616,39.3591482,,
49458419,-76.5541199,39.3582872,,
49458421,-76.5530066,39.3576262,,
49461877,-76.5471749,39.3570856,,
49461895,-76.5465261,39.3585078,,
49461900,-76.5451776,39.3608425,,
49461902,-76.5451199,39.3609382,,
49467000,-76.5490348,39.3623607,,
49469311,-76.549378,39.357912,,
49469312,-76.549903,39.358224,,
49469313,-76.5489906,39.3597689,,
49469314,-76.5483087,39.3609233,,
49469315,-76.5477925,39.3617969,,
49469316,-76.5477381,39.3618896,,
49473805,-76.5577292,39.3566215,,traffic_signals
49479260,-76.5478756,39.354908,,
49479274,-76.5481833,39.356748,,
49479281,-76.548279,39.357221,,
49488326,-76.554809,39.362951,,
49488328,-76.553877,39.362547,,
49488329,-76.5529744,39.3621585,,
49488341,-76.5526304,39.3625373,,
49493001,-76.5530632,39.3636854,,
49493002,-76.5530046,39.3637624,,
49495985,-76.5461448,39.3566552,,
49496013,-76.5455365,39.3581573,,
49496026,-76.544187,39.360481,,traffic_signals
49496029,-76.544112,39.360572,,traffic_signals
49497968,-76.5487877,39.3575412,,
49497978,-76.547712,39.35921,,
49497982,-76.546486,39.3613201,,
49497984,-76.5464312,39.3614147,,
49505367,-76.5542279,39.3606937,,
49505369,-76.5541688,39.3607635,,
49505382,-76.5509713,39.358852,,
49505385,-76.5504125,39.358524,,
49505407,-76.54784,39.357061,,
49510938,-76.5548983,39.3575304,,
49512858,-76.5493951,39.3552743,,
49520552,-76.5533678,39.3616901,,
49520716,-76.5536302,39.3614005,,
49520728,-76.5449811,39.3579678,,
49525794,-76.554533,39.356595,,
49529085,-76.5445885,39.3567436,,
49529792,-76.55545,39.359277,,
49546262,-76.554055,39.363991,,
49546264,-76.554002,39.364064,,
49546271,-76.5548463,39.3643413,,
49548437,-76.5560454,39.3585785,,traffic_signals
49548441,-76.556257,39.358343,,
49557315,-76.5571548,39.3572587,,
49562348,-76.54305,39.360051,,
49562350,-76.542985,39.36016,,
49567519,-76.5519435,39.3633119,,traffic_signals
49567535,-76.556842,39.3648857,,
49567844,-76.5518633,39.3633885,,traffic_signals
1201291906,-76.5548954,39.3642559,,
1359953095,-76.5482361,39.3570363,,
1616716280,-76.5542653,39.3571362,,
1616716281,-76.5543785,39.3572096,,
2281733663,-76.5527179,39.3574503,,
3181905897,-76.5490855,39.3622688,,
4604257809,-76.5518412,39.357142,,
4604257810,-76.5516553,39.3570641,,
5270873692,-76.5567941,39.3649787,,
5282287944,-76.5501613,39.3626615,,
5282287945,-76.5501093,39.3627512,,
