osmid,x,y,ref,highway
49393765,-76.629891,39.354194,,
49421928,-76.624455,39.357839,,
49445765,-76.624345,39.357001,,
49447039,-76.625774,39.355807,,
49460540,-76.627397,39.361851,,
49460541,-76.627443,39.361971,,
49476171,-76.631728,39.354059,,
49476172,-76.63406,39.353919,,
49481176,-76.6319,39.354913,,
49481184,-76.63218,39.355749,,
49481188,-76.632417,39.3566,,
49481198,-76.632551,39.357002,,
49488566,-76.623977,39.355209,,
49497896,-76.62419,39.356198,,
49498534,-76.6346615,39.3620677,,traffic_signals
49499460,-76.624658,39.359525,,traffic_signals
49503577,-76.62953,39.355098,,
49505088,-76.634632,39.3621963,,traffic_signals
49507063,-76.6301593,39.3550151,,turning_circle
49507064,-76.6342809,39.3547648,,
49522364,-76.623684,39.353981,,traffic_signals
49522383,-76.624559,39.358679,,
49524416,-76.634516,39.3556253,,
49524424,-76.6347017,39.3564671,,traffic_signals
49541050,-76.6330897,39.3620511,,
49563379,-76.6282309,39.3619039,,
49564898,-76.6303795,39.355864,,turning_circle
49571148,-76.6306231,39.3566496,,
49580550,-76.628154,39.354705,,
2370976819,-76.6270159,39.3555085,,
5019950578,-76.634542,39.355762,,
