u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
182138046,182138049,0,False,residential,Essex Place,136.917,,,,,,,,,,,17596984,
182138046,182158394,0,False,residential,Essex Place,70.335,,,,,,,,,,,17596984,
182138049,182138046,0,False,residential,Essex Place,136.917,,,,,,,,,,,17596984,
182138049,182310725,0,False,residential,Tilghman Street,60.158,,,,,,,,,,,17612297,
182148769,182301018,0,False,tertiary,Seton Drive,36.231,,,,,,,,,,,17611877,
182148769,5061128991,0,False,tertiary,Seton Drive,427.274,,,,,,,,,,,17611877,
182148771,182301018,0,False,unclassified,Bishop Walsh Road,33.291,,,,,,,,,,,17611050,
182148771,182148769,0,True,tertiary_link,,31.085,,,,,,,,,,,17596059,
182148771,182301017,0,False,unclassified,Bishop Walsh Road,103.961,,,,,,,,,,,17611050,
182158394,182138046,0,False,residential,Essex Place,70.335,,,,,,,,,,,17596984,
182158394,182158397,0,False,residential,Essex Place,71.183,,,,,,,,,,,17596984,
182158394,182209419,0,False,residential,North Paw Paw Way,62.431,,,,,,,,,,,541752678,
182158397,182158394,0,False,residential,Essex Place,71.183,,,,,,,,,,,17596984,
182158397,182158400,0,False,residential,Essex Place,69.117,,,,,,,,,,,17596984,
182158397,182310717,0,True,residential,North Chase Street,62.944,,,,,,,,,,,442118115,
182158400,4315772272,0,False,residential,Essex Place,32.856,,,,,,,,,,,17596984,
182158400,182158397,0,False,residential,Essex Place,69.117,,,,,,,,,,,17596984,
182158400,182281881,0,False,residential,North Walnut Place,62.927,,,,,,,,,,,17609493,
182158545,182281881,0,False,residential,Cumberland Street,65.622,,,,,,,,,,,74061650,
182158545,876282835,0,False,residential,Cumberland Street,27.444,,,,,,,,,,,74061650,
182158545,182270537,0,False,residential,North Lee Street,142.793,,,,,,,,,,,319571806,
182170666,182257730,0,False,residential,Lefevre Road,40.564,,,,,,,,,,,17612973,
182170666,182323188,0,False,residential,Lefevre Road,48.55,,,,,,,,,,,17612973,
182170666,182360616,0,False,residential,MacDonald Terrace,97.014,,,,,,,,,,,17615739,
182170666,182264741,0,False,residential,MacDonald Terrace,98.752,,,,,,,,,,,17615739,
182174438,5238307596,0,False,residential,Fayette Street,9.025,,,,,,,,,,,446727092,
182174438,182276314,0,False,residential,Fayette Street,75.487,,,,,,,,,,,446727092,
182174438,182276354,0,True,residential,Wills Creek Avenue,19.822,,,,,,,,,,,541748454,
182188586,182320004,0,False,residential,Cherrywood Avenue,211.106,,,,,,,,,,,17600576,
182196758,5345992619,0,False,residential,Pinecrest Drive,61.203,,,,,,,,,,,17609477,
182196758,182281734,0,False,residential,Pinecrest Drive,125.071,,,,,,,,,,,17609477,
182196758,4315857359,0,False,residential,Greenbrier Court,92.769,,,,,,,,,,,432582082,
182204909,182234799,0,False,residential,Seneca Avenue,37.197,2,,,,,,,,,,17615993,
182209419,182310719,0,False,residential,Cumberland Street,42.184,,,,,,,,,,,74061650,
182209419,182244823,0,False,residential,Cumberland Street,41.296,,,,,,,,,,,74061650,
182209419,182158394,0,False,residential,North Paw Paw Way,62.431,,,,,,,,,,,541752678,
182219783,182351421,0,False,residential,Fletcher Drive,135.317,,,,,,,,,,,17615168,
182219798,619586996,0,True,motorway_link,,96.121,1,,,,,,,,,,444218046,US 220
182219798,182219783,0,True,motorway_link,,72.577,1,,,,,,,,,,51250687,
182219824,182219827,0,False,residential,Fayette Street,15.862,,,,,,,,,,,446727092,
182219824,182237806,0,False,secondary,Braddock Road,421.378,2,,,,,,,,,,114451572,MD 49
182219827,182219824,0,False,residential,Fayette Street,15.862,,,,,,,,,,,446727092,
182219827,182295219,0,False,secondary,Greene Street,80.868,2,,,25 mph,,,,,,,17611640,
182225042,182225044,0,False,residential,Eastgate Court,40.332,,,,,,,,,,,17604873,
182225042,182294259,0,False,residential,"['Growden Terrace', 'Eastgate Court']",283.339,,,,,,,,,,,"[17604873, 17610530]",
182225042,182294231,0,False,residential,Cobey Drive,103.088,,,,,,,,,,,258521758,
182225044,182225042,0,False,residential,Eastgate Court,40.332,,,,,,,,,,,17604873,
182227725,182264741,0,False,residential,Luteman Road,39.798,,,,,,,,,,,17608158,
182227725,182257730,0,False,residential,Rudd Lane,99.128,,,,,,,,,,,17605198,
182234799,182204909,0,False,residential,Seneca Avenue,37.197,2,,,,,,,,,,17615993,
182234799,182326035,0,False,residential,Richwood Avenue,310.988,,,,,,,,,,,17613083,
182236522,182310719,0,False,residential,Cumberland Street,27.66,,,,,,,,,,,74061650,
182236522,182310722,0,False,residential,Cumberland Street,53.661,,,,,,,,,,,74061650,
182236522,182138046,0,True,residential,North Allegany Street,61.667,,,,,,,,,,,446727093,
182237800,182237803,0,False,residential,Highland Avenue,108.693,,,,,,,,,,,17606200,
182237800,182309606,0,False,residential,"['Dingle Park Drive', 'Camden Avenue']",327.866,,,,,,,,,,,"[17611821, 258521759]",
182237803,182237800,0,False,residential,Highland Avenue,108.693,,,,,,,,,,,17606200,
182237803,182237806,0,False,residential,Highland Avenue,102.533,,,,,,,,,,,17606200,
182237803,4315772174,0,False,residential,Mount Royal Avenue,279.636,,,,,,,,,,,17613212,
182237806,182237803,0,False,residential,Highland Avenue,102.533,,,,,,,,,,,17606200,
182237806,182219824,0,False,secondary,Braddock Road,421.378,2,,,,,,,,,,114451572,MD 49
182238667,182238675,0,False,residential,High Lane,218.872,,,,,,,,,,,17606243,
182238667,182320361,0,False,residential,Fayette Street,127.148,,,,,,,,,,,446727092,
182238675,182238667,0,False,residential,High Lane,218.872,,,,,,,,,,,17606243,
182244823,182209419,0,False,residential,Cumberland Street,41.296,,,,,,,,,,,74061650,
182244823,182310717,0,False,residential,Cumberland Street,29.515,,,,,,,,,,,74061650,
182244823,182244825,0,False,residential,Carroll Street,137.662,,,,,,,,,,,17606759,
182244825,182244823,0,False,residential,Carroll Street,137.662,,,,,,,,,,,17606759,
182244825,182263963,0,False,residential,Magruder Street,83.226,,,,,,,,,,,446727080,
182244825,182270540,0,False,residential,Magruder Street,83.915,,,,,,,,,,,446727081,
182244825,182360934,0,False,residential,Mountain View Drive,168.119,,,,,,,,,,,446727091,
182257730,182170666,0,False,residential,Lefevre Road,40.564,,,,,,,,,,,17612973,
182257730,182227725,0,False,residential,Rudd Lane,99.128,,,,,,,,,,,17605198,
182257730,5062797008,0,False,residential,Harvard Road,46.068,,,,,,,,,,,519150487,
182263960,182281881,0,False,residential,Cumberland Street,16.607,,,,,,,,,,,74061650,
182263960,182310717,0,False,residential,Cumberland Street,54.016,,,,,,,,,,,74061650,
182263960,182263963,0,False,residential,Wallace Street,138.004,,,,,,,,,,,446727079,
182263963,182270537,0,False,residential,Magruder Street,67.918,,,,,,,,,,,17608576,
182263963,182263966,0,False,residential,Wallace Street,48.765,,,,,,,,,,,446727079,
182263963,182263960,0,False,residential,Wallace Street,138.004,,,,,,,,,,,446727079,
182263963,182244825,0,False,residential,Magruder Street,83.226,,,,,,,,,,,446727080,
182263966,182263963,0,False,residential,Wallace Street,48.765,,,,,,,,,,,446727079,
182264200,182351421,0,False,residential,Gephart Drive,132.263,,,,,,,,,,,17616664,
182264200,182360354,0,False,residential,Gephart Drive,124.139,,,,,,,,,,,17616664,
182264606,5345987620,0,False,residential,Crest Drive,228.909,,,,,,,,,,,17608146,
182264606,4573392281,0,False,unclassified,Bishop Walsh Road,220.583,,,,,,,,,,,17611050,
182264606,4315857879,0,False,unclassified,Bishop Walsh Road,747.843,,,,,,,,,,,"[17611050, 445128004]",
182264741,182264744,0,False,residential,Luteman Road,33.966,,,,,,,,,,,17608158,
182264741,182227725,0,False,residential,Luteman Road,39.798,,,,,,,,,,,17608158,
182264741,182170666,0,False,residential,MacDonald Terrace,98.752,,,,,,,,,,,17615739,
182264744,182264741,0,False,residential,Luteman Road,33.966,,,,,,,,,,,17608158,
182270537,182263963,0,False,residential,Magruder Street,67.918,,,,,,,,,,,17608576,
182270537,182158545,0,False,residential,North Lee Street,142.793,,,,,,,,,,,319571806,
182270540,182244825,0,False,residential,Magruder Street,83.915,,,,,,,,,,,446727081,
182270540,182270542,0,False,residential,Magruder Street,80.896,,,,,,,,,,,446727083,
182270540,182360934,0,False,residential,Schley Street,122.558,,,,,,,,,,,"[446727089, 446727085]",
182270540,182310719,0,False,residential,Schley Street,137.505,,,,,,,,,,,"[17615761, 446727085]",
182270542,2075838790,0,False,residential,Saratoga Street,78.837,,,,,,,,,,,17615980,
182270542,182310722,0,False,residential,Saratoga Street,136.976,,,,,,,,,,,17615980,
182270542,182270540,0,False,residential,Magruder Street,80.896,,,,,,,,,,,446727083,
182276314,182174438,0,False,residential,Fayette Street,75.487,,,,,,,,,,,446727092,
182276314,182276317,0,False,residential,Wills Creek Avenue,149.883,,,,,,,,,,,17609013,
182276314,182320418,0,False,residential,Fayette Street,326.444,,,,,,,,,,,446727092,
182276317,182276314,0,False,residential,Wills Creek Avenue,149.883,,,,,,,,,,,17609013,
182276317,182276322,0,False,residential,Wills Creek Avenue,103.654,,,,,,,,,,,541748449,
182276317,182276354,0,False,residential,Wills Creek Avenue,106.246,,,,,,,,,,,541748449,
182276322,182328266,0,True,residential,Sedgwick Street,448.589,,,,,,,,,,,17616085,
182276322,4627219649,0,False,residential,Wills Creek Avenue,389.442,,,,,,,,,,,541748449,
182276322,182276317,0,False,residential,Wills Creek Avenue,103.654,,,,,,,,,,,541748449,
182276354,5290878762,0,True,residential,Wills Creek Avenue,11.133,,,,,,,,,,,541748453,
182276354,182276317,0,False,residential,Wills Creek Avenue,106.246,,,,,,,,,,,541748449,
182281734,182196758,0,False,residential,Pinecrest Drive,125.071,,,,,,,,,,,17609477,
182281734,182301018,0,False,tertiary,Seton Drive,148.3,,,,,,,,,,,17611877,
182281734,2638687135,0,False,tertiary,Seton Drive,235.22,,,,,,,,,,,17611877,
182281881,182263960,0,False,residential,Cumberland Street,16.607,,,,,,,,,,,74061650,
182281881,182158400,0,False,residential,North Walnut Place,62.927,,,,,,,,,,,17609493,
182281881,182158545,0,False,residential,Cumberland Street,65.622,,,,,,,,,,,74061650,
182294231,182300993,0,False,residential,Cobey Drive,117.736,,,,,,,,,,,258521758,
182294231,182294259,0,False,residential,Growden Terrace,243.032,,,,,,,,,,,17610530,
182294231,182225042,0,False,residential,Cobey Drive,103.088,,,,,,,,,,,258521758,
182294259,182225042,0,False,residential,"['Growden Terrace', 'Eastgate Court']",283.339,,,,,,,,,,,"[17604873, 17610530]",
182294259,182294231,0,False,residential,Growden Terrace,243.032,,,,,,,,,,,17610530,
182294259,182301017,0,False,residential,Overlook Terrace,130.26,,,,,,,,,,,17615843,
182294850,182294857,0,False,residential,Windsor Road,463.723,,,,,,,,,,,17610577,
182294850,4315772069,0,False,residential,Buckingham Road,405.225,,,,,,,,,,,17610616,
