osmid,x,y,ref,highway
182641125,-76.262061,39.642867,,
182641149,-76.260727,39.64285,,
182641976,-76.273441,39.65605,,
182642056,-76.268966,39.65518,,
182642084,-76.264267,39.654154,,
182642108,-76.260329,39.653084,,
182644182,-76.235691,39.653065,,
182691391,-76.2033753,39.6482503,,traffic_signals
182711125,-76.223842,39.680167,,
182788584,-76.233264,39.6948,,
182811147,-76.267254,39.637302,,
182811165,-76.267603,39.637415,,
182812607,-76.283798,39.635637,,
182847154,-76.250382,39.655013,,
182858396,-76.267499,39.644877,,
182927891,-76.268262,39.65748,,
182937524,-76.283084,39.667349,,
182940032,-76.244536,39.660989,,
182940078,-76.243194,39.659779,,
182942546,-76.265979,39.647624,,
182942563,-76.266673,39.648229,,
182945171,-76.289432,39.628128,,
182952107,-76.25846,39.642886,,
182952125,-76.254408,39.643351,,
182956972,-76.261946,39.643069,,
182956975,-76.262313,39.642372,,
182958601,-76.277537,39.633835,,
182958696,-76.272579,39.63269,,
182964378,-76.246305,39.6601,,
182964416,-76.245866,39.658868,,
182990442,-76.230297,39.670723,,
182990537,-76.245005,39.679381,,
182990746,-76.241233,39.69445,,
182996017,-76.222851,39.670818,,
182996104,-76.213328,39.665593,,
183001485,-76.2089284,39.6615434,,
183002612,-76.265002,39.647827,,
183002625,-76.263678,39.64801,,
183005897,-76.211456,39.667744,,
183005942,-76.20829,39.671773,,
183005967,-76.222086,39.656598,,
183006117,-76.211411,39.667583,,
183024010,-76.232844,39.688641,,
183044073,-76.29098,39.647775,,
183044118,-76.285917,39.648465,,
183044200,-76.266742,39.650889,,
183044201,-76.264715,39.651591,,
183044215,-76.254559,39.655021,,
183066933,-76.269001,39.641553,,
183066952,-76.267807,39.644952,,
183071054,-76.239693,39.664078,,
183071115,-76.228667,39.667241,,
183071160,-76.224316,39.669627,,
183071236,-76.214878,39.675029,,
183071334,-76.20868,39.673351,,
183072580,-76.264146,39.643972,,
183083913,-76.276991,39.629689,,
183083932,-76.273949,39.631645,,
183083956,-76.270895,39.63406,,
183084022,-76.263142,39.639469,,
183084053,-76.2566,39.642127,,
183084077,-76.2489,39.646406,,
183084083,-76.246799,39.64756,,
183084120,-76.239927,39.650065,,
183084299,-76.2066343,39.6478852,,
183084443,-76.1759711,39.6561237,,
183085959,-76.273289,39.642988,,
183086747,-76.208217,39.675501,,
183106304,-76.223379,39.668845,,
183135724,-76.256183,39.671051,,
183136014,-76.230097,39.679542,,
183158006,-76.277424,39.639224,,
183173021,-76.2785744,39.681071,,
183173232,-76.2613601,39.6799872,,
183173355,-76.257808,39.671402,,
183208628,-76.280268,39.632218,,
183215183,-76.231755,39.669424,,
1292401072,-76.2685874,39.6857641,,
1292401235,-76.2631423,39.688868,,
1292401319,-76.2687658,39.6854922,,
1292401487,-76.2678899,39.6841,,
1292401507,-76.2625937,39.6835655,,
2715961071,-76.2648882,39.6836393,,
4493589270,-76.2479752,39.6961506,,
4493591992,-76.2435462,39.6906866,,
4493592004,-76.250882,39.6916291,,
4493592038,-76.2439195,39.6932608,,
