u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49455676,1393229280,0,False,primary,Greenmount Avenue,66.62,4,,,25 mph,,,,,,,522361563,MD 45
49455676,49527545,0,False,primary,Greenmount Avenue,72.533,4,,,25 mph,,,,,,,522361563,MD 45
49458480,49500803,0,False,residential,East 30th Street,32.024,2,,,,,,,,,,6008195,
49458480,49459961,0,False,residential,East 30th Street,70.418,2,,,,,,,,,,6008195,
49459949,49541546,0,False,residential,East 27th Street,67.375,,,,,,,,,,,91651541,
49459949,683673450,0,False,residential,Mathews Street,132.894,,,,25 mph,,,,,,,396230706,
49459949,49556367,0,False,residential,"['Reese Street', 'East 27th Street']",252.461,,,,25 mph,,,,,,,"[91651541, 6017334]",
49459949,49459950,0,False,residential,Mathews Street,137.421,,,,25 mph,,,,,,,396230706,
49459950,49459949,0,False,residential,Mathews Street,137.421,,,,25 mph,,,,,,,396230706,
49459950,49459955,0,True,tertiary,Mathews Street,93.715,2,,,25 mph,,,,,,,396230707,
49459955,49459960,0,False,residential,Mathews Street,77.327,,,,25 mph,,,,,,,6003247,
49459955,49556369,0,False,tertiary,Exeter Hall Avenue,199.916,2,,,30 mph,,,,,,,6021203,
49459955,1393229280,0,False,tertiary,Exeter Hall Avenue,153.394,2,,,30 mph,,,,,,,6021203,
49459960,49459961,0,False,residential,Mathews Street,64.379,,,,25 mph,,,,,,,6003247,
49459960,49459955,0,False,residential,Mathews Street,77.327,,,,25 mph,,,,,,,6003247,
49459960,49554954,0,False,residential,East 29th Street,104.243,,,,,,,,,,,6018521,
49459961,49459960,0,False,residential,Mathews Street,64.379,,,,25 mph,,,,,,,6003247,
49459961,49458480,0,False,residential,East 30th Street,70.418,2,,,,,,,,,,6008195,
49459961,49500790,0,False,residential,East 30th Street,180.359,2,,,,,,,,,,6008195,
49459961,49459965,0,False,residential,Mathews Street,184.495,,,,25 mph,,,,,,,431799773,
49459965,49508058,0,False,residential,Montpelier Street,151.281,2,,,,,,,,,,6010456,
49459965,49459961,0,False,residential,Mathews Street,184.495,,,,25 mph,,,,,,,431799773,
49461708,49461709,0,False,residential,Independence Street,78.224,2,,,,,,,,,,118671480,
49461708,49461717,0,False,residential,Independence Street,69.176,,,,,,,,,,,6003408,
49461709,49461708,0,False,residential,Independence Street,78.224,2,,,,,,,,,,118671480,
