u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
120054332,120480736,0,False,secondary,West Avenue,524.612,,,,,,,,,,,"[50184591, 139603759]",NY 961F
120054643,120054663,0,False,residential,,69.097,,,,,,,,,,,13046759,
120054643,120054719,0,False,residential,,133.842,,,,,,,,,,,13046784,
120054643,120054719,1,False,residential,,91.118,,,,,,,,,,,13046784,
120054663,120054643,0,False,residential,,69.097,,,,,,,,,,,13046759,
120054701,120054719,0,False,residential,,23.351,,,,,,,,,,,13046784,
120054701,120413704,0,False,residential,East Avenue,14.125,,,,,,,,,,,13126215,
120054701,120931024,0,False,residential,East Avenue,110.459,,,,,,,,,,,13126215,
120054719,120054701,0,False,residential,,23.351,,,,,,,,,,,13046784,
120054719,120054643,0,False,residential,,91.118,,,,,,,,,,,13046784,
120054719,120054643,1,False,residential,,133.842,,,,,,,,,,,13046784,
120105786,120105849,0,False,residential,,45.34,,,,,,,,,,,13052132,
120105786,120105831,0,False,residential,,104.064,,,,,,,,,,,13052128,
120105786,120480700,0,False,residential,"['Woolever Street', 'Carter Street']",199.272,,,,,,,,,,,"[13138984, 13168326]",
120105831,120480700,0,False,secondary,West Avenue,83.959,,,,,,,,,,,50184591,NY 961F
120105831,120105786,0,False,residential,,104.064,,,,,,,,,,,13052128,
120105831,120480727,0,False,secondary,West Avenue,62.508,,,,,,,,,,,50184591,NY 961F
120105849,120105786,0,False,residential,,45.34,,,,,,,,,,,13052132,
120163051,120163058,0,False,residential,,95.608,,,,,,,,,,,13057650,
120163051,120575108,0,False,residential,Hurlbut Street,27.784,,,,,,,,,,,13148921,
120163051,121180022,0,False,residential,Hurlbut Street,234.177,,,,,,,,,,,13148921,
120163058,120163051,0,False,residential,,95.608,,,,,,,,,,,13057650,
120217041,120217051,0,False,residential,,59.528,,,,,,,,,,,13065500,
120217041,120480654,0,False,residential,East Avenue,105.153,,,,,,,,,,,13126215,
120217041,120931059,0,False,residential,East Avenue,58.806,,,,,,,,,,,13126215,
120217051,120217041,0,False,residential,,59.528,,,,,,,,,,,13065500,
120217051,120217086,0,False,residential,,37.208,,,,,,,,,,,13065503,
120217051,120217070,0,False,residential,,26.424,,,,,,,,,,,13065503,
120217070,120217051,0,False,residential,,26.424,,,,,,,,,,,13065503,
120217086,120217051,0,False,residential,,37.208,,,,,,,,,,,13065503,
120294862,120931011,0,False,residential,Lisman Lane,389.75,,,,,,,,,,,13195357,
120413690,120413704,0,False,residential,Brush Street,174.38,,,,,,,,,,,13082362,
120413690,120424490,0,False,residential,Park Avenue,105.346,,,,,,,,,,,13083368,
120413690,121145312,0,False,residential,Henry Street,197.934,,,,,,,,,,,13155007,
120413704,120413690,0,False,residential,Brush Street,174.38,,,,,,,,,,,13082362,
120413704,120931035,0,False,residential,East Avenue,59.044,,,,,,,,,,,13126215,
120413704,120054701,0,False,residential,East Avenue,14.125,,,,,,,,,,,13126215,
120424490,120424515,0,False,residential,Park Avenue,261.007,,,,,,,,,,,13083368,
120424490,120413690,0,False,residential,Park Avenue,105.346,,,,,,,,,,,13083368,
120424490,120931042,0,False,residential,Grove Street,172.344,,,,,,,,,,,13167464,
120424515,120977829,0,False,unclassified,Old Main Street,97.724,,,,,,,,,,,13130140,
120424515,120977822,0,False,unclassified,Old Main Street,78.765,,,,,,,,,,,13130140,
120424515,120424490,0,False,residential,Park Avenue,261.007,,,,,,,,,,,13083368,
120479135,120479135,0,False,residential,Clover Terrace,58.147,,,,,,,,,,,13087334,
120479135,120479135,1,False,residential,Clover Terrace,58.147,,,,,,,,,,,13087334,
120479135,121062880,0,False,residential,Northridge Drive,244.004,,,,,,,,,,,13137505,
120480654,120480671,0,False,unclassified,West Avenue,105.552,,,,,,,,,,,13087496,
120480654,120217041,0,False,residential,East Avenue,105.153,,,,,,,,,,,13126215,
120480654,120977841,0,False,unclassified,Old Main Street,40.598,,,,,,,,,,,13130140,
120480654,120977829,0,False,unclassified,Old Main Street,69.824,,,,,,,,,,,13130140,
120480671,120480654,0,False,unclassified,West Avenue,105.552,,,,,,,,,,,13087496,
120480671,121184023,0,False,secondary,New Main Street,64.271,,,,,,,,,,,13203984,NY 36
120480671,120480687,0,False,secondary,West Avenue,235.927,,,,,,,,,,,50184591,NY 961F
120480687,121180022,0,False,residential,Davenport Street,101.966,,,,,,,,,,,13148512,
120480687,120480700,0,False,secondary,West Avenue,130.549,,,,,,,,,,,50184591,NY 961F
120480687,120480671,0,False,secondary,West Avenue,235.927,,,,,,,,,,,50184591,NY 961F
120480700,120105831,0,False,secondary,West Avenue,83.959,,,,,,,,,,,50184591,NY 961F
120480700,120480687,0,False,secondary,West Avenue,130.549,,,,,,,,,,,50184591,NY 961F
120480700,120105786,0,False,residential,"['Woolever Street', 'Carter Street']",199.272,,,,,,,,,,,"[13138984, 13168326]",
120480727,120480736,0,False,secondary,West Avenue,29.488,,,,,,,,,,,50184591,NY 961F
120480727,120575108,0,False,residential,Healy Street,110.932,,,,,,,,,,,13099468,
120480727,120105831,0,False,secondary,West Avenue,62.508,,,,,,,,,,,50184591,NY 961F
120480736,121122976,0,False,tertiary,County Route 67,120.66,,,,,,,,,,,13143130,CR 67
120480736,120480727,0,False,secondary,West Avenue,29.488,,,,,,,,,,,50184591,NY 961F
120480736,120054332,0,False,secondary,West Avenue,524.612,,,,,,,,,,,"[139603759, 50184591]",NY 961F
120575108,120163051,0,False,residential,Hurlbut Street,27.784,,,,,,,,,,,13148921,
120575108,120480727,0,False,residential,Healy Street,110.932,,,,,,,,,,,13099468,
120575108,121122976,0,False,residential,Hurlbut Street,43.339,,,,,,,,,,,13148921,
120930952,120931011,0,False,residential,East Avenue,88.697,,,,,,,,,,,13126215,
120931011,120931024,0,False,residential,East Avenue,122.442,,,,,,,,,,,13126215,
120931011,120930952,0,False,residential,East Avenue,88.697,,,,,,,,,,,13126215,
120931011,120294862,0,False,residential,Lisman Lane,389.75,,,,,,,,,,,13195357,
120931024,120054701,0,False,residential,East Avenue,110.459,,,,,,,,,,,13126215,
