u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212930480,221665672,0,False,secondary,Buffalo Road,282.083,,,,,,,,,,,20647136,NY 33
221623765,221689508,0,False,secondary,South Lake Road,45.384,,,,,,,,,,,20646608,NY 19
221623765,221665620,0,False,secondary,"['South Lake Road', 'South Lake Street']",124.652,,,,,,,,,,,"[20646608, 20647128]",NY 19
221623776,221689508,0,False,secondary,Clinton Street Road,48.051,,,,,,,,,,,566201560,NY 33
221623776,221623765,0,True,secondary_link,,41.182,,,,,,,,,,,20643455,
221623776,221665649,0,False,secondary,Clinton Street Road,397.19,,,,,,,,,,,566201560,NY 33
221644895,221689508,0,False,secondary,Clinton Street Road,36.507,,,,,,,,,,,38174489,NY 33
221654806,221654864,0,False,residential,,391.818,,,,,,,,,,,20645971,
221654864,221654806,0,False,residential,,391.818,,,,,,,,,,,20645971,
221654864,221676833,0,False,residential,"['Gates Street', 'Church Street']",452.318,,,,,,,,,,,"[20652024, 20649208]",
221654864,221713302,0,False,residential,Church Street,125.4,,,,,,,,,,,20652024,
221663042,221686606,0,False,residential,Trisha Lane,135.014,,,,,,,,,,,20649951,
221663042,221709586,0,False,residential,Canterbury Court,21.26,,,,,,,,,,,20651525,
221663042,221663054,0,False,residential,Canterbury Lane,238.916,,,,,,,,,,,20646917,
221663054,221681353,0,False,residential,"['Canterbury Lane', 'Winterberry Lane']",268.313,,,,,,,,,,,"[20648692, 20646917]",
221663054,221663042,0,False,residential,Canterbury Lane,238.916,,,,,,,,,,,20646917,
221663054,221721932,0,False,residential,"['Springdale Lane', 'McCabe Court']",161.327,,,,,,,,,,,"[20652655, 20646991]",
221665617,221694642,0,False,secondary,South Lake Avenue,18.114,,,,,,,,,,,20650074,NY 19
221665617,221665620,0,False,secondary,South Lake Street,356.5,,,,,,,,,,,20647128,NY 19
221665620,221623765,0,False,secondary,"['South Lake Road', 'South Lake Street']",124.652,,,,,,,,,,,"[20647128, 20646608]",NY 19
221665620,221665617,0,False,secondary,South Lake Street,356.5,,,,,,,,,,,20647128,NY 19
221665620,221665649,0,False,unclassified,Appletree Road,353.787,,,,,,,,,,,20653211,
221665638,221665649,0,False,secondary,Buffalo Road,150.18,,,,,,,,,,,20647130,NY 33
221665638,221665686,0,False,secondary,Buffalo Road,872.052,,,,,,,,,,,20647136,NY 33
221665649,221665638,0,False,secondary,Buffalo Road,150.18,,,,,,,,,,,20647130,NY 33
221665649,221665620,0,False,unclassified,Appletree Road,353.787,,,,,,,,,,,20653211,
221665649,221623776,0,False,secondary,Clinton Street Road,397.19,,,,,,,,,,,566201560,NY 33
