u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
211536185,211536188,0,False,residential,South Street,155.945,,,,,,,,,,,20040120,
211536185,211621256,0,False,residential,Gail Drive,235.607,,,,,,,,,,,20044395,
211536185,211621246,0,False,residential,Gail Drive,235.147,,,,,,,,,,,20044395,
211536188,211536185,0,False,residential,South Street,155.945,,,,,,,,,,,20040120,
211536188,211638004,0,False,residential,Memorial Drive,228.402,,,,,,,,,,,20045698,
211536188,211536194,0,False,residential,South Street,226.355,,,,,,,,,,,20040120,
211536188,211632881,0,False,residential,4th Street,213.134,,,,,,,,,,,20048122,
211536194,211536211,0,False,residential,South Street,388.719,,,,,,,,,,,20040120,
211536194,211536188,0,False,residential,South Street,226.355,,,,,,,,,,,20040120,
211536194,211562547,0,False,residential,3rd Street,179.915,,,,,,,,,,,20041088,
211536211,211536214,0,False,residential,South Street,59.063,,,,,,,,,,,20040120,
211536211,211536194,0,False,residential,South Street,388.719,,,,,,,,,,,20040120,
211536211,211656303,0,False,residential,Scott Street,172.215,,,,,,,,,,,20046556,
211536214,211536217,0,False,residential,South Street,40.485,,,,,,,,,,,20040120,
211536214,211536211,0,False,residential,South Street,59.063,,,,,,,,,,,20040120,
211536214,211605971,0,False,residential,2nd Street,117.984,,,,,,,,,,,20043242,
211536217,211536214,0,False,residential,South Street,40.485,,,,,,,,,,,20040120,
211536217,211536224,0,False,residential,South Street,267.63,,,,,,,,,,,20040120,
211536217,211540657,0,False,residential,Lincoln Street,139.155,,,,,,,,,,,20041527,
211536224,211536228,0,False,residential,South Street,99.999,,,,,,,,,,,20040120,
211536224,211639690,0,False,residential,1st Street,118.168,,,,,,,,,,,20046308,
211536224,211536217,0,False,residential,South Street,267.63,,,,,,,,,,,20040120,
211536228,211536224,0,False,residential,South Street,99.999,,,,,,,,,,,20040120,
211536228,211608983,0,False,residential,Waverly Street,121.709,,,,,,,,,,,20043468,
211536228,211536233,0,False,residential,South Street,110.274,,,,,,,,,,,20040120,
211536228,211552605,0,False,residential,Waverly Street,263.022,,,,,,,,,,,20043468,
211536233,211639700,0,False,tertiary,Washington Street,155.585,,,,,,,,,,,20050961,
211536233,211536239,0,False,residential,South Street,100.355,,,,,,,,,,,20040120,
211536233,211536228,0,False,residential,South Street,110.274,,,,,,,,,,,20040120,
211536233,211552611,0,False,tertiary,Washington Street,296.701,,,,,,,,,,,20050961,
211536239,211536233,0,False,residential,South Street,100.355,,,,,,,,,,,20040120,
211536239,211639703,0,False,residential,Jefferson Street,164.874,,,,,,,,,,,20049672,
211536239,211714539,0,False,residential,Jefferson Street,349.339,,,,,,,,,,,20049672,
211540657,211536217,0,False,residential,Lincoln Street,139.155,,,,,,,,,,,20041527,
211552605,211552611,0,False,residential,Ellicott Street,208.393,,,,,,,,,,,20040717,
211552605,211536228,0,False,residential,Waverly Street,263.022,,,,,,,,,,,20043468,
211552605,211608959,0,False,residential,Waverly Street,104.355,,,,,,,,,,,20043468,
211552611,211552614,0,False,tertiary,Ellicott Street,152.117,,,,,,,,,,,409377069,
211552611,211744287,0,False,residential,Washington Street,124.785,,,,,,,,,,,409377085,
211552611,211552605,0,False,residential,Ellicott Street,208.393,,,,,,,,,,,20040717,
211552611,211536233,0,False,tertiary,Washington Street,296.701,,,,,,,,,,,20050961,
211552614,211552611,0,False,tertiary,Ellicott Street,152.117,,,,,,,,,,,409377069,
211552614,211714539,0,False,residential,Jefferson Street,73.494,,,,,,,,,,,409377074,
211552614,211552996,0,False,tertiary,Jefferson Street,125.851,,,,,,,,,,,20049667,
211552996,211553000,0,False,residential,North Franklin Street,303.875,,,,,,,,,,,20040748,
211552996,211552614,0,False,tertiary,Jefferson Street,125.851,,,,,,,,,,,20049667,
211552996,211650254,0,False,tertiary,Jefferson Street,133.954,,,,,,,,,,,20049667,
211552996,211744287,0,False,residential,South Franklin Street,136.475,,,,,,,,,,,20050959,
211553000,211552996,0,False,residential,North Franklin Street,303.875,,,,,,,,,,,20040748,
211553000,211707141,0,False,residential,Hoyt Street,97.729,,,,,,,,,,,20049029,
211562547,211536194,0,False,residential,3rd Street,179.915,,,,,,,,,,,20041088,
211562547,211605971,0,False,primary,South Main Street,451.462,,,,,,,,,,,20045412,NY 353
211562547,211632881,0,False,primary,South Main Street,228.717,,,,,,,,,,,20045412,NY 353
211568018,211568039,0,False,residential,Mill Street,172.028,,,,,,,,,,,20041285,
211568039,211568018,0,False,residential,Mill Street,172.028,,,,,,,,,,,20041285,
211568039,211701658,0,False,residential,West Street,124.615,,,,,,,,,,,20049832,
211568039,211639713,0,False,residential,West Street,51.919,,,,,,,,,,,20049832,
211605971,211536214,0,False,residential,2nd Street,117.984,,,,,,,,,,,20043242,
211605971,211562547,0,False,primary,South Main Street,451.462,,,,,,,,,,,20045412,NY 353
211605971,211639690,0,False,primary,Main Street,303.354,,,,,,,,,,,20045792,NY 353
211608909,211608940,0,False,residential,Waverly Street,449.512,,,,,,,,,,,20043468,
211608940,211608959,0,False,residential,Waverly Street,51.892,,,,,,,,,,,20043468,
211608940,211608909,0,False,residential,Waverly Street,449.512,,,,,,,,,,,20043468,
211608959,211552605,0,False,residential,Waverly Street,104.355,,,,,,,,,,,20043468,
211608959,211608940,0,False,residential,Waverly Street,51.892,,,,,,,,,,,20043468,
211608959,211744287,0,False,residential,South Franklin Street,255.416,,,,,,,,,,,20050959,
211608983,211536228,0,False,residential,Waverly Street,121.709,,,,,,,,,,,20043468,
211608983,211639700,0,False,primary,Main Street,34.524,,,,,,,,,,,20045792,NY 353
211608983,211639690,0,False,primary,Main Street,100.156,,,,,,,,,,,20045792,NY 353
211621246,211536185,0,False,residential,Gail Drive,235.147,,,,,,,,,,,20044395,
211621256,211638527,0,False,primary,Main Street,74.034,,,,,,,,,,,20045724,NY 353
211621256,211536185,0,False,residential,Gail Drive,235.607,,,,,,,,,,,20044395,
