u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213410402,213451340,0,False,residential,Simsbury Drive,15.721,,,,,,,,,,,20186263,
213410402,213410421,0,False,residential,Burleigh Drive,146.956,,,,,,,,,,,20181146,
213410402,213435964,0,False,residential,Winthrop Drive,137.553,,,,,,,,,,,20190127,
213410402,213502458,0,False,residential,"['Warwick Place', 'Randolph Road']",787.013,,,,,,,,,,,"[20189785, 20191543]",
213410421,213410439,0,False,residential,Burleigh Drive,106.005,,,,,,,,,,,20181146,
213410421,213410402,0,False,residential,Burleigh Drive,146.956,,,,,,,,,,,20181146,
213410421,213503260,0,False,residential,Cambridge Place,294.049,,,,,,,,,,,20189826,
213410439,213410421,0,False,residential,Burleigh Drive,106.005,,,,,,,,,,,20181146,
213410869,213410917,0,False,residential,Devon Road,270.744,,,,,,,,,,,20181222,
213410869,213433310,0,False,tertiary,Hanshaw Road,109.33,,,,,,,,,,,20186092,CR 109
213410869,213448264,0,False,tertiary,Hanshaw Road,284.234,,,,,,,,,,,20186092,CR 109
213410917,213410941,0,False,residential,Devon Road,199.041,,,,,,,,,,,20181222,
213410917,213410869,0,False,residential,Devon Road,270.744,,,,,,,,,,,20181222,
213410917,213467197,0,False,tertiary,Cayuga Heights Road,424.95,,,,,,,,,,,20191834,
213410917,213497742,0,False,tertiary,Cayuga Heights Road,122.0,,,,,,,,,,,20191834,
213410941,213410959,0,False,residential,Devon Road,66.614,,,,,,,,,,,20181222,
213410941,213410917,0,False,residential,Devon Road,199.041,,,,,,,,,,,20181222,
213410941,213411238,0,False,residential,Strawberry Lane,58.318,,,,,,,,,,,20181261,
213410959,213410941,0,False,residential,Devon Road,66.614,,,,,,,,,,,20181222,
213410959,213481967,0,False,residential,North Sunset Drive,984.002,,,,,,,,,,,20192118,
213411238,213411241,0,False,residential,Strawberry Lane,58.704,,,,,,,,,,,20181261,
213411238,213410941,0,False,residential,Strawberry Lane,58.318,,,,,,,,,,,20181261,
213411238,213411260,0,False,residential,Strawberry Lane,92.796,,,,,,,,,,,20181266,
213411241,213411238,0,False,residential,Strawberry Lane,58.704,,,,,,,,,,,20181261,
213411260,213411238,0,False,residential,Strawberry Lane,92.796,,,,,,,,,,,20181266,
213420677,213441301,0,False,residential,Jessup Road,251.369,,,,30 mph,,,,,,,20187354,
213433310,213433351,0,False,residential,East Upland Road,358.112,,,,,,,,,,,20184680,
213433310,213448302,0,False,tertiary,Hanshaw Road,14.797,,,,,,,,,,,20186092,CR 109
213433310,213410869,0,False,tertiary,Hanshaw Road,109.33,,,,,,,,,,,20186092,CR 109
213433310,213467183,0,False,residential,West Upland Road,277.985,,,,,,,,,,,20187312,
213433310,213492840,0,False,residential,Highland Road,407.772,,,,,,,,,,,346043247,
213433351,213433382,0,False,residential,East Upland Road,243.068,,,,,,,,,,,20184680,
213433351,213433310,0,False,residential,East Upland Road,358.112,,,,,,,,,,,20184680,
213433351,837158246,0,False,residential,The Parkway,178.372,,,,,,,,,,,20188389,
213433351,213482049,0,False,residential,The Parkway,126.785,,,,,,,,,,,20188389,
213433382,213433435,0,False,residential,East Upland Road,690.363,,,,,,,,,,,20184680,
213433382,213433351,0,False,residential,East Upland Road,243.068,,,,,,,,,,,20184680,
213433382,213441419,0,False,tertiary,Triphammer Road,209.078,2,,,30 mph,,,,,,,20185594,
213433382,213441399,0,False,tertiary,Triphammer Road,71.258,2,,,30 mph,,,,,,,20185594,
213433435,213441474,0,False,tertiary,Hanshaw Road,11.918,,,,30 mph,,,,,,,346043252,CR 109
213433435,213433382,0,False,residential,East Upland Road,690.363,,,,,,,,,,,20184680,
213433435,213448409,0,False,tertiary,Hanshaw Road,167.285,,,,30 mph,,,,,,,346043252,CR 109
213435964,213435972,0,False,residential,Winthrop Place,119.374,,,,,,,,,,,20185015,
213435964,213502458,0,False,residential,Winthrop Drive,22.605,,,,,,,,,,,20190127,
213435964,213410402,0,False,residential,Winthrop Drive,137.553,,,,,,,,,,,20190127,
213435972,213435964,0,False,residential,Winthrop Place,119.374,,,,,,,,,,,20185015,
213439372,213439418,0,False,residential,East Remington Road,334.25,,,,,,,,,,,20185385,
213439372,213467250,0,False,residential,Highgate Road,437.743,,,,,,,,,,,20187836,
213439372,213473823,0,False,residential,Highgate Road,61.027,,,,,,,,,,,20187836,
