osmid,x,y,ref,highway
213153913,-74.751967,42.792948,,
213153925,-74.751201,42.795673,,
213155782,-74.752526,42.793141,,
213155787,-74.753453,42.793125,,
213155793,-74.754283,42.792497,,
213155798,-74.753196,42.793438,,
213155919,-74.748855,42.796596,,
213167548,-74.752925,42.792672,,
213189980,-74.756035,42.797782,,
213196514,-74.7515,42.800153,,
213215007,-74.748133,42.800217,,
213215017,-74.749801,42.801465,,
213219592,-74.754276,42.797005,,
213219608,-74.751559,42.800109,,
213219617,-74.749053,42.802097,,
213243723,-74.7502,42.79766,,
213243724,-74.750912,42.799028,,
213250969,-74.746727,42.800561,,
213251026,-74.746987,42.801016,,
213253141,-74.748508,42.803695,,
213280381,-74.754227,42.796982,,
213280389,-74.753589,42.79677,,
213280401,-74.751603,42.797243,,
213280403,-74.749576,42.797862,,
213280408,-74.745757,42.799018,,
213280413,-74.743621,42.799674,,
213296582,-74.751492,42.795804,,
213307026,-74.756771,42.793784,,
213328075,-74.742456,42.801232,,
213374424,-74.750985,42.802631,,
