u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221610475,221610483,0,False,residential,Bogart Street,231.466,,,,,,,,,,,20642240,
221610475,221611373,0,False,residential,Geneva Street,88.822,,,,,,,,,,,20646819,
221610483,221610505,0,False,residential,Bogart Street,124.498,,,,,,,,,,,20642240,
221610483,221610475,0,False,residential,Bogart Street,231.466,,,,,,,,,,,20642240,
221610483,221611374,0,False,residential,Charles Street,84.725,,,,,,,,,,,20647241,
221610505,221610483,0,False,residential,Bogart Street,124.498,,,,,,,,,,,20642240,
221610505,221617465,0,False,residential,,46.206,,,,,,,,,,,20642846,
221610505,221640409,0,False,residential,Cornelia Street,175.022,,,,,,,,,,,20646591,
221611373,221611374,0,False,residential,,233.239,,,,,,,,,,,20642318,
221611373,221640402,0,False,residential,Geneva Street,88.028,,,,,,,,,,,20646819,
221611373,221610475,0,False,residential,Geneva Street,88.822,,,,,,,,,,,20646819,
221611374,221611373,0,False,residential,,233.239,,,,,,,,,,,20642318,
221611374,221640406,0,False,residential,Charles Street,91.111,,,,,,,,,,,20647239,
221611374,221610483,0,False,residential,Charles Street,84.725,,,,,,,,,,,20647241,
221613342,221651645,0,False,residential,Race Street,38.223,,,,,,,,,,,20645698,
221613342,221613351,0,False,residential,,490.179,,,,,,,,,,,20642457,
221613342,221637348,0,False,residential,Kings Hill Road,140.703,,,,,,,yes,,,,"[20647232, 113105916, 113105926]",
221613351,221613342,0,False,residential,,490.179,,,,,,,,,,,20642457,
221617078,221617081,0,False,residential,,75.157,,,,,,,,,,,20642815,
221617078,1284917624,0,False,residential,Main Street,62.126,,,,,,,,,,,20644788,
221617078,221640402,0,False,residential,Main Street,413.086,,,,,,,,,,,20644788,
221617078,221658104,0,False,residential,Seneca Street,469.586,,,,,,,,,,,20646577,
221617081,221617078,0,False,residential,,75.157,,,,,,,,,,,20642815,
221617081,221617081,0,False,residential,,216.928,,,,,,,,,,,20642818,
221617081,221617081,1,False,residential,,216.928,,,,,,,,,,,20642818,
221617465,221610505,0,False,residential,,46.206,,,,,,,,,,,20642846,
221620052,221640409,0,False,residential,Main Street,263.595,,,,,,,,,,,"[20644788, 20643119]",
221634867,221634870,0,False,residential,Firehouse Avenue,235.722,,,,,,,,,,,20644352,
221634867,221640402,0,False,residential,Geneva Street,101.206,,,,,,,,,,,20646819,
221634867,221658104,0,False,residential,Geneva Street,108.671,,,,,,,,,,,20646819,
221634870,221634867,0,False,residential,Firehouse Avenue,235.722,,,,,,,,,,,20644352,
221634870,221640406,0,False,residential,Charles Street,102.488,,,,,,,,,,,20647239,
221634870,221655899,0,False,residential,Charles Street,108.339,,,,,,,,,,,20647239,
221637348,221613342,0,False,residential,Kings Hill Road,140.703,,,,,,,yes,,,,"[20647232, 113105916, 113105926]",
221637998,1284917624,0,False,primary,,7.56,,,,,,,,,,,52285545,NY 14
221640402,221640406,0,False,residential,Main Street,234.56,,,,,,,,,,,20644788,
221640402,221611373,0,False,residential,Geneva Street,88.028,,,,,,,,,,,20646819,
221640402,221634867,0,False,residential,Geneva Street,101.206,,,,,,,,,,,20646819,
221640402,221617078,0,False,residential,Main Street,413.086,,,,,,,,,,,20644788,
221640406,221640409,0,False,residential,Main Street,131.394,,,,,,,,,,,20644788,
221640406,221640402,0,False,residential,Main Street,234.56,,,,,,,,,,,20644788,
221640406,221634870,0,False,residential,Charles Street,102.488,,,,,,,,,,,20647239,
221640406,221611374,0,False,residential,Charles Street,91.111,,,,,,,,,,,20647239,
221640409,221640406,0,False,residential,Main Street,131.394,,,,,,,,,,,20644788,
221640409,221620052,0,False,residential,Main Street,263.595,,,,,,,,,,,"[20644788, 20643119]",
221640409,221610505,0,False,residential,Cornelia Street,175.022,,,,,,,,,,,20646591,
221640409,221659844,0,False,residential,Cornelia Street,211.363,,,,,,,,,,,20646591,
221651645,221651649,0,False,residential,Race Street,69.998,,,,,,,,,,,20645697,
221651645,221613342,0,False,residential,Race Street,38.223,,,,,,,,,,,20645698,
221651645,221655892,0,False,residential,Milo Street,27.733,,,,,,,,,,,20646090,
221651649,221651645,0,False,residential,Race Street,69.998,,,,,,,,,,,20645697,
221655892,221651645,0,False,residential,Milo Street,27.733,,,,,,,,,,,20646090,
221655892,221655899,0,False,residential,Milo Street,121.542,,,,,,,,,,,20646090,
221655892,221658104,0,False,residential,Margaret Street,283.396,,,,,,,,,,,20646351,
221655899,221659844,0,False,residential,Seneca Street,130.809,,,,,,,,,,,20646577,
221655899,221658104,0,False,residential,Seneca Street,230.731,,,,,,,,,,,20646577,
221655899,221655892,0,False,residential,Milo Street,121.542,,,,,,,,,,,20646090,
221655899,221634870,0,False,residential,Charles Street,108.339,,,,,,,,,,,20647239,
221658104,221655899,0,False,residential,Seneca Street,230.731,,,,,,,,,,,20646577,
221658104,221655892,0,False,residential,Margaret Street,283.396,,,,,,,,,,,20646351,
221658104,221617078,0,False,residential,Seneca Street,469.586,,,,,,,,,,,20646577,
221658104,221634867,0,False,residential,Geneva Street,108.671,,,,,,,,,,,20646819,
221659844,221655899,0,False,residential,Seneca Street,130.809,,,,,,,,,,,20646577,
221659844,221659852,0,False,residential,Seneca Street,254.73,,,,,,,,,,,20646577,
221659844,221640409,0,False,residential,Cornelia Street,211.363,,,,,,,,,,,20646591,
221659852,221659852,0,False,residential,Seneca Street,93.155,,,,,,,,,,,20646577,
221659852,221659852,1,False,residential,Seneca Street,93.155,,,,,,,,,,,20646577,
221659852,221659844,0,False,residential,Seneca Street,254.73,,,,,,,,,,,20646577,
1284917624,221617078,0,False,residential,Main Street,62.126,,,,,,,,,,,20644788,
1284917624,221637998,0,False,primary,,7.56,,,,,,,,,,,52285545,NY 14
