u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
119654851,211754839,0,False,residential,West 9th Street,92.759,,,,,,,,,,,13008089,
119654851,211754834,0,False,residential,West 9th Street,242.645,,,,,,,,,,,13008089,
119654851,119766957,0,False,residential,Marian Avenue,136.412,,,,,,,,,,,13036252,
119687657,211765375,0,False,residential,,44.522,,,,,,,,,,,13011104,
119687657,119901940,0,False,residential,South Park Lane,52.762,,,,,,,,,,,13035562,
119687657,119812498,0,False,residential,South Park Lane,67.341,,,,,,,,,,,13035562,
119704258,444208379,0,False,residential,York Avenue,89.704,,,,,,,,,,,13012778,
119704258,119910484,0,False,residential,West 19th Street,66.545,,,,,,,,,,,13036489,
119704258,119847643,0,False,residential,West 19th Street,152.355,,,,,,,,,,,13036489,
119705643,119812498,0,False,primary,College Avenue,50.321,,,,,,,,,,,139282927,NY 14
119705643,119757652,0,False,tertiary,"['East 13th Street', 'West 13th Street']",225.639,,,,,,,,,,,"[20052746, 13018893]",
119705643,211792452,0,False,primary,College Avenue,89.282,,,,,,,,,,,45852233,NY 14
119705643,211768691,0,False,tertiary,West 13th Street,137.731,,,,,,,,,,,139807665,
119708201,119708208,0,False,residential,McConnell Avenue,98.579,,,,,,,,,,,13013206,
119708201,119849939,0,False,tertiary,Grand Central Avenue,85.436,,,,,,,,,,,139602431,
119708208,119708214,0,False,residential,McConnell Avenue,51.456,,,,,,,,,,,13013206,
119708208,119708201,0,False,residential,McConnell Avenue,98.579,,,,,,,,,,,13013206,
119708214,119708208,0,False,residential,McConnell Avenue,51.456,,,,,,,,,,,13013206,
119708214,119883764,0,False,residential,"['McConnell Avenue', 'Baker Avenue']",233.652,,,,,,,,,,,"[13034681, 13013206]",
119709152,119847643,0,False,residential,Robinwood Avenue,91.482,,,,,,,,,,,20055171,
119709152,119784268,0,False,residential,Robinwood Avenue,91.918,,,,,,,,,,,20055171,
