osmid,x,y,ref,highway
111319879,-79.089552,42.593502,,
111378627,-79.0915365,42.5946694,,
111378630,-79.090384,42.594669,,
111393015,-79.0825907,42.5928896,,
111393032,-79.077823,42.596343,,
111394413,-79.08412,42.600337,,
111394436,-79.0909387,42.5942364,,
111426763,-79.0843229,42.5929413,,
111504082,-79.0883063,42.591024,,
111528911,-79.0836491,42.602259,,
1694883068,-79.0825383,42.6013217,,
1694883076,-79.0832113,42.6009116,,
1694883085,-79.0829774,42.6017151,,
1694883205,-79.0809682,42.6025048,,
1694883332,-79.0824415,42.6013806,,
