osmid,x,y,ref,highway
221699947,-74.344302,41.332563,,
221740764,-74.352207,41.315682,,
221750465,-74.367148,41.333659,,
221750468,-74.3669,41.333062,,
221764230,-74.355705,41.339604,,
221764234,-74.356035,41.339807,,
221766904,-74.348491,41.3345,,
221766907,-74.348607,41.333605,,
221768195,-74.366415,41.336581,,
221768218,-74.366356,41.337154,,
221795602,-74.352412,41.337271,,
221795619,-74.352207,41.335929,,
221807212,-74.35923,41.330843,,
221807214,-74.359985,41.331411,,
221833740,-74.351782,41.331953,,
221833749,-74.350924,41.332084,,
221835057,-74.348567,41.326619,,
221835079,-74.350096,41.326103,,
221835093,-74.353755,41.325148,,
221835096,-74.35454,41.324896,,
221835099,-74.348286,41.326696,,
221875791,-74.370497,41.338587,,
221877492,-74.365078,41.324839,,
221877572,-74.37,41.325047,,
221891554,-74.358731,41.337786,,
221891583,-74.360778,41.338274,,
221891595,-74.361248,41.338598,,
221891668,-74.366264,41.337983,,
221891757,-74.349338,41.329237,,
221891760,-74.34964,41.329902,,
221891769,-74.350219,41.331326,,
221893325,-74.359526,41.315943,,
221917742,-74.352911,41.327084,,
221917753,-74.353396,41.328313,,
221917757,-74.353862,41.329459,,
221932252,-74.361629,41.324917,,
221932266,-74.363152,41.326141,,
221936278,-74.356242,41.327356,,
221936290,-74.357417,41.327088,,
221936436,-74.360139,41.325707,,
221936517,-74.357444,41.327196,,
221936546,-74.355705,41.327474,,
221937076,-74.370551,41.324279,,
221942022,-74.357831,41.335,,
221942033,-74.355964,41.335332,,
221942052,-74.353705,41.33573,,
221942064,-74.350909,41.336129,,
221942076,-74.348184,41.336583,,
221942080,-74.347928,41.336621,,
221950621,-74.359874,41.335316,,
221950630,-74.358205,41.335703,,
221961229,-74.364049,41.324866,,
221961268,-74.362177,41.32725,,
221961278,-74.361117,41.328516,,
221961295,-74.358676,41.331366,,
221966435,-74.352593,41.320384,,
221966449,-74.353232,41.321957,,
221966453,-74.353612,41.322827,,
221966459,-74.354278,41.324319,,
221966463,-74.354579,41.324983,,
221966466,-74.354681,41.325213,,
221966470,-74.354948,41.325812,,
221966474,-74.355824,41.327744,,
221966488,-74.35651,41.330845,,
221966496,-74.356828,41.331991,,
221977290,-74.350523,41.32713,,
221989896,-74.353605,41.331376,,
221989910,-74.351716,41.331638,,
221995367,-74.360872,41.321142,,
221995432,-74.359078,41.316121,,
221995476,-74.357803,41.315135,,
221995484,-74.356432,41.315459,,
221995523,-74.354537,41.31627,,
221995609,-74.353695,41.322741,,
222010308,-74.356682,41.336785,,
222028355,-74.348889,41.327501,,
222028456,-74.358875,41.336983,,
222035309,-74.358989,41.333295,,
222035323,-74.359769,41.332988,,
222051539,-74.371511,41.338644,,
222086186,-74.357009,41.34081,,
222086212,-74.359945,41.340052,,
222088375,-74.363367,41.331185,,
222088409,-74.358203,41.331545,,
222091911,-74.354917,41.327952,,
222091915,-74.351239,41.328802,,
222091923,-74.349842,41.329111,,
222091934,-74.347704,41.329623,,
222091951,-74.345923,41.330692,,
222091972,-74.345269,41.332616,,
222110390,-74.354892,41.321542,,
222110411,-74.356011,41.321159,,
222110451,-74.358917,41.319353,,
222116930,-74.356522,41.316051,,
222137219,-74.354672,41.329317,,
222137243,-74.351443,41.330013,,
222146782,-74.360568,41.336998,,
222146818,-74.366646,41.335227,,
222174705,-74.366421,41.336526,,
222187904,-74.349324,41.337801,,
222203544,-74.35159,41.330987,,
222203610,-74.351892,41.33253,,
222211420,-74.354198,41.316054,,
222240895,-74.348588,41.327566,,
222240936,-74.354134,41.326029,,
222242025,-74.35544,41.331037,,
222267904,-74.366546,41.335727,,
222267962,-74.364144,41.33429,,
222272977,-74.355346,41.322165,,
222293794,-74.35479,41.327613,,
222303484,-74.352834,41.33294,,
222303490,-74.352055,41.333133,,
222305417,-74.354247,41.320083,,
222364413,-74.355625,41.319686,,
222368759,-74.3572,41.322667,,
222376872,-74.34834,41.330807,,
222376913,-74.349351,41.33,,
222378869,-74.354515,41.320037,,
222385630,-74.347194,41.328389,,
222420974,-74.358127,41.31664,,
222429567,-74.351989,41.334622,,
222450366,-74.34838,41.331799,,
444232647,-74.352419,41.317533,,
444232652,-74.356434,41.315182,,
444232672,-74.370702,41.325479,,
444232691,-74.367333,41.333619,,
444232959,-74.343709,41.331064,,
5460653124,-74.3466215,41.3400508,,
5460653125,-74.3460124,41.3396154,,
5460653126,-74.3467375,41.337901,,
5460653130,-74.3454252,41.3375184,,
5460653138,-74.3458436,41.3382243,,
5460653150,-74.3418458,41.3373804,,
5460653154,-74.3431906,41.3395552,,
5460653170,-74.3415266,41.338764,,
5460653177,-74.3448257,41.3402663,,
5460653208,-74.3475642,41.3408611,,
5460653214,-74.3479572,41.3408422,,
