osmid,x,y,ref,highway
221350706,-73.500647,43.081917,,
221350786,-73.501948,43.075115,,
221357637,-73.4970681,43.0963021,,
221359855,-73.498257,43.094041,,
221363686,-73.498433,43.096133,,
221375692,-73.503734,43.0878161,,
221375698,-73.5032891,43.0874189,,
221394065,-73.49713,43.094486,,
221411328,-73.494564,43.093024,,
221411341,-73.495294,43.093649,,
221411354,-73.494305,43.091542,,
221411536,-73.505716,43.094313,,
221411554,-73.503334,43.095039,,
221416608,-73.496722,43.08584,,
221416625,-73.497804,43.086506,,
221416644,-73.498271,43.087345,,
221426179,-73.502853,43.08782,,
221432855,-73.507899,43.095703,,
221433946,-73.489787,43.096251,,
221434016,-73.488248,43.096665,,
221438059,-73.496155,43.086297,,
221438070,-73.49654,43.086663,,
221438079,-73.496964,43.087348,,
221438104,-73.49588,43.086705,,
221438116,-73.495712,43.0873837,,
221440924,-73.497002,43.09297,,
221445142,-73.497578,43.088791,,
221445151,-73.502867,43.087908,,
221454492,-73.493922,43.095476,,
221454516,-73.493409,43.097375,,
221455300,-73.495304,43.082162,,
221466570,-73.4968602,43.0874736,,
221474108,-73.499248,43.090542,,
221474125,-73.495159,43.091553,,
221474135,-73.492897,43.091559,,
221477759,-73.498295,43.091658,,
221477763,-73.498763,43.091676,,
221477775,-73.501763,43.091774,,
221488524,-73.503462,43.091838,,
221488528,-73.50544,43.091932,,
221488532,-73.506786,43.091983,,
221496939,-73.498125,43.092461,,
221511514,-73.496994,43.087543,,
221511537,-73.499322,43.090213,,
221511541,-73.499548,43.090362,,traffic_signals
221511550,-73.502133,43.092013,,
221511558,-73.507232,43.095284,,
221518931,-73.5056,43.093024,,
221518937,-73.506951,43.093037,,
221542906,-73.4957,43.077039,,
221544743,-73.506485,43.088996,,
221544942,-73.495014,43.077424,,
221544953,-73.495597,43.077505,,
221559874,-73.503063,43.08918,,stop
221559997,-73.492813,43.085011,,
221564817,-73.493797,43.094251,,
221564821,-73.492531,43.094748,,
221564836,-73.49006,43.09571,,
221566364,-73.491353,43.093119,,
221568722,-73.494549,43.0873714,,
221568785,-73.491873,43.089269,,
221573590,-73.504986,43.08901,,
221577751,-73.496509,43.085575,,
221578353,-73.489535,43.088694,,
221578366,-73.4948748,43.0872799,,
221597511,-73.494235,43.096125,,
221602903,-73.501953,43.095424,,
221615570,-73.491498,43.093163,,
221617079,-73.492963,43.093092,,
221624505,-73.49337,43.093766,,
