u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221727279,221804991,0,False,residential,,24.933,,,,,,,,,,,20661470,
221727279,221804960,0,False,residential,Webb Lane,4.893,,,,,,,,,,,20693507,
221727279,222208708,0,False,residential,Webb Lane,141.962,,,,,,,,,,,20693507,
221739360,221739374,0,False,trunk_link,,112.562,,,,,,,,,,,35677587,
221739374,221942272,0,False,residential,Pellwood Lake Road,244.095,,,,,,,,,,,20673480,
221739374,221739360,0,False,trunk_link,,112.562,,,,,,,,,,,35677587,
221739374,221833582,0,False,secondary,Main Street,211.611,,,,,,,,,,,46265795,NY 218
221745207,221745208,0,False,residential,,63.454,,,,,,,,,,,20655100,
221745207,221846816,0,False,residential,Cemetery Road,30.616,,,,,,,,,,,20667742,
221745207,221859038,0,False,residential,Cemetery Road,21.498,,,,,,,,,,,20667742,
221745208,221745207,0,False,residential,,63.454,,,,,,,,,,,20655100,
221750272,1140696495,0,True,trunk,,471.982,2,,,55 mph,,,,,,,35677753,US 9W
221768770,221768793,0,False,residential,,86.153,,,,,,,,,,,20657418,
221768770,222281145,0,False,unclassified,New South Post Road,85.014,,,,,,,,,,,"[20707788, 442599111]",
221768770,222281156,0,False,unclassified,New South Post Road,166.656,,,,,,,,,,,"[442599100, 20707788]",
221768793,221768770,0,False,residential,,86.153,,,,,,,,,,,20657418,
221775829,222034786,0,False,residential,Drew Avenue,38.441,,,,,,,,,,,20678373,
221775829,1255610584,0,False,tertiary,Main Street,14.169,,,,,,,,,,,27807201,
221775829,3056711768,0,False,tertiary,Main Street,224.728,,,,,,,,,,,27807201,
221775833,1255610584,0,False,residential,Station Hill,16.955,,,,,,,,,,,20676004,
221775833,222281156,0,False,tertiary,West Point Highway,83.351,,,,,,,,,,,20699642,
221775833,221981880,0,False,residential,Station Hill,594.097,,,,,,,,,,,20676004,
221775833,221804438,0,False,tertiary,West Point Highway,132.776,,,,,,,,,,,20699642,
221781833,221781841,0,False,residential,,18.822,,,,,,,,,,,20658773,
221781833,222154315,0,False,secondary,Mountain Avenue,106.89,,,,,,,,,,,51863225,NY 218
