osmid,x,y,ref,highway
213350827,-73.394835,40.90589,,
213409287,-73.428035,40.904939,,
213409298,-73.428575,40.90508,,
213409302,-73.412055,40.900031,,
213409313,-73.411307,40.900077,,
213445426,-73.404745,40.896994,,
213445493,-73.405592,40.896389,,
213447962,-73.418929,40.901809,,
213447965,-73.418616,40.902663,,
213447971,-73.418259,40.903941,,
213450179,-73.417456,40.899974,,
213450185,-73.417211,40.899758,,
213472387,-73.405027,40.900641,,
213473762,-73.407069,40.900782,,
213473783,-73.4093,40.901416,,
213487498,-73.420196,40.896373,,
213487524,-73.418334,40.899199,,
213489988,-73.40409,40.904872,,
213489991,-73.4043157,40.9052119,,
213492851,-73.414893,40.899855,,
213492857,-73.415274,40.899806,,
213492876,-73.416564,40.90018,,
213537405,-73.428634,40.902083,,
213537420,-73.429931,40.902137,,
213537423,-73.430183,40.902201,,
213577513,-73.426352,40.900977,,
213577761,-73.39372,40.904647,,
213601123,-73.422225,40.902472,,
213602947,-73.418411,40.900622,,
213602958,-73.420021,40.901713,,
213603033,-73.418288,40.901011,,
213603069,-73.417091,40.901812,,
213603185,-73.405196,40.900962,,
213603194,-73.403806,40.902076,,
213603233,-73.404371,40.904769,,
213615513,-73.414444,40.902522,,
213615522,-73.412757,40.902672,,
213615536,-73.411254,40.902957,,
213615551,-73.409613,40.902957,,
213617746,-73.4216903,40.9037644,,turning_loop
213626470,-73.401686,40.903937,,
213636478,-73.428228,40.903312,,
213636498,-73.429273,40.903655,,
213669182,-73.3948649,40.9069935,,
213683122,-73.406501,40.900008,,
213683126,-73.405737,40.900111,,
213702798,-73.402853,40.902274,,
213702806,-73.403028,40.902762,,
213702809,-73.402915,40.903468,,
213706143,-73.43058,40.905129,,
213706179,-73.429301,40.905485,,
213708817,-73.405035,40.904612,,
213727951,-73.431061,40.901107,,
213728002,-73.431281,40.902858,,
213728004,-73.431152,40.902968,,
213728026,-73.429887,40.903815,,
213749287,-73.418067,40.899871,,
213765477,-73.408499,40.895823,,
213765497,-73.409392,40.900512,,
213765511,-73.4099221,40.9043206,,
213775290,-73.400847,40.903857,,
213775294,-73.399863,40.903914,,
213786791,-73.4307536,40.9054011,,
213786821,-73.430095,40.905726,,
213830801,-73.406325,40.89778,,
213840659,-73.431114,40.902858,,
213850285,-73.411382,40.89944,,
213850344,-73.411055,40.901657,,
213851718,-73.412712,40.901103,,
213851747,-73.414495,40.901297,,
213855662,-73.430259,40.902054,,
213855681,-73.430411,40.901423,,
213855688,-73.430785,40.900828,,
213855699,-73.431801,40.900111,,
213904772,-73.412688,40.896258,,
213910422,-73.414677,40.894702,,
213910426,-73.415168,40.896121,,
213910434,-73.416557,40.897889,,
213910473,-73.420989,40.901091,,
213910492,-73.422959,40.902947,,
213910511,-73.425693,40.903538,,
213910570,-73.427072,40.902685,,
213910580,-73.428383,40.902812,,
213911668,-73.428035,40.904297,,
213911671,-73.428167,40.904425,,
213911721,-73.426492,40.904876,,
213911753,-73.425635,40.903772,,
213928244,-73.402358,40.90549,,
213928279,-73.406507,40.90433,,
213979620,-73.3957201,40.9076961,,turning_circle
213980115,-73.4143584,40.9040395,,
213980127,-73.414158,40.898707,,
213980133,-73.413053,40.899032,,
213980290,-73.41165,40.895053,,
214000111,-73.417128,40.894984,,
214026603,-73.4066,40.896182,,
214026663,-73.404883,40.899928,,
214026707,-73.406554,40.904822,,
214124301,-73.402121,40.903861,,
214172310,-73.424149,40.905538,,
214186835,-73.40779,40.90254,,
214255842,-73.416671,40.895674,,
214276843,-73.426756,40.904415,,
214276918,-73.428881,40.904656,,
214299340,-73.415999,40.900565,,
444073202,-73.417098,40.894229,,
3258202080,-73.3992643,40.9055387,,
3258202133,-73.4075902,40.902893,,
3258202140,-73.4132094,40.9038641,,turning_circle
3258202156,-73.3964617,40.9080522,,
4591222013,-73.4310942,40.9056695,,
5516107314,-73.4114144,40.9040429,,turning_circle
