u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213344388,213344391,0,False,residential,Forest Avenue,194.945,,,,,,,,,,,20173608,
213344388,214136792,0,False,residential,Ruby Lane,87.81,,,,,,,,,,,20239706,
213344388,213358669,0,False,residential,Forest Avenue,165.563,,,,,,,,,,,"[20173608, 20175059]",
213344391,213344394,0,False,residential,Forest Avenue,195.993,,,,,,,,,,,20173608,
213344391,213344388,0,False,residential,Forest Avenue,194.945,,,,,,,,,,,20173608,
213344391,213549859,0,False,residential,Elkwood Street,86.641,,,,,,,,,,,20193116,
213344394,213344397,0,False,residential,Forest Avenue,72.116,,,,,,,,,,,20173608,
213344394,213344391,0,False,residential,Forest Avenue,195.993,,,,,,,,,,,20173608,
213344394,214203526,0,False,residential,Pine Street North,98.646,,,,,,,,,,,20256775,
213344397,213344399,0,False,residential,Forest Avenue,73.787,,,,,,,,,,,20173608,
213344397,213344394,0,False,residential,Forest Avenue,72.116,,,,,,,,,,,20173608,
213344397,214203531,0,False,residential,"['Maple Street', 'Maple Court']",116.071,,,,,,,,,,,"[20252971, 20256668]",
213344399,213344401,0,False,residential,Forest Avenue,74.788,,,,,,,,,,,20173608,
213344399,213344397,0,False,residential,Forest Avenue,73.787,,,,,,,,,,,20173608,
213344399,214203535,0,False,residential,Cherry Lane,132.796,,,,,,,,,,,20254196,
213344401,213344404,0,False,residential,Forest Avenue,74.753,,,,,,,,,,,20173608,
213344401,213344399,0,False,residential,Forest Avenue,74.788,,,,,,,,,,,20173608,
213344401,213664806,0,False,residential,Park Street,108.96,,,,,,,,,,,464740993,
213344401,213560856,0,False,residential,Arlington Terrace,151.593,,,,,,,,,,,20251709,
213344404,213344407,0,False,residential,Forest Avenue,71.243,,,,,,,,,,,20173608,
213344404,213344401,0,False,residential,Forest Avenue,74.753,,,,,,,,,,,20173608,
213344404,213930040,0,False,residential,Greenway Terrace,167.99,,,,,,,,,,,20225180,
213344407,213344410,0,False,residential,Forest Avenue,39.11,,,,,,,,,,,20173608,
213344407,213344404,0,False,residential,Forest Avenue,71.243,,,,,,,,,,,20173608,
213344407,3997273426,0,False,residential,State Street,100.813,,,,,,,,,,,20213262,
213344410,213344407,0,False,residential,Forest Avenue,39.11,,,,,,,,,,,20173608,
213358387,213378943,0,False,residential,,123.786,,,,,,,,,,,20177230,
213358669,360921684,0,False,tertiary,Stony Brook Road,36.26,,,,,,,,,,,20244881,
213358669,214203505,0,False,tertiary,Stony Brook Road,73.885,,,,,,,,,,,20244881,
213358669,213344388,0,False,residential,Forest Avenue,165.563,,,,,,,,,,,"[20173608, 20175059]",
213372190,2830729801,0,False,unclassified,,98.922,,,,,,,,,,,20176511,
213372190,2830729802,0,False,tertiary,Moriches Road,121.037,,,,,,,,,,,49905711,
213372190,214074043,0,False,primary,Middle Country Road,93.11,,,,,,,,,,,20235120,NY 25
213378943,213358387,0,False,residential,,123.786,,,,,,,,,,,20177230,
213378943,213553642,0,False,residential,Parsnip Pond Road,359.076,,,,,,,,,,,20252774,
213378943,214254721,0,False,residential,Parsnip Pond Road,62.154,,,,,,,,,,,20252774,
213380894,214362432,0,False,residential,Washburn Street,152.199,,,,,,,,,,,20254301,
213380894,213610789,0,False,residential,Washburn Street,358.743,,,,,,,,,,,20254301,
213388664,213469211,0,False,residential,Sankey's Path,76.522,,,,,,,,,,,20212419,
213388674,213959490,0,False,residential,Lupine Lane,193.357,,,,,,,,,,,20227132,
213388674,214099890,0,False,residential,Kimberley Court,228.683,,,,,,,,,,,20237094,
213388674,213774616,0,False,residential,Sankeys Path,191.414,,,,,,,,,,,20251855,
213397315,360920356,0,False,"['unclassified', 'residential']",Lakeside Avenue,15.336,,,,,,,,,,,"[20234331, 20179422]",
213397315,213799597,0,True,primary,Nesconset Highway,336.484,,,,,,,,,,,463724755,NY 347
213427951,213427952,0,False,residential,Fairfield At Lake Grove,27.83,,,,,,,,,,,20183852,
213427951,213665309,0,False,residential,Hallock Road,35.133,,,,,,,,,,,20210594,
213427951,213589689,0,False,residential,Hallock Road,423.705,,,,,,,,,,,20210594,
213427952,213427951,0,False,residential,Fairfield At Lake Grove,27.83,,,,,,,,,,,20183852,
