osmid,x,y,ref,highway
261352039,-73.580307,40.854861,,
261358341,-73.584983,40.848515,,
261358436,-73.5903277,40.8626998,,
261360523,-73.5916258,40.8597334,,
261360605,-73.5932499,40.8645777,,
261361408,-73.5944346,40.8710095,,
261362320,-73.580081,40.868232,,
261364799,-73.591842,40.875527,,
261375563,-73.5683509,40.8672096,,
261375601,-73.576529,40.8761019,,
261375603,-73.5769897,40.876854,,
261375613,-73.5791448,40.8783499,,
261375620,-73.5652758,40.8687252,,
261377398,-73.577513,40.8684906,,
261377414,-73.57882,40.866755,,
261379737,-73.567799,40.865388,,
261379748,-73.562296,40.866881,,turning_circle
261384985,-73.568195,40.858695,,
261384996,-73.5722195,40.8605459,,
261391916,-73.580618,40.876714,,
261415650,-73.588135,40.867155,,
261415663,-73.58242,40.867994,,
261436641,-73.5943469,40.8705731,,
261436646,-73.59467,40.872699,,
261455802,-73.5671277,40.8631892,,
261457956,-73.580991,40.863946,,
261457972,-73.579851,40.863966,,
261458232,-73.5951452,40.8757352,,
261466887,-73.5953129,40.8738251,,
261466889,-73.595714,40.874054,,
261471471,-73.5794038,40.8776933,,
261473775,-73.57503,40.85628,,
261494466,-73.596371,40.870249,,
261494478,-73.5978955,40.8733939,,
261501007,-73.56953,40.855883,,
261502084,-73.588573,40.8691343,,
443239649,-73.585846,40.844793,,
443239689,-73.5785371,40.8490809,,
443239711,-73.573867,40.851461,,
443239731,-73.582939,40.845989,,
443239744,-73.58891,40.851809,,
443239754,-73.590248,40.855035,,
443239768,-73.588202,40.848211,,
443248496,-73.59381,40.865966,,traffic_signals
443248501,-73.593668,40.865274,,
443248521,-73.592075,40.859903,,
443248533,-73.592542,40.862172,,
634904208,-73.5751,40.874435,,
3353309401,-73.58023,40.86804,,
3353309417,-73.572766,40.871218,,
4072668955,-73.5852851,40.8552654,,
4072668956,-73.5856604,40.8552949,,
4072668963,-73.5842627,40.8553599,,
4072668970,-73.5853812,40.8554403,,
4072669563,-73.5873795,40.8563824,,
4072669608,-73.5873802,40.8566124,,
4313327118,-73.5829158,40.8562662,,
4313327138,-73.5818764,40.8564112,,
4313327152,-73.5839122,40.8574033,,
4366300707,-73.5977275,40.8678212,,
4366300712,-73.5979116,40.8679093,,
4368824822,-73.5880472,40.8727636,,
4368824840,-73.5953561,40.8741475,,
4368824881,-73.5898966,40.8763808,,
4377683888,-73.5746073,40.860243,,
4377683900,-73.5722352,40.8604288,,
4377683907,-73.5720666,40.860475,,
4377755955,-73.5778503,40.8597522,,
4377759102,-73.572894,40.8706233,,
4377759267,-73.5756761,40.8750857,,
