u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221740260,221967653,0,False,residential,Boyd Street,110.078,,,,,,,,,,,20674984,
221740260,221740271,0,False,residential,,95.918,,,,,,,,,,,20654638,
221740260,221967630,0,False,residential,Boyd Street,208.425,,,,,,,,,,,20674984,
221740271,221740260,0,False,residential,,95.918,,,,,,,,,,,20654638,
221744963,564447389,0,False,residential,Wintergreen Court,37.662,,,,,,,,,,,20685839,
221744963,564447491,0,False,residential,,66.71,,,,,,,,,,,20655078,
221744963,222126875,0,False,residential,Wintergreen Court,50.235,,,,,,,,,,,20685839,
221763538,222068306,0,False,secondary,Union Street,44.426,,,,,,,,,,,20690849,NY 211
221763538,221919285,0,False,secondary,Union Street,40.528,,,,,,,,,,,20690849,NY 211
221763538,221763550,0,False,secondary_link,,27.815,,,,,,,,,,,20656901,
221763550,221763538,0,False,secondary_link,,27.815,,,,,,,,,,,20656901,
221763550,222068306,0,False,secondary,State Highway 416,57.598,,,,,,,,,,,32397039,NY 416
221798934,221798949,0,False,residential,,67.644,,,,,,,,,,,20660766,
221798934,564447342,0,False,residential,Summer Set Drive,23.344,,,,,,,,,,,20707846,
221798934,564447335,0,False,residential,Summer Set Drive,29.576,,,,,,,,,,,20707846,
221798949,221798934,0,False,residential,,67.644,,,,,,,,,,,20660766,
221814858,221814859,0,False,residential,,52.457,,,,,,,,,,,20662649,
221814858,222126855,0,False,residential,Summer Set Drive,49.282,,,,,,,,,,,20707846,
221814858,221986648,0,False,residential,Summer Set Drive,35.476,,,,,,,,,,,20707846,
221814859,221814858,0,False,residential,,52.457,,,,,,,,,,,20662649,
221815604,221815629,0,False,residential,,125.507,,,,,,,,,,,20662709,
221815604,221815629,1,False,residential,Williams Street,38.089,,,,,,,,,,,20684136,
221815604,221915725,0,False,residential,"['Charles Street', 'Williams Street']",109.764,,,,,,,,,,,"[20684136, 20671802]",
221815629,221815604,0,False,residential,,125.507,,,,,,,,,,,20662709,
221815629,221815604,1,False,residential,Williams Street,38.089,,,,,,,,,,,20684136,
221815629,222111324,0,False,residential,Williams Street,47.805,,,,,,,,,,,20684136,
221849431,221849444,0,False,residential,Wavey Willow Lane,107.135,,,,,,,,,,,20666887,
221849431,222195202,0,False,residential,Railroad Avenue,143.887,,,,,,,,,,,20692344,
221849431,221985230,0,False,residential,Senior Street,143.026,,,,,,,,,,,20706759,
221849444,221849454,0,False,residential,Wavey Willow Lane,120.221,,,,,,,,,,,20666887,
221849444,221849431,0,False,residential,Wavey Willow Lane,107.135,,,,,,,,,,,20666887,
221849444,221978684,0,False,residential,Sycamore Drive,394.502,,,,,,,,,,,20675766,
221849444,221978631,0,False,residential,Sycamore Drive,298.157,,,,,,,,,,,20675766,
221849454,221849489,0,False,residential,Wavey Willow Lane,414.178,,,,,,,,,,,20666887,
221849454,221849444,0,False,residential,Wavey Willow Lane,120.221,,,,,,,,,,,20666887,
221849454,221978684,0,False,residential,Pine Court,305.098,,,,,,,,,,,20681827,
221849489,221912091,0,False,residential,Elm Court,44.869,,,,,,,,,,,20671570,
221849489,221849454,0,False,residential,Wavey Willow Lane,414.178,,,,,,,,,,,20666887,
221849489,221978684,0,False,residential,Sycamore Drive,119.304,,,,,,,,,,,20675766,
221862538,222347501,0,False,residential,"['River Street', 'Pleasant Avenue']",777.095,,,,,,,,,,,"[20713201, 20668036]",
221862538,222176616,0,False,secondary,Union Street,219.089,,,,,,,,,,,20690849,NY 211
221862538,221883887,0,False,secondary,Union Street,251.269,,,,,,,,,,,20690849,NY 211
221872956,222160065,0,False,tertiary,Goodwill Road,64.538,,,,,,,,,,,20689266,
221872956,221953363,0,False,tertiary,Goodwill Road,33.301,,,,,,,,,,,20689266,
221872956,3480261214,0,False,residential,Purple Heart Way,296.797,,,,,,,,,,,20668873,
221872996,3480261214,0,False,residential,Purple Heart Way,83.01,,,,,,,,,,,20668873,
221877985,221899697,0,False,residential,"['Elizabeth Street', 'Jennings Street']",251.568,,,,,,,,,,,"[20669321, 20708295]",
221877985,221986691,0,False,secondary,Ward Street,24.676,,,,,,,,,,,20676222,NY 17K
221883887,221937794,0,False,secondary,Union Street,153.797,,,,,,,,,,,20690849,NY 211
221883887,221883899,0,False,residential,Purple Martin Drive,183.999,,,,,,,,,,,20669839,
221883887,221862538,0,False,secondary,Union Street,251.269,,,,,,,,,,,20690849,NY 211
221883887,222299949,0,False,residential,Jacobson Avenue,181.701,,,,,,,,,,,20701520,
221883899,221883900,0,False,residential,Purple Martin Drive,31.245,,,,,,,,,,,20669839,
221883899,221883887,0,False,residential,Purple Martin Drive,183.999,,,,,,,,,,,20669839,
221883899,221967890,0,False,residential,Humming Bird Court,45.919,,,,,,,,,,,20675003,
221883900,221883899,0,False,residential,Purple Martin Drive,31.245,,,,,,,,,,,20669839,
221883900,221883924,0,False,residential,Purple Martin Drive,164.958,,,,,,,,,,,20669839,
221883900,221933647,0,False,residential,Oriole Drive,95.205,,,,,,,,,,,20672938,
221883924,221883900,0,False,residential,Purple Martin Drive,164.958,,,,,,,,,,,20669839,
221883924,222329675,0,False,residential,Cardinal Drive,44.775,,,,,,,,,,,20704310,
221883924,221885182,0,False,residential,Cardinal Drive,64.765,,,,,,,,,,,20704310,
221884978,222305404,0,False,residential,Washington Avenue,44.061,,,,,,,,,,,20701974,
221884978,222040851,0,False,residential,Washington Avenue,106.563,,,,,,,,,,,20701974,
221884978,221884991,0,False,residential,Tyler Street,150.145,,,,,,,,,,,20669892,
221884991,221961078,0,False,residential,Jefferson Road,59.236,,,,,,,,,,,20674555,
221884991,221884978,0,False,residential,Tyler Street,150.145,,,,,,,,,,,20669892,
221884991,221961068,0,False,residential,Jefferson Road,122.961,,,,,,,,,,,20674555,
221885182,221885199,0,False,residential,Blue Jay Lane,161.687,,,,,,,,,,,20669900,
221885182,221883924,0,False,residential,Cardinal Drive,64.765,,,,,,,,,,,20704310,
221885182,222047942,0,False,residential,Cardinal Drive,83.056,,,,,,,,,,,20704310,
221885199,221933647,0,False,residential,Oriole Drive,57.902,,,,,,,,,,,20672938,
221885199,221885182,0,False,residential,Blue Jay Lane,161.687,,,,,,,,,,,20669900,
221885199,221933656,0,False,residential,Oriole Drive,117.394,,,,,,,,,,,20672938,
221899695,221899697,0,False,residential,Taft Avenue,151.975,,,,,,,,,,,20670795,
221899695,221915725,0,False,residential,Charles Street,14.279,,,,,,,,,,,20671802,
221899695,221915717,0,False,residential,Charles Street,197.588,,,,,,,,,,,20671802,
221899697,221899699,0,False,residential,Taft Avenue,82.473,,,,,,,,,,,20670795,
221899697,221899695,0,False,residential,Taft Avenue,151.975,,,,,,,,,,,20670795,
221899697,222385091,0,False,residential,Jennings Street,152.161,,,,,,,,,,,20708295,
221899697,221877985,0,False,residential,"['Elizabeth Street', 'Jennings Street']",251.568,,,,,,,,,,,"[20669321, 20708295]",
221899699,221899697,0,False,residential,Taft Avenue,82.473,,,,,,,,,,,20670795,
221912091,221849489,0,False,residential,Elm Court,44.869,,,,,,,,,,,20671570,
221915683,221915691,0,False,residential,Charles Street,141.489,,,,,,,,,,,20671802,
221915683,222077528,0,False,residential,"['Railroad Avenue', 'Clinton Street']",79.893,,,,,,,,,,,"[20692344, 20681282]",
221915683,222111099,0,False,residential,Railroad Avenue,129.991,,,,,,,,,,,20692344,
221915691,221985249,0,False,residential,Wallkill Avenue,79.08,,,,,,,,,,,20676154,
221915691,221985248,0,False,residential,Wallkill Avenue,130.814,,,,,,,,,,,20676154,
221915691,221915703,0,False,residential,Charles Street,161.853,,,,,,,,,,,20671802,
221915691,221915683,0,False,residential,Charles Street,141.489,,,,,,,,,,,20671802,
221915703,222077530,0,False,secondary,Union Street,76.887,,,,,,,,,,,20690849,NY 211
221915703,222111112,0,False,secondary,Union Street,127.039,,,,,,,,,,,20690849,NY 211
221915703,221915713,0,False,residential,Charles Street,167.439,,,,,,,,,,,20671802,
221915703,221915691,0,False,residential,Charles Street,161.853,,,,,,,,,,,20671802,
221915713,221915717,0,False,residential,Charles Street,6.428,,,,,,,,,,,20671802,
221915713,222077532,0,False,residential,Bridge Street,80.952,,,,,,,,,,,20682411,
221915713,221915703,0,False,residential,Charles Street,167.439,,,,,,,,,,,20671802,
221915717,221915713,0,False,residential,Charles Street,6.428,,,,,,,,,,,20671802,
221915717,221899695,0,False,residential,Charles Street,197.588,,,,,,,,,,,20671802,
221915717,222088426,0,False,residential,Bridge Street,216.323,,,,,,,,,,,20682417,
221915725,221899695,0,False,residential,Charles Street,14.279,,,,,,,,,,,20671802,
221915725,221815604,0,False,residential,"['Charles Street', 'Williams Street']",109.764,,,,,,,,,,,"[20684136, 20671802]",
