osmid,x,y,ref,highway
213570516,-74.085932,41.748354,,
213570519,-74.086682,41.748493,,
213570520,-74.087723,41.748691,,
213593698,-74.083977,41.763237,,
213593736,-74.083537,41.763305,,
213660816,-74.08587,41.759291,,
213660831,-74.087073,41.758672,,
213660838,-74.085951,41.758651,,
213660852,-74.087599,41.758667,,
213668706,-74.081149,41.761424,,
213668709,-74.081668,41.761528,,
213686917,-74.08592,41.758165,,
213695529,-74.076088,41.758631,,
213700882,-74.084526,41.745501,,
213700891,-74.083819,41.746121,,
213703811,-74.082086,41.758535,,
213703827,-74.078864,41.757656,,
213703836,-74.077627,41.757233,,
213724189,-74.079914,41.742923,,
213724192,-74.079456,41.743584,,
213724197,-74.079002,41.744255,,
213724200,-74.0785,41.745004,,
213724203,-74.077927,41.745895,,traffic_signals
213728504,-74.073919,41.748965,,
213728517,-74.074958,41.749361,,
213728520,-74.076108,41.749804,,stop
213728523,-74.077063,41.750176,,stop
213728529,-74.077915,41.750477,,stop
213728535,-74.080301,41.751335,,stop
213728552,-74.08365,41.752704,,stop
213728556,-74.084924,41.752952,,stop
213732122,-74.0817535,41.76105,,
213732139,-74.081525,41.763299,,
213734809,-74.089009,41.742659,,
213734821,-74.087836,41.745132,,
213734825,-74.087783,41.745243,,
213734831,-74.087378,41.746016,,
213734837,-74.087042,41.746782,,
213734846,-74.086885,41.747523,,traffic_signals
213734898,-74.088088,41.742315,,
213734910,-74.090946,41.74341,,
213743121,-74.084441,41.749275,,
213743133,-74.085286,41.749395,,
213743141,-74.0848133,41.7501075,,
213743150,-74.082912,41.749418,,
213743701,-74.080308,41.74685,,
213743704,-74.079212,41.74854,,
213746849,-74.085322,41.744315,,
213746851,-74.086421,41.744731,,
213746854,-74.086736,41.744847,,
213746872,-74.088483,41.745275,,
213746896,-74.090015,41.745037,,
213747301,-74.086168,41.747787,,
213747307,-74.08553,41.749019,,
213747321,-74.084134,41.751877,,
213747334,-74.083031,41.753693,,
213747349,-74.082765,41.754765,,
213767038,-74.076952,41.740711,,
213767044,-74.0772987,41.7401028,,
213782597,-74.08352,41.745225,,
213782605,-74.086394,41.745831,,
213787146,-74.086282,41.749607,,traffic_signals
213787159,-74.085424,41.751961,,traffic_signals
213787166,-74.084477,41.753705,,traffic_signals
213787175,-74.082585,41.756936,,
213787194,-74.081501,41.760581,,
213797032,-74.07469,41.747002,,
213797049,-74.0750989,41.7460836,,
213797380,-74.059938,41.758006,,
213813315,-74.091805,41.74188,,
213819305,-74.081563,41.749357,,
213819311,-74.081843,41.74939,,
213819513,-74.075954,41.747405,,
213819517,-74.077143,41.747804,,
213819521,-74.078116,41.748153,,
213819523,-74.079728,41.748742,,
213819526,-74.08039,41.748978,,
213819532,-74.081536,41.749398,,
213821524,-74.080456,41.7573,,
213827935,-74.062,41.752419,,
213827958,-74.065015,41.753922,,
213841300,-74.073698,41.751112,,
213848124,-74.09607,41.740451,,
213848133,-74.096771,41.741026,,
213850058,-74.08252,41.751503,,
213850103,-74.088285,41.752043,,
213850971,-74.090003,41.746642,,
213862333,-74.0880123,41.750717,,
213862393,-74.086523,41.753723,,
213862414,-74.085905,41.756535,,
213868581,-74.081487,41.74724,,
213868590,-74.079829,41.749794,,
213886682,-74.080948,41.74594,,
213886693,-74.083051,41.746724,,
213906782,-74.079535,41.749001,,
213915722,-74.077397,41.756729,,
213927881,-74.080286,41.744778,,
213935873,-74.076882,41.745505,,
213935908,-74.072462,41.752938,,
213940582,-74.084975,41.756758,,
213940584,-74.085024,41.756417,,
213940587,-74.085052,41.756267,,
213940590,-74.085157,41.755702,,
213940597,-74.085509,41.756482,,
213943126,-74.081446,41.745207,,
213979160,-74.088346,41.747027,,
213979174,-74.085093,41.74813,,
213979177,-74.084964,41.748141,,
213979196,-74.082677,41.747634,,
213979201,-74.07902,41.746331,,
213979206,-74.078033,41.745935,,traffic_signals
214041205,-74.078261,41.742128,,
214041211,-74.078179,41.742257,,
214041216,-74.077918,41.742644,,
214053538,-74.080755,41.744032,,
214053547,-74.081943,41.744501,,
214082166,-74.079967,41.74557,,
214117246,-74.082155,41.75062,,
214117298,-74.081635,41.750586,,
214117309,-74.080937,41.750335,,
214137242,-74.082021,41.750106,,
214137253,-74.081684,41.750744,,
352871658,-74.085385,41.7423028,,
2406880659,-74.0613444,41.7580235,,
2406880748,-74.0644249,41.7561887,,
2406880841,-74.0613904,41.7579626,,
2419438352,-74.067153,41.7602042,,turning_circle
2421454022,-74.0886206,41.7480015,,
2421454086,-74.087404,41.7502619,,
3318998923,-74.0799623,41.7506759,,
