osmid,x,y,ref,highway
213583676,-73.154744,40.649474,,
213583682,-73.15389,40.647696,,
213583698,-73.1526241,40.6450323,,
213597413,-73.1585284,40.6487262,,
213597419,-73.1575534,40.6466802,,
213642855,-73.1592018,40.648539,,
213642860,-73.1582293,40.6464991,,
213679387,-73.156923,40.64685,,
213679390,-73.157829,40.6487351,,
213679392,-73.1579061,40.6488936,,
213679397,-73.1580576,40.6492146,,
213697588,-73.1589665,40.6462974,,
213697597,-73.156315,40.647019,,
213697601,-73.155708,40.647189,,
213756010,-73.1606829,40.6481185,,
213803052,-73.1532403,40.6448629,,
213803056,-73.154489,40.64753,,
213803062,-73.155344,40.649308,,
213814660,-73.1572939,40.6490519,,
213814662,-73.1572277,40.648903,,
213814665,-73.1550678,40.6443606,,
213886575,-73.1560443,40.6493257,,
213886580,-73.156003,40.649241,,
213886585,-73.155954,40.649139,,
213886587,-73.155098,40.64736,,
213886589,-73.1538501,40.6446953,,
213936347,-73.1547842,40.6495719,,
214090265,-73.1599381,40.6483299,,
214090268,-73.1600634,40.6485851,,
214208599,-73.154455,40.6445291,,
214229980,-73.156623,40.6490725,,
214229986,-73.1569041,40.649662,,
2854454350,-73.1593565,40.6488631,,
2854454351,-73.1586665,40.6490274,,
2854454354,-73.1597068,40.6461014,,
2905129944,-73.1591204,40.6483806,,
2905129945,-73.1584547,40.6485644,,
2905129950,-73.1563089,40.6440671,,
2905129951,-73.1569905,40.6438919,,
2905129953,-73.1577599,40.6437369,,
2905129959,-73.1538001,40.6445985,,
2905129960,-73.152582,40.6449537,,
2907814488,-73.155499,40.649619,,
