osmid,x,y,ref,highway
261353348,-73.513625,40.867467,,
261353354,-73.513573,40.867366,,
261354391,-73.488637,40.870945,,
261354435,-73.488487,40.87124,,
261356196,-73.515986,40.856794,,
261356198,-73.515623,40.857028,,
261356208,-73.514732,40.851739,,
261356212,-73.514956,40.851921,,
261356535,-73.51155,40.847537,,
261356536,-73.511367,40.847773,,
261358349,-73.52107,40.842354,,
261358438,-73.50139,40.867503,,
261358439,-73.501372,40.867646,,
261358517,-73.521938,40.842912,,
261360554,-73.514555,40.86753,,
261360575,-73.516632,40.866051,,
261360611,-73.499068,40.865758,,
261360621,-73.49389,40.867609,,
261360623,-73.512361,40.874063,,
261360676,-73.512096,40.871254,,
261362424,-73.493575,40.849405,,
261362437,-73.492317,40.847436,,
261363195,-73.522899,40.870997,,
261363201,-73.52131,40.871162,,
261363211,-73.516619,40.872045,,
261363231,-73.511137,40.870663,,
261366158,-73.51171,40.855126,,
261366161,-73.5094985,40.8558252,,
261366186,-73.522499,40.86936,,
261366522,-73.525066,40.866553,,
261368294,-73.489828,40.855752,,
261368827,-73.492236,40.84749,,
261368832,-73.49231,40.848154,,
261372664,-73.50783,40.842337,,
261372665,-73.507886,40.842553,,
261374236,-73.496938,40.871569,,
261374256,-73.494171,40.874055,,
261374831,-73.499205,40.865843,,
261374868,-73.507239,40.858141,,
261375746,-73.500544,40.847852,,
261375759,-73.503029,40.850475,,
261375762,-73.503101,40.851096,,
261376886,-73.516838,40.854308,,
261376893,-73.51808,40.85354,,
261376899,-73.518183,40.852982,,
261381146,-73.517893,40.851042,,
261388953,-73.512275,40.841647,,
261390969,-73.507142,40.84828,,
261390997,-73.511134,40.850726,,
261391536,-73.5057666,40.8706854,,
261395490,-73.491221,40.862729,,
261395503,-73.497299,40.8635941,,
261398343,-73.492985,40.860105,,
261398357,-73.49024,40.861611,,
261398362,-73.49548,40.845041,,
261398372,-73.494335,40.845989,,
261398375,-73.516741,40.873398,,
261400991,-73.509934,40.870823,,
261401006,-73.5104213,40.8729386,,
261402088,-73.485442,40.858656,,
261402095,-73.486098,40.86048,,
261402100,-73.486122,40.862316,,
261402145,-73.486431,40.866965,,
261402652,-73.498862,40.838519,,
261407035,-73.489004,40.853784,,
261413131,-73.515039,40.861455,,
261415039,-73.501793,40.841338,,
261415040,-73.501533,40.841674,,
261415045,-73.500473,40.841984,,
261415048,-73.498057,40.842186,,
261415092,-73.495334,40.839086,,
261417016,-73.4883798,40.8471648,,
261417018,-73.4879566,40.8469741,,
261419960,-73.511923,40.846175,,
261419962,-73.508497,40.846643,,
261419967,-73.5059369,40.8469742,,
261419969,-73.505311,40.847042,,
261419971,-73.504471,40.847135,,
261419979,-73.496956,40.848968,,
261420000,-73.488024,40.851277,,
261420628,-73.502091,40.842726,,
261420632,-73.503739,40.842656,,
261426804,-73.509415,40.863942,,
261430478,-73.501255,40.838926,,
261432407,-73.488076,40.849479,,
261432422,-73.489749,40.847828,,
261434315,-73.51311,40.8521,,
261436499,-73.499007,40.850429,,
261438672,-73.494337,40.839965,,
261446685,-73.498638,40.846983,,
261446695,-73.494567,40.844307,,
261446994,-73.50512,40.869852,,
261447026,-73.507117,40.866845,,turning_circle
261447521,-73.516096,40.857131,,
261447534,-73.514803,40.854489,,
261451900,-73.518557,40.858004,,
261451926,-73.516186,40.854212,,
261452526,-73.506343,40.847629,,
261452536,-73.504977,40.8498,,
261453464,-73.497986,40.85522,,
261453475,-73.501131,40.854585,,
261454559,-73.4974403,40.8638201,,
261455952,-73.518084,40.841028,,
261457155,-73.497982,40.847677,,
261459518,-73.516467,40.847887,,
261459644,-73.489875,40.839143,,
261460380,-73.50187,40.841635,,
261460434,-73.5058744,40.8473194,,
261460449,-73.509135,40.851786,,
261460465,-73.512554,40.856785,,
261460491,-73.521537,40.860575,,
261461133,-73.51662,40.843423,,
261461645,-73.497111,40.857095,,
261461653,-73.49349,40.860562,,
261464159,-73.5088667,40.8546841,,
261470230,-73.492272,40.845486,,
261473928,-73.502215,40.868028,,
261473934,-73.501041,40.868812,,
261474077,-73.510785,40.843576,,
261481390,-73.496279,40.862408,,
261481405,-73.4973807,40.860164,,
261484134,-73.512605,40.840711,,
261485671,-73.503935,40.866396,,
261485698,-73.501199,40.867557,,
261489638,-73.491039,40.845859,,
261491642,-73.491358,40.858188,,
261494956,-73.507324,40.855411,,
261498033,-73.506691,40.851363,,
261498874,-73.519388,40.854285,,
261502608,-73.505427,40.854794,,
261503467,-73.491865,40.857913,,
443240337,-73.522153,40.861124,,
443245531,-73.485674,40.868347,,
443245546,-73.490272,40.869156,,
443245594,-73.49216,40.859104,,
443245611,-73.48878,40.870768,,
443245973,-73.524133,40.868401,,
443246038,-73.501725,40.870045,,
1014472581,-73.5013904,40.8395864,,
1014472744,-73.5035633,40.8403406,,
1027110457,-73.5172904,40.8456807,,
1027110458,-73.5148279,40.8458432,,
1027110459,-73.5132034,40.8459567,,
1027110481,-73.5132093,40.8461546,,
1027110482,-73.5137452,40.846119,,
1027110483,-73.5148674,40.8460427,,
1027110484,-73.5174842,40.8458877,,
2129901417,-73.5046342,40.8467165,,
2962350257,-73.5228552,40.8442804,,
4475622070,-73.5056374,40.8705247,,
4610987263,-73.5121264,40.8730734,,
4610987266,-73.5106567,40.8738479,,
4695790155,-73.5156665,40.8673306,,
4695790161,-73.5151361,40.8664009,,
4695791290,-73.5173536,40.865576,,
4695791294,-73.5166607,40.8654523,,
