osmid,x,y,ref,highway
261513126,-73.612807,41.567839,,
261518268,-73.611183,41.565307,,
261518269,-73.611556,41.564663,,
261521177,-73.5902839,41.5719285,,
261521623,-73.602146,41.552873,,
261523241,-73.5928759,41.5540024,,traffic_signals
261537877,-73.602974,41.571912,,
261537879,-73.602726,41.572134,,
261542653,-73.6081398,41.5520898,,
261546006,-73.605911,41.554056,,
261546023,-73.60451,41.554578,,
261546315,-73.610686,41.554082,,
261546316,-73.610465,41.553979,,
261546317,-73.610159,41.554087,,
261792789,-73.5953342,41.5576615,,
261792794,-73.594665,41.557975,,
261796967,-73.59951,41.570017,,
261796987,-73.59765,41.571231,,
261807521,-73.588274,41.554514,,
261817895,-73.613197,41.567494,,
261817898,-73.612307,41.566467,,
261817907,-73.610398,41.564795,,
261817917,-73.608388,41.56278,,
261817921,-73.60749,41.562526,,
261817926,-73.605234,41.5627,,
261817940,-73.602555,41.561916,,
261817942,-73.601759,41.56188,,
261817943,-73.6016048,41.5618877,,
261818399,-73.601379,41.562825,,
261818400,-73.6012236,41.563562,,bus_stop
261818406,-73.6011716,41.5644333,,
261818407,-73.6011583,41.5645413,,
261818419,-73.599862,41.568311,,
261818429,-73.600087,41.572182,,
261818432,-73.600443,41.574312,,
261818435,-73.6013632,41.5635774,,
261818436,-73.6015263,41.5628463,,
261832296,-73.588274,41.575442,,
261832299,-73.589898,41.575351,,
261832300,-73.590647,41.575286,,
261832309,-73.5925688,41.5737952,,traffic_signals
261832446,-73.60211,41.564678,,
261833519,-73.596133,41.566211,,
261833534,-73.596011,41.5644,,
261835892,-73.600127,41.557989,,
261835897,-73.596713,41.558996,,
261836519,-73.599707,41.555993,,
261836526,-73.599835,41.557435,,
261836540,-73.6007506,41.5619263,,
261836541,-73.599156,41.553482,,
261836543,-73.599282,41.554406,,
261839338,-73.605548,41.565574,,
261841514,-73.5941566,41.5611702,,
261841520,-73.5940536,41.5645868,,
261841522,-73.5939163,41.5663271,,traffic_signals
261841523,-73.5938219,41.5671683,,
261841751,-73.6107748,41.5533359,,
261841769,-73.610718,41.55543,,
261846625,-73.601921,41.567439,,
261847403,-73.601297,41.569752,,
261847407,-73.601463,41.568663,,
261850360,-73.608574,41.565429,,
261851405,-73.602312,41.563705,,
261851528,-73.602988,41.572132,,
261854182,-73.600398,41.564074,,
261854185,-73.598695,41.563996,,
261854191,-73.598174,41.563164,,
261859484,-73.600964,41.553266,,
261860783,-73.6011437,41.5619258,,
261860786,-73.6007226,41.5632407,,
261860788,-73.5996673,41.5653953,,
261862252,-73.60882,41.5664527,,
261862255,-73.6090668,41.5671832,,
261863146,-73.594202,41.566358,,
261863149,-73.590823,41.566333,,
261863365,-73.604508,41.552601,,
261863394,-73.603306,41.560654,,
261863403,-73.602781,41.561408,,
261863522,-73.592939,41.561143,,
261863543,-73.591102,41.560784,,
261863577,-73.602816,41.563012,,
261863582,-73.602767,41.5623,,
261863689,-73.603259,41.573989,,
261863725,-73.612536,41.568644,,
261866487,-73.5933586,41.5540001,,
261868608,-73.599093,41.574496,,
261868610,-73.598779,41.572716,,
261869535,-73.5901082,41.5542843,,
261869539,-73.584496,41.555096,,
261870369,-73.597099,41.574705,,
261871125,-73.605982,41.570114,,
261874028,-73.61073,41.562816,,
261884598,-73.6103113,41.5664126,,
261884599,-73.6078544,41.5662521,,
261884602,-73.607672,41.56622,,
261886601,-73.5994237,41.5618426,,
261886606,-73.597975,41.563055,,
261886608,-73.597146,41.563664,,
261899464,-73.610011,41.568615,,
261903713,-73.596922,41.553676,,
261903722,-73.5935824,41.5541406,,
261908402,-73.601499,41.553874,,
261920619,-73.595753,41.562127,,
261920656,-73.607798,41.565771,,
261921792,-73.585336,41.555283,,
261926383,-73.586825,41.567803,,
261929551,-73.598237,41.56102,,
261940384,-73.586369,41.562165,,
261941521,-73.6082192,41.5675284,,
261957814,-73.597621,41.572868,,
3249276515,-73.5892422,41.5743478,,
3249276539,-73.5912586,41.5749881,,
3808807221,-73.5982007,41.5654975,,
