osmid,x,y,ref,highway
254125615,-73.8053329,40.9255856,,
254126222,-73.8148434,40.9028739,8,motorway_junction
254126469,-73.8147633,40.9028078,9,motorway_junction
254128658,-73.8133162,40.9091702,,
254128667,-73.8137679,40.9098144,,
254144236,-73.8123351,40.9145586,12,motorway_junction
254144242,-73.811497,40.9154379,,
254146655,-73.8083341,40.9243594,,
254148845,-73.8132144,40.9035146,,traffic_signals
254148850,-73.8139503,40.9044349,,
254151469,-73.810943,40.916537,,
254152911,-73.8136366,40.9084395,10,motorway_junction
254182486,-73.8040878,40.9146473,,traffic_signals
254182487,-73.803952,40.915071,,
254188352,-73.8125587,40.9024741,,
254188497,-73.8051819,40.9098855,,
254188507,-73.8037133,40.9133414,,
254188508,-73.8031806,40.9139414,,
254188514,-73.8030653,40.91477,,
254190264,-73.8076766,40.924864,14,motorway_junction
254190314,-73.8139656,40.9094069,,
254191661,-73.8124535,40.9145732,,
254191863,-73.812748,40.907466,,
254197622,-73.804278,40.909632,,
254197769,-73.802199,40.913199,,
254202245,-73.8092956,40.91039,,
254202249,-73.8078157,40.9100819,,
254202252,-73.8062789,40.9097565,,
254202255,-73.8088142,40.9103255,,stop
254202258,-73.8100202,40.9105965,,traffic_signals
254207639,-73.8078137,40.909448,,
254207642,-73.8079188,40.9075385,,
254207652,-73.8080484,40.907236,,
254207653,-73.8083007,40.9063737,,
254207655,-73.8090393,40.9044782,,traffic_signals
254208764,-73.8076468,40.9236242,,
254208766,-73.8062302,40.9237783,,
254212842,-73.801141,40.9070019,,
254212844,-73.801753,40.905585,,
254212846,-73.8027188,40.9030681,,
254212847,-73.8029289,40.902513,,
254226455,-73.8050226,40.908895,,
254226456,-73.8059689,40.9065536,,
254226459,-73.8068425,40.9041972,,
254226460,-73.8069161,40.90402,,
254226467,-73.8076555,40.9020189,,
254241070,-73.8072086,40.9107921,,
254241084,-73.8068271,40.9121577,,
254242602,-73.8018757,40.9081896,,
254242604,-73.8027729,40.905815,,
254242607,-73.8037554,40.9033077,,
254242609,-73.8040249,40.9026231,,
254251682,-73.810425,40.9175852,,stop
254251689,-73.8101823,40.9199903,,
254251690,-73.8095469,40.9212285,,
254545858,-73.8126257,40.9132057,,
254545864,-73.8117088,40.9150249,,
254545872,-73.8093174,40.9197519,,
254549092,-73.80886,40.9020251,,stop
254549124,-73.8063573,40.902465,,
254549135,-73.805223,40.902591,,
254549168,-73.8018755,40.9024101,,
254549192,-73.8005527,40.9025244,,
254549195,-73.8004226,40.9025658,,
254549196,-73.8002493,40.902577,,
254555992,-73.801982,40.909135,,
254567558,-73.8097841,40.9097692,,
254567565,-73.8102992,40.9071683,,stop
254567568,-73.811144,40.904971,,stop
254567580,-73.8116008,40.9039065,,
254568387,-73.809572,40.917339,,
254568392,-73.808627,40.91698,,
254580462,-73.8082685,40.9122393,,
254580465,-73.8074529,40.9138412,,
254580475,-73.8068719,40.9149934,,traffic_signals
254580481,-73.8049976,40.9181448,,stop
254580502,-73.8041473,40.919403,,
254597702,-73.8050947,40.9131775,,stop
254597718,-73.8060945,40.9101647,,
254597736,-73.8065361,40.9091921,,
254597743,-73.8068504,40.9073136,,
254597744,-73.8075699,40.9054819,,stop
254597745,-73.8080212,40.9042682,,traffic_signals
254621088,-73.8112453,40.9071632,,traffic_signals
254621117,-73.809239,40.906951,,
254636515,-73.8132301,40.9091552,,
254636517,-73.8120129,40.9089075,,
254636518,-73.811105,40.9087202,,traffic_signals
254650132,-73.8051458,40.9145251,,traffic_signals
254650133,-73.8060161,40.9147708,,
254650149,-73.807724,40.9152419,,traffic_signals
254650150,-73.8085663,40.9154681,,traffic_signals
254650157,-73.8102628,40.9159443,,
254655695,-73.810463,40.90993,,traffic_signals
254655708,-73.8120735,40.9054327,,traffic_signals
254655709,-73.8124839,40.9047308,,
254655710,-73.8127325,40.9042838,,
254656537,-73.8101028,40.9047084,,stop
254656538,-73.8058649,40.9037916,,
254656539,-73.8048226,40.9035428,,stop
254656540,-73.801687,40.902841,,
254668046,-73.8076661,40.9229454,,
254668048,-73.8061019,40.9231468,,
254671267,-73.8029386,40.9084249,,
254671269,-73.8038352,40.9060572,,
254671347,-73.8076829,40.9222923,,
254671349,-73.805981,40.9224671,,
254676318,-73.8048405,40.9215128,,
254676319,-73.8051098,40.9229045,,
254676320,-73.8053248,40.9240107,,
254676321,-73.8055323,40.9250761,,
254751239,-73.8106113,40.9035916,,
254753412,-73.811773,40.912974,,
254753413,-73.8109017,40.9127369,,
254753414,-73.8100602,40.9125027,,stop
254753415,-73.8091816,40.9122837,,traffic_signals
254754144,-73.8084694,40.9195258,,
254754148,-73.8074619,40.9215512,,
254754160,-73.812602,40.911302,,
254754161,-73.8108501,40.9147748,,
254754833,-73.8064929,40.9215325,,
254754839,-73.8057909,40.9215153,,
254756571,-73.8075799,40.9242907,,
254756574,-73.8063518,40.9244297,,
254761366,-73.8070009,40.9204871,,
254761400,-73.8019729,40.9118088,,
254766035,-73.8060436,40.9228013,,
254766040,-73.8062523,40.9239233,,
254766041,-73.8064538,40.9249562,,
254773357,-73.804796,40.915295,,
254773376,-73.8035554,40.9175768,,
254774344,-73.81323,40.905011,,
254784201,-73.802886,40.909327,,
254784203,-73.802244,40.911002,,
254784210,-73.802066,40.913204,,
254785703,-73.80762,40.9192905,,
254785706,-73.8065416,40.918955,,stop
254786237,-73.8089444,40.909598,,stop
254786250,-73.8039832,40.9086616,,
254786387,-73.8108867,40.9108426,,stop
254786388,-73.8117322,40.9110759,,
254791123,-73.8008167,40.9054017,,
254791124,-73.8007872,40.9051314,,
254793476,-73.812933,40.907538,,
254793478,-73.812032,40.907201,,
254804047,-73.8048995,40.906296,,
254805906,-73.8099634,40.9107052,,
254805918,-73.8088073,40.9108576,,
254811828,-73.8075095,40.9246773,,
254814034,-73.8123762,40.9065877,,
254814036,-73.8128628,40.9057753,,
254817579,-73.8069364,40.9129156,,
254817580,-73.8066087,40.9136034,,stop
254817583,-73.804914,40.917033,,
254817585,-73.804581,40.917303,,
254834782,-73.8099859,40.9145351,,stop
254861263,-73.808297,40.914065,,traffic_signals
254878417,-73.8054263,40.9139626,,
254887989,-73.8091564,40.9143033,,stop
254896529,-73.8055032,40.9204651,,
324177969,-73.8096836,40.9213818,13,motorway_junction
324745332,-73.8084622,40.9214606,,
443471193,-73.803136,40.917514,,
1349460815,-73.8136618,40.9027198,,traffic_signals
1349602348,-73.8113871,40.9022425,,
