osmid,x,y,ref,highway
62632164,-74.9690843,44.6604261,,
62632172,-74.9681226,44.6593658,,
62632191,-74.974796,44.666713,,
62632196,-74.972623,44.666009,,
62632916,-75.0041556,44.6662907,,
62632926,-75.0056189,44.6673116,,
62640467,-74.998831,44.66105,,
62640495,-74.995739,44.662822,,
62640509,-74.998388,44.66415,,
62640530,-74.994465,44.662772,,
62650021,-74.9940182,44.6677295,,
62655398,-74.972051,44.661956,,
62655410,-74.977822,44.66648,,
62655422,-74.97682,44.665142,,
62655424,-74.976031,44.665025,,
62657208,-74.978545,44.663708,,
62657227,-74.9988028,44.6672912,,traffic_signals
62657326,-74.994186,44.665061,,
62657338,-74.9911762,44.6642096,,
62657349,-74.992525,44.663832,,
62657353,-74.994275,44.664331,,
62661108,-74.967046,44.671681,,
62661110,-74.9670531,44.672002,,
62662780,-74.9761018,44.6647854,,
62669263,-74.9967677,44.6597876,,
62669267,-74.9959188,44.6604288,,
62669274,-74.9947171,44.6608256,,
62672308,-74.986907,44.679186,,
62677422,-74.969565,44.681585,,
62677991,-74.9864294,44.6686496,,
62677993,-74.9868634,44.6686033,,traffic_signals
62681422,-74.994572,44.661892,,
62681451,-74.994344,44.66381,,
62686071,-74.994029,44.666638,,
62686085,-74.993673,44.667278,,
62688043,-74.974179,44.667648,,
62689197,-74.981555,44.683485,,stop
62689214,-74.978376,44.683684,,
62689223,-74.977495,44.683836,,
62690621,-74.985527,44.671037,,
62697305,-74.979744,44.661267,,
62697310,-74.977503,44.662254,,
62697483,-74.984679,44.672012,,stop
62697484,-74.984539,44.671994,,stop
62697489,-74.981397,44.671988,,stop
62705428,-74.976949,44.666482,,
62705430,-74.978214,44.66648,,
62705437,-74.98054,44.666475,,traffic_signals
62705483,-74.974419,44.657956,,
62705485,-74.971554,44.659281,,
62706473,-74.98687,44.675557,,
62707202,-74.980825,44.666869,,
62707207,-74.979271,44.66727,,
62707212,-74.981427,44.674262,,stop
62707214,-74.984533,44.674253,,
62707218,-74.986862,44.674253,,
62707903,-74.972163,44.659955,,
62707917,-74.97306,44.663067,,
62708048,-74.988749,44.673534,,
62708051,-74.986859,44.673531,,
62708124,-74.9740979,44.6725254,,turning_circle
62708138,-74.975919,44.674084,,stop
62709147,-74.992643,44.691367,,
62709168,-74.9871157,44.6933759,,
62710211,-74.97683,44.661324,,
62710212,-74.975381,44.661993,,
62710215,-74.971217,44.66392,,
62710218,-74.968312,44.665265,,
62718264,-74.9683,44.669916,,
62718268,-74.968305,44.671671,,
62718614,-74.9961989,44.6672869,,
62718682,-74.986858,44.6723979,,traffic_signals
62718757,-74.992446,44.66781,,
62718764,-74.991968,44.667772,,
62718766,-74.99145,44.667802,,
62721086,-74.986857,44.669708,,traffic_signals
62721093,-74.98908,44.669724,,
62723978,-74.983224,44.667303,,
62723985,-74.981366,44.667615,,
62724535,-74.983315,44.678108,,stop
62724536,-74.983338,44.679232,,
62724539,-74.983352,44.680109,,
62725894,-74.992017,44.667275,,
62725901,-74.9918529,44.6682946,,
62726304,-74.974395,44.667719,,
62726306,-74.9739077,44.6682932,,turning_circle
62727076,-74.992749,44.677939,,
62729149,-74.976196,44.680268,,
62729178,-74.981498,44.679567,,stop
62730563,-74.999028,44.672316,,
62730902,-74.971523,44.667345,,stop
62730909,-74.973563,44.669888,,stop
62730916,-74.973671,44.669887,,stop
62731336,-74.964449,44.661073,,
62734905,-75.0036436,44.6672973,,
62734908,-75.0035144,44.6672958,,
62734922,-74.988415,44.667817,,
62746317,-74.984932,44.668654,,
62746319,-74.98494,44.66983,,traffic_signals
62749712,-74.989587,44.674372,,
62750902,-74.977452,44.660369,,
62752145,-74.986858,44.670558,,traffic_signals
62759530,-74.975433,44.671444,,
62759543,-74.979563,44.671443,,stop
62760870,-74.986861,44.672905,,
62761741,-74.983242,44.686898,,
62761774,-74.983075,44.685531,,
62763173,-74.984535,44.672964,,stop
62763176,-74.984536,44.676077,,stop
62763182,-74.984558,44.678104,,stop
62763199,-74.984895,44.6813824,,turning_circle
62765987,-74.9833512,44.6710145,,
62765991,-74.984708,44.671033,,
62765994,-74.986858,44.671032,,
62767801,-74.996969,44.670222,,
62767807,-74.9950958,44.6710797,,
62772096,-74.967863,44.679889,,
62774073,-74.9890451,44.6685514,,
62776992,-74.975688,44.659754,,
62776993,-74.97405,44.660514,,
62777383,-74.994946,44.658924,,
62777384,-74.994648,44.661328,,
62777953,-74.96713,44.680415,,
62779723,-74.990661,44.679178,,
62779742,-74.989739,44.682257,,
62782945,-74.979584,44.663145,,
62782950,-74.978446,44.663569,,
62782956,-74.97022,44.662821,,
62783303,-74.946065,44.676289,,
62786765,-74.979846,44.662356,,
62786772,-74.978127,44.663122,,
62792570,-74.969521,44.666132,,stop
62792573,-74.971933,44.666913,,stop
