u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221521002,221593910,0,False,residential,Church Street,221.649,,,,,,,,,,,20640900,
221521002,221557175,0,False,secondary,Wolcott Street,162.942,,,,,,,,,,,49269181,NY 104A
221521002,469809931,0,False,secondary,Water Street,217.475,,,,,,,,,,,49269182,NY 104A
221543706,221561091,0,False,residential,Exchange Street,101.173,,,,,,,,,,,20638390,
221543706,221543714,0,False,residential,Furnace Street,446.815,,,,,,,,,,,20637179,
221543706,221593918,0,False,residential,Church Street,259.113,,,,,,,,,,,20640900,
221543714,221543706,0,False,residential,Furnace Street,446.815,,,,,,,,,,,20637179,
221557167,221557175,0,False,secondary,Wolcott Street,378.399,,,,,,,,,,,49269181,NY 104A
221557175,221583796,0,False,residential,Stevenson Drive,240.054,,,,,,,,,,,20640168,
221557175,221557167,0,False,secondary,Wolcott Street,378.399,,,,,,,,,,,49269181,NY 104A
221557175,221521002,0,False,secondary,Wolcott Street,162.942,,,,,,,,,,,49269181,NY 104A
221561091,221543706,0,False,residential,Exchange Street,101.173,,,,,,,,,,,20638390,
221561091,221582637,0,False,secondary,Main Street,265.675,,,,,,,,,,,139437850,NY 104A
221561091,1031396440,0,False,secondary,Main Street,302.562,,,,,,,,,,,139437850,NY 104A
221567881,221573519,0,False,residential,Canada Street,16.909,,,,,,,,,,,20640265,
221567881,221567888,0,False,residential,Blue Bell Drive,129.06,,,,,,,,,,,20638910,
221567881,221585039,0,False,residential,Canada Street,607.597,,,,,,,yes,,,,"[20640265, 146832826, 146832828]",
221567888,469809927,0,False,residential,South Street,25.13,,,,,,,,,,,20639304,
221567888,221567881,0,False,residential,Blue Bell Drive,129.06,,,,,,,,,,,20638910,
221567888,221573519,0,False,residential,Main Street,63.894,,,,,,,,,,,20640055,
221573519,221567881,0,False,residential,Canada Street,16.909,,,,,,,,,,,20640265,
221573519,221567888,0,False,residential,Main Street,63.894,,,,,,,,,,,20640055,
221582637,221593918,0,False,residential,State Street,94.098,,,,,,,,,,,20642097,
221582637,221561091,0,False,secondary,Main Street,265.675,,,,,,,,,,,139437850,NY 104A
221582637,469809927,0,False,secondary,Main Street,244.272,,,,,,,,,,,139437850,NY 104A
221583796,221557175,0,False,residential,Stevenson Drive,240.054,,,,,,,,,,,20640168,
221585039,221601726,0,False,residential,Dry Bridge Road,661.737,,,,,,,,,,,20642142,
221585039,221567881,0,False,residential,Canada Street,607.597,,,,,,,yes,,,,"[20640265, 146832826, 146832828]",
221593910,221521002,0,False,residential,Church Street,221.649,,,,,,,,,,,20640900,
221593910,469809931,0,False,residential,Cross Street,68.435,,,,,,,,,,,296964560,
221593910,221593918,0,False,residential,Church Street,205.219,,,,,,,,,,,20640900,
221593918,221582637,0,False,residential,State Street,94.098,,,,,,,,,,,20642097,
221593918,221543706,0,False,residential,Church Street,259.113,,,,,,,,,,,20640900,
221593918,221593910,0,False,residential,Church Street,205.219,,,,,,,,,,,20640900,
221601726,221585039,0,False,residential,Dry Bridge Road,661.737,,,,,,,,,,,20642142,
221601726,1031396440,0,False,residential,Sterling Station Road,507.962,,,,,,,,,,,"[20024928, 139807659]",
469809927,221567888,0,False,residential,South Street,25.13,,,,,,,,,,,20639304,
469809927,469809931,0,False,secondary,Water Street,45.244,,,,,,,,,,,49269182,NY 104A
469809927,221582637,0,False,secondary,Main Street,244.272,,,,,,,,,,,139437850,NY 104A
469809931,221521002,0,False,secondary,Water Street,217.475,,,,,,,,,,,49269182,NY 104A
469809931,469809927,0,False,secondary,Water Street,45.244,,,,,,,,,,,49269182,NY 104A
469809931,221593910,0,False,residential,Cross Street,68.435,,,,,,,,,,,296964560,
1031396440,221601726,0,False,residential,Sterling Station Road,507.962,,,,,,,,,,,"[20024928, 139807659]",
1031396440,221561091,0,False,secondary,Main Street,302.562,,,,,,,,,,,139437850,NY 104A
