u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213131264,213131271,0,False,residential,Cary Park Drive,277.683,,,,,,,,,,,20151811,
213131264,213261286,0,False,primary,West Main Street,60.956,2,,,30 mph,,,,,,,48265730,US 20;NY 28
213131271,213131340,0,False,residential,Cary Park Drive,939.255,,,,,,,,,,,20151811,
213131271,213131264,0,False,residential,Cary Park Drive,277.683,,,,,,,,,,,20151811,
213131271,213221844,0,False,residential,Sycamore Lane,296.98,,,,,,,,,,,20171493,
213131340,213131271,0,False,residential,Cary Park Drive,939.255,,,,,,,,,,,20151811,
213131340,213204055,0,False,residential,Walnut Street,424.985,,,,,,,,,,,20161941,
213131340,213272923,0,False,residential,Ann Street,538.02,,,,,,,,,,,20169694,
213134752,213134761,0,False,residential,,88.144,,,,,,,,,,,20152057,
213134752,213218842,0,False,primary,East Main Street,122.454,2,,,30 mph,,,,,,,85377014,US 20
213134761,213134752,0,False,residential,,88.144,,,,,,,,,,,20152057,
213145376,213234830,0,False,tertiary,Monticello Street,147.918,,,,,,,,,,,20161884,CR 25
213145376,213316683,0,False,tertiary,Monticello Street,138.948,,,,,,,,,,,20161884,CR 25
213190506,213190896,0,False,tertiary,Lake Street,177.296,,,,,,,,,,,20159119,
213190506,213190899,0,False,tertiary,Lake Street,88.37,,,,,,,,,,,100556923,
213190506,213190509,0,False,residential,Bronner Street,141.297,,,,,,,,,,,20159030,
213190509,213190511,0,False,residential,Bronner Street,118.509,,,,,,,,,,,20159030,
213190509,213190506,0,False,residential,Bronner Street,141.297,,,,,,,,,,,20159030,
213190509,213298869,0,False,residential,Division Street,238.33,,,,,,,,,,,20173783,
213190511,213190517,0,False,residential,Bronner Street,74.104,,,,,,,,,,,20159030,
213190511,213190509,0,False,residential,Bronner Street,118.509,,,,,,,,,,,20159030,
213190511,213298872,0,False,residential,Center Street,241.878,,,,,,,,,,,20177852,
213190517,213190536,0,False,residential,Bronner Street,85.52,,,,,,,,,,,20159030,
213190517,213190511,0,False,residential,Bronner Street,74.104,,,,,,,,,,,20159030,
213190517,213298584,0,False,residential,Park Street,244.827,,,,,,,,,,,20170095,
213190536,213190543,0,False,residential,Bronner Street,106.484,,,,,,,,,,,20159030,
213190536,213190517,0,False,residential,Bronner Street,85.52,,,,,,,,,,,20159030,
213190536,213298875,0,False,residential,Elm Street,249.69,,,,,,,,,,,217914128,
213190543,213190536,0,False,residential,Bronner Street,106.484,,,,,,,,,,,20159030,
213190543,213190545,0,False,residential,Bronner Street,200.434,,,,,,,,,,,20159030,
213190543,213261265,0,False,residential,River Street,393.566,,,,,,,,,,,20172694,
213190545,213190560,0,False,residential,Bronner Street,128.623,,,,,,,,,,,20159030,
213190545,213190543,0,False,residential,Bronner Street,200.434,,,,,,,,,,,20159030,
213190560,213190545,0,False,residential,Bronner Street,128.623,,,,,,,,,,,20159030,
213190560,213316683,0,False,secondary,Prospect Street,431.821,,,,,,,,,,,20172508,NY 28
213190896,213190506,0,False,tertiary,Lake Street,177.296,,,,,,,,,,,20159119,
