u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213183722,213183725,0,False,residential,,70.632,,,,,,,,,,,20157349,
213183722,213233864,0,False,residential,1st Street,20.72,,,,,,,,,,,20165791,
213183722,213242407,0,False,residential,1st Street,491.456,,,,,,,,,,,20165791,
213183725,213183722,0,False,residential,,70.632,,,,,,,,,,,20157349,
213200992,213201004,0,False,residential,,63.241,,,,,,,,,,,20161280,
213200992,213215371,0,False,residential,Winter Drive,541.178,,,,,,,,,,,20165079,
213200992,1340586822,0,False,residential,"['Depot Street', 'Winter Drive']",45.415,,,,,,,,,,,"[20164811, 20165079]",
213201004,213201007,0,False,residential,,24.185,,,,,,,,,,,20161280,
213201004,213200992,0,False,residential,,63.241,,,,,,,,,,,20161280,
213201004,213219750,0,False,residential,Creamery Road,116.647,,,,,,,,,,,20163644,
213201007,213201004,0,False,residential,,24.185,,,,,,,,,,,20161280,
213214363,213214367,0,False,residential,Holmes Street,204.609,,,,,,,,,,,20163119,
213214363,213217483,0,False,secondary,West Main Street,239.627,,,,,,,,,,,20163439,NY 7
213214363,213223734,0,False,unclassified,Summit Street,200.223,,,,,,,,,,,20164487,
213214363,213233855,0,False,secondary,East Main Street,335.063,,,,,,,,,,,20165111,NY 7
213214367,213214370,0,False,residential,Holmes Street,50.518,,,,,,,,,,,20163119,
213214367,213214363,0,False,residential,Holmes Street,204.609,,,,,,,,,,,20163119,
213214367,213262074,0,False,residential,Park Avenue,127.208,,,,,,,,,,,20167183,
213214367,213217485,0,False,residential,River Street,347.26,,,,,,,,,,,20166997,
213214370,213214367,0,False,residential,Holmes Street,50.518,,,,,,,,,,,20163119,
213215357,213215371,0,False,residential,Mill Street,241.429,,,,,,,yes,,,,"[20163219, 38522141, 38522142]",
213215357,213217495,0,False,secondary,West Main Street,206.17,,,,,,,,,,,20163439,NY 7
213215357,213217485,0,False,secondary,West Main Street,501.22,,,,,,,,,,,20163439,NY 7
213215371,213215406,0,False,residential,Mill Street,505.377,,,,,,,,,,,20163223,
213215371,213200992,0,False,residential,Winter Drive,541.178,,,,,,,,,,,20165079,
213215371,213215357,0,False,residential,Mill Street,241.429,,,,,,,yes,,,,"[20163219, 38522141, 38522142]",
213215406,213215371,0,False,residential,Mill Street,505.377,,,,,,,,,,,20163223,
213217252,213217252,0,False,residential,Lincoln Mobil Court,363.709,,,,,,,,,,,20163410,
213217252,213217252,1,False,residential,Lincoln Mobil Court,363.709,,,,,,,,,,,20163410,
213217252,213217483,0,False,residential,Lincoln Mobile Court,119.259,,,,,,,,,,,20164670,
213217483,213217485,0,False,secondary,West Main Street,136.576,,,,,,,,,,,20163439,NY 7
213217483,213214363,0,False,secondary,West Main Street,239.627,,,,,,,,,,,20163439,NY 7
213217483,213217252,0,False,residential,Lincoln Mobile Court,119.259,,,,,,,,,,,20164670,
