osmid,x,y,ref,highway
213347290,-72.900906,40.959651,,
213470752,-72.902242,40.96075,,
213494074,-72.910619,40.961605,,
213494082,-72.910085,40.96035,,
213494090,-72.909306,40.958542,,
213504852,-72.909207,40.960499,,
213504856,-72.90775,40.960663,,
213504858,-72.907315,40.960792,,
213504935,-72.898788,40.955276,,
213521397,-72.910496,40.958256,,
213521400,-72.908322,40.958774,,
213538913,-72.909444,40.951191,,
213563854,-72.913104,40.959022,,
213592632,-72.913373,40.961924,,
213594992,-72.913549,40.961033,,
213614522,-72.907414,40.957043,,
213614533,-72.905071,40.957483,,
213614545,-72.903068,40.957537,,
213614808,-72.911145,40.957573,,
213614913,-72.911534,40.959389,,
213614919,-72.911023,40.959452,,
213626432,-72.913045,40.961407,,
213626439,-72.911909,40.961531,,
213659776,-72.912633,40.95702,,
213690045,-72.911411,40.960357,,
213724793,-72.908269,40.955889,,
213724830,-72.909505,40.957256,,
213740355,-72.906004,40.954372,,
213740368,-72.903187,40.955032,,
213771001,-72.911206,40.955017,,
213783293,-72.903951,40.955569,,
213811509,-72.907932,40.958064,,
213811515,-72.910283,40.956839,,
213829042,-72.900458,40.955622,,
213838190,-72.9006472,40.9559232,,
213843375,-72.90582,40.953979,,
213843393,-72.908109,40.954245,,
213843403,-72.908788,40.954223,,
213843469,-72.90652,40.95098,,
213851651,-72.912991,40.958355,,
213933875,-72.906971,40.956218,,
213986049,-72.905598,40.95087,,
214091892,-72.909726,40.954848,,turning_circle
214100934,-72.9083936,40.94785,,
214102979,-72.913402,40.960342,,
214156447,-72.910389,40.962306,,
214196120,-72.909131,40.950557,,
214207599,-72.910703,40.952972,,
214255826,-72.910519,40.953686,,
214273413,-72.913174,40.959685,,
214290973,-72.90932,40.96125,,
214291002,-72.9056067,40.9526583,,
214312828,-72.907382,40.96136,,
214356003,-72.910671,40.954371,,
214389493,-72.912831,40.957683,,
444083570,-72.899441,40.958068,,
444083576,-72.898618,40.956203,,
444083595,-72.899823,40.958503,,
444083599,-72.9019558,40.9605653,,
444083786,-72.912564,40.956341,,
