u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
116527064,116611420,0,True,motorway_link,,43.951,,,,,,,,,,,12752176,
116527064,116527076,0,True,motorway_link,,214.762,,,,,,,,,,,378459103,
116527076,116752508,0,False,primary,State Highway 8,641.224,,,,,,,,,,,12766603,NY 8
116527076,116568704,0,True,motorway_link,,224.549,,,,,,,,,,,480180046,
116527076,116611420,0,False,primary,Airport Road,203.89,,,,,,,,,,,480180049,NY 8
116539903,116539931,0,False,residential,,72.813,,,,,,,,,,,12739381,
116539903,117685695,0,False,residential,Doran Lane,174.279,,,,,,,,,,,12853544,
116539903,117101778,0,False,residential,Doran Lane,93.703,,,,,,,,,,,12853544,
116539931,116539903,0,False,residential,,72.813,,,,,,,,,,,12739381,
116596001,116596016,0,False,residential,,35.725,,,,,,,,,,,12750170,
116596001,116676767,0,False,residential,Delaware Avenue,53.501,,,,,,,,,,,12851818,
116596001,117439948,0,False,residential,Delaware Avenue,182.709,,,,,,,,,,,12851818,
116596016,116596001,0,False,residential,,35.725,,,,,,,,,,,12750170,
116596016,116596016,0,False,residential,,304.62,,,,,,,,,,,12757775,
116596016,116596016,1,False,residential,,304.62,,,,,,,,,,,12757775,
116598738,116598744,0,False,residential,,39.484,,,,,,,,,,,12750541,
116598738,116947722,0,False,residential,Camp Street,89.448,,,,,,,,,,,12784821,
116598738,116970019,0,False,residential,Oak Avenue,317.964,,,,,,,,,,,12841381,
116598738,116970019,1,False,residential,"['Railroad Avenue', 'Colegrove Street', 'Camp Street']",483.742,,,,,,,,,,,"[12762146, 12784821, 12849703]",
116598744,116598738,0,False,residential,,39.484,,,,,,,,,,,12750541,
116611340,116611397,0,False,residential,Pearl Street West,100.708,,,,,,,,,,,12785124,
116611340,116611397,1,False,residential,,307.099,,,,,,,,,,,12752173,
116611340,116951417,0,False,residential,Pearl Street West,131.161,,,,,,,,,,,12785124,
116611397,117749454,0,False,residential,Pearl Street West,110.261,,,,,,,,,,,12785124,
116611397,116611340,0,False,residential,Pearl Street West,100.708,,,,,,,,,,,12785124,
116611397,116611340,1,False,residential,,307.099,,,,,,,,,,,12752173,
116611420,116568704,0,True,motorway_link,,49.174,,,,,,,,,,,480180047,
116611420,116527076,0,False,primary,Airport Road,203.89,,,,,,,,,,,480180049,NY 8
116623345,116623350,0,False,residential,,40.239,,,,,,,,,,,12753521,
116623345,116664233,0,False,secondary,West Main Street,65.301,,,,,,,,,,,12802238,
116623345,117101716,0,False,secondary,West Main Street,52.752,,,,,,,,,,,12802238,
116623350,116623345,0,False,residential,,40.239,,,,,,,,,,,12753521,
116646760,116646765,0,False,residential,,30.82,,,,,,,,,,,12756371,
116646760,116718055,0,False,residential,Overlook Drive,30.637,,,,,,,,,,,12865344,
116646760,117149593,0,False,residential,Overlook Drive,158.952,,,,,,,,,,,12865344,
116646765,116646760,0,False,residential,,30.82,,,,,,,,,,,12756371,
116646765,116718055,0,False,residential,Pineview Terrace,33.444,,,,,,,,,,,12763398,
116646765,116717859,0,False,residential,Pineview Terrace,301.976,,,,,,,,,,,12763398,
116664233,116664241,0,False,residential,,190.635,,,,,,,,,,,12758339,
116664233,116951933,0,False,secondary,West Main Street,19.112,,,,,,,,,,,12802238,
116664233,116623345,0,False,secondary,West Main Street,65.301,,,,,,,,,,,12802238,
116664241,116664252,0,False,residential,,72.874,,,,,,,,,,,12758339,
116664241,116664233,0,False,residential,,190.635,,,,,,,,,,,12758339,
116664241,116664272,0,False,residential,,179.892,,,,,,,,,,,12758342,
116664252,116664241,0,False,residential,,72.874,,,,,,,,,,,12758339,
116664272,116664241,0,False,residential,,179.892,,,,,,,,,,,12758342,
116664272,118005381,0,False,residential,Pearl Street East,53.088,,,,,,,,,,,12782142,
116664272,117740054,0,False,residential,Pearl Street East,74.095,,,,,,,,,,,12782142,
116676767,116676774,0,False,residential,,55.619,,,,,,,,,,,12759642,
116676767,116990952,0,False,residential,Delaware Avenue,82.824,,,,,,,,,,,12851818,
116676767,116596001,0,False,residential,Delaware Avenue,53.501,,,,,,,,,,,12851818,
116676774,116676767,0,False,residential,,55.619,,,,,,,,,,,12759642,
116676879,117675367,0,False,residential,,61.467,,,,,,,,,,,12759645,
116702313,116702320,0,False,residential,Secor Street,55.53,,,,,,,,,,,12761947,
116702320,116702313,0,False,residential,Secor Street,55.53,,,,,,,,,,,12761947,
116702320,117344767,0,False,residential,Prospect Avenue,138.488,,,,,,,,,,,12826411,
116702320,116702425,0,False,residential,Secor Street,252.325,,,,,,,,,,,12761947,
116702425,117098486,0,False,secondary,West Main Street,139.156,,,,,,,,,,,12802238,
116702425,117101767,0,False,secondary,West Main Street,41.956,,,,,,,,,,,12802238,
116702425,116702320,0,False,residential,Secor Street,252.325,,,,,,,,,,,12761947,
116704708,116929915,0,False,residential,Melrose Street,15.359,,,,,,,,,,,12850886,
116704708,116704708,0,False,residential,"['Melrose Street', 'Haynes Boulevard']",710.592,,,,,,,,,,,"[12762173, 12850886]",
116704708,116704708,1,False,residential,"['Melrose Street', 'Haynes Boulevard']",710.592,,,,,,,,,,,"[12762173, 12850886]",
116717859,116929915,0,False,residential,Melrose Street,36.16,,,,,,,,,,,12850886,
116717859,116646765,0,False,residential,Pineview Terrace,301.976,,,,,,,,,,,12763398,
116717859,117897159,0,False,residential,Overlook Drive,131.312,,,,,,,,,,,12865373,
116718055,116646765,0,False,residential,Pineview Terrace,33.444,,,,,,,,,,,12763398,
116718055,117663113,0,False,residential,Overlook Drive,47.251,,,,,,,,,,,12865344,
116718055,116646760,0,False,residential,Overlook Drive,30.637,,,,,,,,,,,12865344,
116724668,116724746,0,False,residential,Gilbert Street,155.759,,,,,,,,,,,12764070,
116724668,116991077,0,False,residential,Division Street,104.57,,,,,,,,,,,12852839,
116724668,116916469,0,False,residential,Patterson Street,223.906,,,,,,,,,,,12781760,
116724746,116724668,0,False,residential,Gilbert Street,155.759,,,,,,,,,,,12764070,
116724746,116991160,0,False,tertiary,River Street,106.094,,,,,,,,,,,139811665,
116724746,116916469,0,False,tertiary,River Street,75.726,,,,,,,,,,,139811665,
116724746,117909056,0,False,residential,Gilbert Street,93.054,,,,,,,,,,,12764070,
116724768,117909056,0,False,residential,Gilbert Street,55.321,,,,,,,,,,,12764070,
116748801,116951417,0,False,residential,Pearl Street West,44.071,,,,,,,,,,,12785124,
116748801,116951409,0,False,residential,Pearl Street West,37.695,,,,,,,,,,,12785124,
116748801,116749043,0,False,residential,Webb Avenue,215.811,,,,,,,,,,,12766300,
116749043,116899215,0,False,residential,Delaware Avenue,51.817,,,,,,,,,,,12851818,
116749043,116748801,0,False,residential,Webb Avenue,215.811,,,,,,,,,,,12766300,
116749043,117439948,0,False,residential,Delaware Avenue,166.048,,,,,,,,,,,12851818,
116752508,116752681,0,False,primary,State Highway 8,804.997,,,,,,,yes,,,,"[134544480, 134544481, 12766603]",NY 8
116752508,116527076,0,False,primary,State Highway 8,641.224,,,,,,,,,,,12766603,NY 8
116752508,116951384,0,False,residential,Delaware Avenue,178.285,,,,,,,,,,,12851818,
116752508,117424954,0,False,residential,Delaware Avenue,563.921,,,,,,,,,,,12851818,
116752681,116752508,0,False,primary,State Highway 8,804.997,,,,,,,yes,,,,"[134544480, 134544481, 12766603]",NY 8
116752681,117485483,0,False,tertiary,River Street,60.983,,,,,,,,,,,139811661,
116752681,116947733,0,False,tertiary,River Street,178.006,,,,,,,,,,,139811665,
116775559,116920252,0,False,residential,Pearl Street East,107.665,,,,,,,,,,,12782142,
116775559,116920106,0,False,residential,Pearl Street East,20.874,,,,,,,,,,,12782142,
116775559,116775600,0,False,residential,Seneca Street,212.755,,,,,,,,,,,12768430,
116775600,116775629,0,False,residential,Seneca Street,123.989,,,,,,,,,,,12768430,
116775600,116775559,0,False,residential,Seneca Street,212.755,,,,,,,,,,,12768430,
116775600,117137446,0,False,residential,Cayuga Street,217.033,,,,,,,,,,,12806590,
116775629,116775600,0,False,residential,Seneca Street,123.989,,,,,,,,,,,12768430,
116842474,117146945,0,False,residential,Cartwright Avenue,110.049,,,,,,,,,,,12774140,
116842474,116905017,0,False,secondary,East Main Street,26.821,,,,,,,,,,,12780732,
116842474,116904712,0,False,residential,Main Street,45.263,,,,,,,,,,,12815301,
116842556,116842600,0,False,residential,Cartwright Avenue,78.647,,,,,,,,,,,12774140,
116842556,117146945,0,False,residential,Cartwright Avenue,207.533,,,,,,,,,,,12774140,
116842556,117751297,0,False,residential,Pleasant Street,88.816,,,,,,,,,,,12856490,
116842600,116842556,0,False,residential,Cartwright Avenue,78.647,,,,,,,,,,,12774140,
116842600,117394427,0,False,residential,Willow Street,331.247,,,,,,,,,,,12831775,
116842600,117394648,0,False,residential,Willow Street,371.248,,,,,,,,,,,12831786,
116874843,116874988,0,False,residential,Ritton Street,399.049,,,,,,,,,,,12777401,
116874843,116990952,0,False,residential,Union Street,133.781,,,,,,,,,,,12789595,
116874843,116990921,0,False,residential,Union Street,85.784,,,,,,,,,,,12789595,
116874988,116874843,0,False,residential,Ritton Street,399.049,,,,,,,,,,,12777401,
116874988,117101767,0,False,secondary,West Main Street,151.822,,,,,,,,,,,12802238,
116874988,117812842,0,False,secondary,West Main Street,83.085,,,,,,,,,,,12802238,
116876515,116991022,0,False,residential,Union Street,118.415,,,,,,,,,,,12789595,
116876515,116990999,0,False,residential,Union Street,167.964,,,,,,,,,,,12789595,
116876515,116876638,0,False,residential,Sherman Avenue,395.744,,,,,,,,,,,12777570,
116876638,117019877,0,False,secondary,West Main Street,85.61,,,,,,,,,,,12802238,
116876638,117098486,0,False,secondary,West Main Street,85.859,,,,,,,,,,,12802238,
116876638,116876515,0,False,residential,Sherman Avenue,395.744,,,,,,,,,,,12777570,
116899065,116951409,0,False,residential,Pearl Street West,39.202,,,,,,,,,,,12785124,
116899065,116930180,0,False,residential,Pearl Street West,141.514,,,,,,,,,,,12785124,
116899065,116899215,0,False,residential,Hanni Street,197.62,,,,,,,,,,,12780149,
116899215,116749043,0,False,residential,Delaware Avenue,51.817,,,,,,,,,,,12851818,
116899215,116930351,0,False,residential,Delaware Avenue,113.286,,,,,,,,,,,12851818,
116899215,116899065,0,False,residential,Hanni Street,197.62,,,,,,,,,,,12780149,
116904030,116904042,0,False,tertiary,East Main Street,61.535,,,,,,,,,,,12780685,
116904030,117190834,0,False,residential,"['East Railroad Street', 'Phelps Street']",263.694,,,,,,,,,,,"[12800414, 12812511]",
116904042,116904055,0,False,tertiary,East Main Street,35.436,,,,,,,,,,,12780685,
116904042,116904030,0,False,tertiary,East Main Street,61.535,,,,,,,,,,,12780685,
116904042,117743740,0,False,residential,Lincoln Avenue,378.078,,,,,,,,,,,12856174,
116904055,116904166,0,False,tertiary,East Main Street,107.861,,,,,,,,,,,12780685,
116904055,116904042,0,False,tertiary,East Main Street,35.436,,,,,,,,,,,12780685,
116904055,117190834,0,False,residential,Keith Street,177.18,,,,,,,,,,,12835541,
116904166,116904200,0,False,tertiary,East Main Street,30.712,,,,,,,,,,,12780685,
116904166,116904055,0,False,tertiary,East Main Street,107.861,,,,,,,,,,,12780685,
116904166,117190878,0,False,residential,Cherry Street,189.139,,,,,,,,,,,12821522,
116904200,116904241,0,False,tertiary,East Main Street,52.193,,,,,,,,,,,12780685,
116904200,116904166,0,False,tertiary,East Main Street,30.712,,,,,,,,,,,12780685,
116904200,117137446,0,False,residential,Beale Boulevard,172.856,,,,,,,,,,,12838522,
116904241,116904263,0,False,tertiary,East Main Street,29.481,,,,,,,,,,,12780685,
116904241,116904200,0,False,tertiary,East Main Street,52.193,,,,,,,,,,,12780685,
116904241,117582193,0,False,residential,"['Bennet Street', 'Bennett Street']",106.882,,,,,,,,,,,"[12863777, 12845937]",
116904263,116904374,0,False,tertiary,East Main Street,149.823,,,,,,,,,,,12780685,
116904263,116904241,0,False,tertiary,East Main Street,29.481,,,,,,,,,,,12780685,
116904263,117190878,0,False,residential,"['East Railroad Street', 'Orchard Street']",313.146,,,,,,,,,,,"[12832236, 12812511]",
116904374,116904263,0,False,tertiary,East Main Street,149.823,,,,,,,,,,,12780685,
116904374,116904548,0,False,tertiary,East Main Street,337.215,,,,,,,,,,,12780685,
116904374,117222834,0,False,residential,Trailer Park Road,181.062,,,,,,,,,,,12815079,
116904548,116904556,0,False,tertiary,East Main Street,17.647,,,,,,,,,,,12780685,
116904548,116904374,0,False,tertiary,East Main Street,337.215,,,,,,,,,,,12780685,
116904548,117019877,0,True,residential,Chestnut Street,110.099,,,,,,,,,,,12792802,
116904556,116904548,0,False,tertiary,East Main Street,17.647,,,,,,,,,,,12780685,
116904556,116904606,0,False,tertiary,East Main Street,142.966,,,,,,,,,,,12780685,
116904556,117574851,0,False,residential,Knapp Street,128.252,,,,,,,,,,,12845420,
116904606,116904628,0,False,tertiary,East Main Street,30.305,,,,,,,,,,,12780685,
116904606,117101778,0,False,secondary,West Main Street,39.111,,,,,,,,,,,12802238,
116904606,116904556,0,False,tertiary,East Main Street,142.966,,,,,,,,,,,12780685,
116904628,116904606,0,False,tertiary,East Main Street,30.305,,,,,,,,,,,12780685,
116904628,116904712,0,False,tertiary,East Main Street,63.611,,,,,,,,,,,12780685,
116904628,116991022,0,False,residential,Steiner Road,452.994,,,,,,,,,,,12852521,
116904712,116842474,0,False,residential,Main Street,45.263,,,,,,,,,,,12815301,
116904712,116904628,0,False,tertiary,East Main Street,63.611,,,,,,,,,,,12780685,
116904712,117675397,0,True,residential,Grand Street,183.955,,,,,,,,,,,12873607,
116905017,116905033,0,False,secondary,East Main Street,44.198,,,,,,,,,,,12780732,
116905017,116842474,0,False,secondary,East Main Street,26.821,,,,,,,,,,,12780732,
116905017,117095280,0,True,residential,Smith Street,129.861,,,,,,,,,,,12801316,
116905033,116905046,0,False,secondary,East Main Street,59.298,,,,,,,,,,,12780732,
116905033,116905017,0,False,secondary,East Main Street,44.198,,,,,,,,,,,12780732,
116905033,117675397,0,False,residential,Division Street,85.044,,,,,,,,,,,12852839,
116905046,116905033,0,False,secondary,East Main Street,59.298,,,,,,,,,,,12780732,
116905046,116905116,0,False,secondary,East Main Street,91.33,,,,,,,,,,,12780732,
116905046,117296412,0,True,residential,Liberty Street,211.453,,,,,,,,,,,12821889,
116905116,116905046,0,False,secondary,East Main Street,91.33,,,,,,,,,,,12780732,
116905116,117486429,0,False,tertiary,River Street,81.636,,,,,,,,,,,12838601,
116905116,117810585,0,False,residential,Bridge Street,265.713,,,,,,,,,,,12859400,
116916469,116724746,0,False,tertiary,River Street,75.726,,,,,,,,,,,139811665,
116916469,5237882085,0,False,tertiary,River Street,102.035,,,,,,,,,,,139811665,
116916469,116724668,0,False,residential,Patterson Street,223.906,,,,,,,,,,,12781760,
116919871,117740054,0,False,residential,Pearl Street East,124.259,,,,,,,,,,,12782142,
116919871,117812842,0,False,secondary,West Main Street,103.386,,,,,,,,,,,12802238,
116919871,116951933,0,False,secondary,West Main Street,131.972,,,,,,,,,,,12802238,
116919871,117749454,0,False,residential,West Pearl Street,394.869,,,,,,,,,,,12804980,
116920106,116775559,0,False,residential,Pearl Street East,20.874,,,,,,,,,,,12782142,
