u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41828458,41828465,0,False,residential,Clinton Court North,97.425,,,,,,,,,,,5627763,
41828458,42154637,0,False,residential,Clinton Court,199.12,,,,,,,,,,,5655126,
41828458,3509364765,0,False,residential,Clinton Court,123.582,,,,,,,,,,,5655126,
41828465,41828458,0,False,residential,Clinton Court North,97.425,,,,,,,,,,,5627763,
41836463,41836467,0,False,residential,,231.189,,,,,,,,,,,5628687,
41836463,41904942,0,False,residential,Ferry Lane,304.399,,,,,,,,,,,5637468,
41836463,41836472,0,False,residential,Ferry Lane,406.602,,,,,,,,,,,5637468,
41836467,41836463,0,False,residential,,231.189,,,,,,,,,,,5628687,
41836472,41836485,0,False,residential,,231.826,,,,,,,,,,,5628688,
41836472,41836463,0,False,residential,Ferry Lane,406.602,,,,,,,,,,,5637468,
41836472,41904858,0,False,residential,Ferry Lane,686.248,,,,,,,,,,,5637468,
41836485,41836472,0,False,residential,,231.826,,,,,,,,,,,5628688,
41839492,41839507,0,False,residential,,306.95,,,,,,,,,,,5629137,
41839507,41839508,0,False,residential,,29.964,,,,,,,,,,,5629137,
41839507,41839526,0,False,residential,,31.851,,,,,,,,,,,5633478,
41839507,41839492,0,False,residential,,306.95,,,,,,,,,,,5629137,
41839508,41839507,0,False,residential,,29.964,,,,,,,,,,,5629137,
41839508,41839570,0,False,residential,,27.852,,,,,,,,,,,5630100,
41839508,41839520,0,False,residential,,111.212,,,,,,,,,,,5629137,
41839520,41839508,0,False,residential,,111.212,,,,,,,,,,,5629137,
41839520,41867052,0,False,primary,Hudson Avenue,104.445,2,,,30 mph,,,,,,,5652301,US 4;NY 32
41839520,42064107,0,False,primary,Hudson Avenue,373.654,2,,,30 mph,,,,,,,5652301,US 4;NY 32
41839526,41839507,0,False,residential,,31.851,,,,,,,,,,,5633478,
41839526,41839570,0,False,residential,,90.684,,,,,,,,,,,5629140,
41839526,41839570,1,False,residential,,13.618,,,,,,,,,,,5629140,
41839570,41839508,0,False,residential,,27.852,,,,,,,,,,,5630100,
41839570,41839526,0,False,residential,,13.618,,,,,,,,,,,5629140,
41839570,41839526,1,False,residential,,90.684,,,,,,,,,,,5629140,
41857871,41959186,0,False,residential,Palmer Avenue,38.612,,,,,,,,,,,5641039,
41857871,41857882,0,False,residential,,153.988,,,,,,,,,,,5631654,
41857871,41911334,0,False,residential,Palmer Avenue,28.268,,,,,,,,,,,5641039,
41857882,41959186,0,False,residential,Palmer Avenue,43.231,,,,,,,,,,,5641039,
41857882,41857871,0,False,residential,,153.988,,,,,,,,,,,5631654,
41857882,41959171,0,False,residential,Palmer Avenue,137.224,,,,,,,,,,,5641039,
41867052,41867055,0,False,residential,,76.411,,,,,,,,,,,5633152,
41867052,42154637,0,False,primary,Hudson Avenue,144.24,2,,,"['30 mph', '40 mph']",,,,,,,"[174989640, 5652301]",US 4;NY 32
41867052,41839520,0,False,primary,Hudson Avenue,104.445,2,,,30 mph,,,,,,,5652301,US 4;NY 32
41867055,41867052,0,False,residential,,76.411,,,,,,,,,,,5633152,
41878501,41878515,0,False,residential,Colonial Road,106.784,,,,,,,,,,,5634728,
41878515,42116793,0,False,residential,Broughton Lane,51.697,,,,,,,,,,,5650891,
41878515,41878543,0,False,residential,Colonial Road,520.43,,,,,,,,,,,5634728,
41878515,41878501,0,False,residential,Colonial Road,106.784,,,,,,,,,,,5634728,
41878543,41878548,0,False,residential,Colonial Road,78.56,,,,,,,,,,,5634728,
41878543,41878515,0,False,residential,Colonial Road,520.43,,,,,,,,,,,5634728,
41878548,41913868,0,False,residential,Ten Broeck Street,223.388,,,,,,,,,,,5637977,
41878548,41878569,0,False,residential,Colonial Road,633.039,,,,,,,,,,,5634728,
