osmid,x,y,ref,highway
212216660,-74.130156,42.197442,,
212216666,-74.130136,42.19673,,
212216799,-74.138084,42.194359,,
212216806,-74.138235,42.195481,,
212221004,-74.133774,42.194855,,
212221012,-74.132074,42.195138,,
212221495,-74.137516,42.196102,,
212222611,-74.137424,42.195583,,
212224120,-74.1294126,42.1936215,,
212224384,-74.1489,42.198035,,
212229695,-74.145623,42.197117,,
212229703,-74.145643,42.195929,,
212232718,-74.12995,42.189823,,
212238404,-74.149451,42.187893,,
212246600,-74.138876,42.195426,,
212246603,-74.138799,42.196042,,
212246620,-74.131032,42.198066,,
212246624,-74.131232,42.198092,,
212251735,-74.134569,42.191799,,
212251740,-74.134685,42.192054,,
212251755,-74.135264,42.192397,,
212251762,-74.135459,42.193265,,
212251782,-74.136016,42.195701,,
212255120,-74.127693,42.195736,,
212255123,-74.127671,42.196512,,
212255131,-74.127585,42.201072,,
212259814,-74.135638,42.19025,,
212264071,-74.129728,42.195732,,
212264899,-74.137055,42.192296,,
212268538,-74.146463,42.196019,,
212268566,-74.146317,42.197744,,
212282261,-74.148668,42.195806,,
212292366,-74.131321,42.196662,,
212292389,-74.129397,42.197366,,
212295586,-74.121255,42.191311,,
212299849,-74.144083,42.187483,,
212299911,-74.138071,42.189667,,
212299915,-74.137436,42.189824,,
212300009,-74.134455,42.192157,,
212302999,-74.133283,42.192937,,
212303020,-74.13395,42.195698,,
212317048,-74.130727,42.194517,,
212323402,-74.131328,42.19414,,
212323408,-74.128675,42.195735,,
212325033,-74.152344,42.194967,,
212325044,-74.152211,42.193589,,
212326048,-74.142097,42.192754,,
212329293,-74.13133,42.19572,,
212329296,-74.132175,42.195713,,
212329302,-74.134539,42.195697,,
212329305,-74.1352479,42.1956892,,
212329329,-74.142572,42.195351,,
212329335,-74.143329,42.195452,,
212329343,-74.145412,42.195884,,
212329360,-74.150294,42.195484,,
212331958,-74.137646,42.189291,,
212331995,-74.13705,42.187875,,
212364079,-74.143325,42.196444,,
212368344,-74.142554,42.186902,,
212425504,-74.142992,42.192693,,
212432011,-74.138784,42.192532,,
2937908242,-74.1346178,42.1952284,,
