osmid,x,y,ref,highway
221673222,-78.1298607,42.7418339,,
221673375,-78.153107,42.725694,,
221673386,-78.1466911,42.725463,,
221673390,-78.143028,42.7250846,,
221673409,-78.1372865,42.7321381,,
221673416,-78.1373152,42.7337057,,
221673432,-78.1373233,42.7372808,,
221682825,-78.1362534,42.7418423,,
221682831,-78.1366713,42.7418525,,
221684404,-78.135538,42.7505242,,
221692746,-78.1287582,42.7410959,,
221692755,-78.1282936,42.7411133,,
221693594,-78.132548,42.7488257,,
221695134,-78.1374906,42.7355145,,
221700359,-78.1314828,42.739374,,
221700845,-78.1272351,42.7358972,,
221700848,-78.1287114,42.7358656,,
221700851,-78.130856,42.735886,,
221701159,-78.132583,42.7402213,,traffic_signals
221701165,-78.1325749,42.7410853,,
221701179,-78.132591,42.7442559,,
221701182,-78.1325766,42.7452351,,
221701186,-78.1325653,42.7455251,,
221701190,-78.1325566,42.7460965,,
221701194,-78.1325652,42.7474769,,
221701199,-78.132548,42.7496072,,
221701205,-78.1325607,42.750461,,
221701208,-78.1325309,42.7524623,,
221701221,-78.1319816,42.7556828,,traffic_signals
221701246,-78.1312005,42.757668,,
221701253,-78.1298989,42.7607904,,
221701593,-78.1347471,42.7418474,,
221701712,-78.1343822,42.7455015,,
221702101,-78.132727,42.724572,,
221702371,-78.1347427,42.7402352,,
221702373,-78.1347475,42.7411303,,
221702376,-78.134374,42.742726,,
221704010,-78.13436,42.73534,,
221704013,-78.132657,42.7353331,,
221704516,-78.1326398,42.7346236,,
221705422,-78.1411091,42.7389575,,
221705439,-78.147369,42.7391854,,
221705446,-78.1503786,42.7394418,,
221706105,-78.1559658,42.739479,,
221706109,-78.1555228,42.7394601,,
221706114,-78.1543748,42.7394211,,
221706120,-78.1523148,42.7394338,,
221706129,-78.1418178,42.7400137,,
221706130,-78.1410939,42.7401279,,
221706136,-78.139157,42.7402658,,
221706139,-78.1360397,42.740244,,
221706674,-78.1343962,42.748853,,
221707801,-78.1411688,42.7373402,,
221708001,-78.1343529,42.7524746,,
221708005,-78.1329367,42.7524746,,
221708927,-78.1298134,42.741102,,
221708934,-78.1298882,42.7422217,,
221708938,-78.1299244,42.7427263,,
221708942,-78.129913,42.7442496,,
221708950,-78.1292635,42.7452414,,
221709101,-78.1286942,42.7349578,,
221709111,-78.1287114,42.7368743,,
221709117,-78.12874,42.7379418,,
221709120,-78.1287379,42.7393451,,
221709123,-78.128751,42.7402343,,
221711073,-78.1336577,42.7542771,,
221711313,-78.153868,42.728912,,
221711656,-78.132657,42.7349634,,
221711674,-78.13084,42.7349767,,
221712522,-78.1343873,42.7504956,,
221713775,-78.1326051,42.7393767,,
221713781,-78.1304105,42.73937,,
221713790,-78.1277717,42.7404537,,
221713989,-78.139163,42.7373063,,
221716011,-78.139324,42.732119,,
221716423,-78.139129,42.742816,,
221716425,-78.1390692,42.7477786,,
221717342,-78.1326485,42.7336213,,
221717346,-78.1326484,42.7369217,,
221717350,-78.1326484,42.737218,,
221717493,-78.1560334,42.7402835,,
221717670,-78.145606,42.7373249,,
221717689,-78.146935,42.737036,,
221720954,-78.1285659,42.7419399,,
221722183,-78.1308658,42.7368932,,
221722187,-78.1308834,42.7379422,,
221722429,-78.1308889,42.7556505,,
221722432,-78.130253,42.757542,,
221723317,-78.154358,42.740605,,
221724188,-78.1344107,42.7470252,,
221724199,-78.1350201,42.7470378,,
221724335,-78.1343876,42.7496409,,
221724617,-78.1523406,42.7410349,,
221725939,-78.1274954,42.7368827,,
221725942,-78.1273295,42.7370004,,
221730523,-78.1453111,42.7609764,,
221730550,-78.1426155,42.7428713,,
221731196,-78.1304343,42.7402321,,
221731985,-78.1359789,42.7359281,,
221731987,-78.1359958,42.7372684,,
221732844,-78.1300221,42.7505505,,
221732858,-78.1405498,42.7337772,,
221733348,-78.129603,42.747817,,
221734208,-78.1347943,42.7358956,,
221738629,-78.128422,42.757292,,
221739833,-78.1562602,42.741013,,
491230009,-78.137334,42.7355152,,
492115714,-78.1347549,42.7427279,,
493558562,-78.1356756,42.7488745,,
493609391,-78.1290582,42.7555608,,
493610541,-78.1340989,42.7565958,,
493847868,-78.1325852,42.7418358,,
1331885008,-78.1373558,42.7402451,,
4712540767,-78.1293833,42.7523753,,
4719439544,-78.1362462,42.7314673,,
4763722949,-78.1325988,42.7425872,,
4763722950,-78.1326034,42.7428363,,
4763722969,-78.1327678,42.7427271,,
4763722970,-78.1324328,42.7427196,,
4809961440,-78.1325598,42.7505248,,
