u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
120029698,120029746,0,False,residential,South Brooklyn Avenue,54.717,,,,,,,,,,,13044971,
120029698,120763884,0,False,residential,"['River Road', 'South Brooklyn Avenue']",218.897,,,,,,,,,,,"[13129216, 13044971]",
120029698,120167291,0,False,residential,,89.239,,,,,,,,,,,13057961,
120029698,120801397,0,False,residential,Brooklyn Hgts,132.119,,,,,,,,,,,13116472,
120029746,120029765,0,False,residential,South Brooklyn Avenue,261.874,,,,,,,,,,,13044971,
120029746,120029698,0,False,residential,South Brooklyn Avenue,54.717,,,,,,,,,,,13044971,
120029746,120636865,0,False,residential,King Street,263.362,,,,,,,,,,,13130293,
120029765,120029746,0,False,residential,South Brooklyn Avenue,261.874,,,,,,,,,,,13044971,
120029765,120029820,0,False,residential,South Brooklyn Avenue,72.053,,,,,,,,,,,13044971,
120029765,120167130,0,False,residential,West Dyke Street,133.16,,,,,,,,,,,13118090,
120029820,120029838,0,False,residential,South Brooklyn Avenue,75.267,,,,,,,,,,,13044971,
120029820,120029765,0,False,residential,South Brooklyn Avenue,72.053,,,,,,,,,,,13044971,
120029820,120336341,0,False,residential,Pine Street,187.173,,,,,,,,,,,13076559,
120029838,120029865,0,False,residential,South Brooklyn Avenue,192.513,,,,,,,,,,,13044971,
120029838,120029820,0,False,residential,South Brooklyn Avenue,75.267,,,,,,,,,,,13044971,
120029838,120512848,0,False,residential,Whitney Place,81.021,,,,,,,,,,,13090660,
120029865,120029838,0,False,residential,South Brooklyn Avenue,192.513,,,,,,,,,,,13044971,
120029865,120133158,0,False,residential,North Brooklyn Avenue,78.608,,,,,,,,,,,13084111,
120029865,120332475,0,False,residential,West State Street,130.287,,,,,,,,,,,13106956,
120029865,120373948,0,False,residential,West State Street,229.862,,,,,,,,,,,13106956,
120044651,120890701,0,False,residential,Farnum Street,201.855,,,,,,,,,,,13133475,
120044651,120567467,0,False,residential,Farnum Street,56.161,,,,,,,,,,,13133475,
120044651,120740652,0,False,residential,"[""O'Connor Street"", 'Oconnor Street']",430.732,,,,,,,,,,,"[13046096, 13111617]",
120044705,120044779,0,False,residential,Breckenridge Avenue,207.795,,,,,,,,,,,13046107,
120044705,120448500,0,False,residential,Cameron Street,120.503,,,,,,,,,,,13138184,
120044705,120384064,0,False,residential,Cameron Street,142.412,,,,,,,,,,,13138184,
120044779,120311605,0,False,secondary,State Highway 417,36.321,,,,,,,,,,,13074524,NY 417
120044779,120044705,0,False,residential,Breckenridge Avenue,207.795,,,,,,,,,,,13046107,
120044779,120311566,0,False,secondary,State Highway 417,109.554,,,,,,,,,,,13074524,NY 417
120044874,120763159,0,False,tertiary,South Main Street,61.191,,,,,,,,,,,132581296,
120044874,120369488,0,False,tertiary,South Main Street,115.888,,,,,,,,,,,132581296,
120044874,3639493428,0,False,residential,Gabbey Hayes Lane,41.703,,,,,,,,,,,13046117,
120071694,120071745,0,False,residential,,99.258,,,,,,,,,,,13048628,
120071694,120969828,0,False,secondary,Andover Road,76.364,,,,,,,,,,,13129489,NY 417
120071745,3430045903,0,False,residential,,97.446,,,,,,,,,,,335898003,
120071745,120905138,0,False,residential,"['Miller Street', 'South Broad Street']",923.572,,,,,,,,,,,"[13132498, 13111026, 13048628]",
120071745,120071694,0,False,residential,,99.258,,,,,,,,,,,13048628,
120084089,120211337,0,False,secondary,South Main Street,40.282,,,,,,,,,,,13112811,NY 19
120100961,120167130,0,False,residential,,146.195,,,,,,,,,,,365029207,
120100986,4970267741,0,False,residential,West Dyke Street,139.352,,,,,,,,,,,13118093,
120105817,120262745,0,False,residential,,43.042,,,,,,,,,,,13069545,
120105817,120105817,0,False,residential,,222.561,,,,,,,,,,,13052142,
120105817,120105817,1,False,residential,,222.561,,,,,,,,,,,13052142,
120106932,120541355,0,False,primary,Bolivar Road,42.121,,,,,,,,,,,335839400,NY 417
120106932,120281138,0,False,primary,Bolivar Road,181.99,,,,,,,,,,,335839400,NY 417
120107360,120107360,0,False,residential,,294.377,,,,,,,,,,,13052324,
120107360,120107360,1,False,residential,,294.377,,,,,,,,,,,13052324,
120133138,120133158,0,False,residential,,99.48,,,,,,,,,,,13055223,
120133158,120436795,0,False,residential,North Brooklyn Avenue,7.271,,,,,,,,,,,13084111,
120133158,120029865,0,False,residential,North Brooklyn Avenue,78.608,,,,,,,,,,,13084111,
120133158,120133138,0,False,residential,,99.48,,,,,,,,,,,13055223,
120151618,120167130,0,False,residential,,451.057,,,,,,,,,,,13057953,
120158822,120158822,0,False,residential,,129.699,,,,,,,,,,,13057339,
120158822,120158822,1,False,residential,,129.699,,,,,,,,,,,13057339,
120158822,120255252,0,False,residential,,204.902,,,,,,,,,,,13068828,
120167130,120151618,0,False,residential,,451.057,,,,,,,,,,,13057953,
120167130,120029765,0,False,residential,West Dyke Street,133.16,,,,,,,,,,,13118090,
120167130,120196805,0,False,residential,,91.526,,,,,,,,,,,365029207,
120167130,120100961,0,False,residential,,146.195,,,,,,,,,,,365029207,
120167291,120029698,0,False,residential,,89.239,,,,,,,,,,,13057961,
120196805,120196805,0,False,residential,,209.377,,,,,,,,,,,365029207,
120196805,120196805,1,False,residential,,209.377,,,,,,,,,,,365029207,
120196805,120167130,0,False,residential,,91.526,,,,,,,,,,,365029207,
120196835,120673373,0,False,residential,West State Street,199.772,,,,,,,yes,,,,"[154955200, 154955201, 13106956]",
120196835,120332475,0,False,residential,West State Street,45.509,,,,,,,,,,,13106956,
120196835,5413440416,0,False,residential,,112.594,,,,,,,,,,,561396015,
120209283,120420286,0,False,residential,School Street,217.334,,,,,,,,,,,13138875,
120209283,120209298,0,False,residential,,242.923,,,,,,,,,,,13064597,
120209283,121000797,0,False,residential,School Street,220.807,,,,,,,,,,,13138875,
120209298,121000797,0,False,residential,School Street,10.761,,,,,,,,,,,13138875,
120209298,120209283,0,False,residential,,242.923,,,,,,,,,,,13064597,
120209298,120828002,0,False,residential,School Street,114.387,,,,,,,,,,,13138875,
120211337,120211343,0,False,residential,,89.109,,,,,,,,,,,13064854,
120211337,120762858,0,False,secondary,South Main Street,165.475,,,,,,,,,,,13112811,NY 19
120211337,120084089,0,False,secondary,South Main Street,40.282,,,,,,,,,,,13112811,NY 19
120211343,120211337,0,False,residential,,89.109,,,,,,,,,,,13064854,
120244891,120244903,0,False,residential,,51.343,,,,,,,,,,,13067877,
120244891,120291183,0,False,residential,Farnum Street,81.921,,,,,,,,,,,13133475,
120244891,121002997,0,False,residential,Farnum Street,58.87,,,,,,,,,,,13133475,
120244903,120244891,0,False,residential,,51.343,,,,,,,,,,,13067877,
120252883,120315638,0,False,residential,South Highland Avenue,102.738,,,,,,,,,,,13074944,
120252883,120572019,0,False,residential,West State Street,69.558,,,,,,,,,,,13106956,
120252883,120355451,0,False,residential,North Highland Avenue,158.723,,,,,,,,,,,13130601,
120253405,120541413,0,False,residential,North Main Street,113.598,,,,,,,,,,,68153091,
120255252,120603094,0,False,residential,Highland Heights Drive,92.009,,,,,,,,,,,13101651,
120255252,120158822,0,False,residential,,204.902,,,,,,,,,,,13068828,
120255252,121011505,0,False,residential,Pine Hill Drive,351.558,,,,,,,,,,,13133485,
120255377,120507391,0,False,tertiary,North Main Street,116.176,,,,,,,,,,,13113296,
120255377,120771335,0,False,tertiary,North Main Street,61.238,,,,,,,,,,,13113296,
120255377,120447117,0,False,residential,Central Place,158.077,,,,,,,,,,,13108188,
120255437,120570504,0,False,residential,Railroad Avenue,51.218,,,,,,,,,,,13137066,
120255437,120255458,0,False,residential,,55.657,,,,,,,,,,,13068851,
120255437,120508542,0,False,residential,Railroad Avenue,257.055,,,,,,,,,,,13137066,
120255458,120255437,0,False,residential,,55.657,,,,,,,,,,,13068851,
120262745,120105817,0,False,residential,,43.042,,,,,,,,,,,13069545,
120262745,120567497,0,False,residential,O'Connor Extended,79.341,,,,,,,,,,,13098839,
120262745,120567467,0,False,residential,O'Connor Extended,128.328,,,,,,,,,,,13098839,
120280697,120280727,0,False,residential,,101.977,,,,,,,,,,,13071369,
120280727,120280697,0,False,residential,,101.977,,,,,,,,,,,13071369,
120280727,120315628,0,False,residential,Pine Street,179.382,,,,,,,,,,,13076559,
120280727,120603094,0,False,residential,Highland Heights Drive,233.999,,,,,,,,,,,13101659,
120280857,120280867,0,False,unclassified,,12.862,,,,,,,,,,,13071385,
120280857,120954598,0,False,residential,North Highland Avenue,512.514,,,,,,,,,,,13130601,
120280857,120517553,0,False,residential,North Highland Avenue,55.525,,,,,,,,,,,13130601,
120280867,120280857,0,False,unclassified,,12.862,,,,,,,,,,,13071385,
120280867,120517553,0,False,residential,Howard Street,52.352,,,,,,,,,,,13096357,
120280867,120306254,0,False,residential,Howard Street,67.136,,,,,,,,,,,13096357,
120281138,120106932,0,False,primary,Bolivar Road,181.99,,,,,,,,,,,335839400,NY 417
120284500,120284507,0,False,residential,,13.091,,,,,,,,,,,13071767,
120284500,120969828,0,False,residential,"['Trapping Brook Road', 'East Dyke Street']",174.525,,,,,,,,,,,"[13102890, 13130371]",
120284507,120284500,0,False,residential,,13.091,,,,,,,,,,,13071767,
120291183,120244891,0,False,residential,Farnum Street,81.921,,,,,,,,,,,13133475,
120291183,120291209,0,False,residential,,89.107,,,,,,,,,,,13072550,
120291183,120508542,0,False,residential,Farnum Street,97.37,,,,,,,,,,,13133475,
120291209,120291183,0,False,residential,,89.107,,,,,,,,,,,13072550,
120300185,120311525,0,False,secondary,South Main Street,45.303,,,,,,,,,,,13112811,NY 19
120300185,4970267741,0,False,residential,West Hanover Street,304.646,,,,,,,,,,,13073435,
120300185,120448500,0,False,residential,East Hanover Street,313.767,,,,,,,,,,,13084841,
120300185,5412586973,0,False,secondary,South Main Street,77.604,,,,,,,,,,,13112811,NY 19
120304935,120542174,0,False,residential,Hills Street,113.415,,,,,,,,,,,13095811,
120304935,120305011,0,False,residential,Crescent Drive,274.727,,,,,,,,,,,13073915,
120305011,120304935,0,False,residential,Crescent Drive,274.727,,,,,,,,,,,13073915,
120305011,120542174,0,False,residential,Sunnydale Avenue,213.539,,,,,,,,,,,13138970,
120306116,120306125,0,False,residential,Seneca Street,129.558,,,,,,,,,,,13073990,
120306116,120306254,0,False,residential,Howard Street,426.029,,,,,,,,,,,13096357,
120306116,120545744,0,False,residential,Howard Street,175.749,,,,,,,,,,,13096357,
120306125,120306116,0,False,residential,Seneca Street,129.558,,,,,,,,,,,13073990,
120306125,120306254,0,False,residential,Seneca Street,384.088,,,,,,,,,,,13073990,
120306125,120858209,0,False,residential,Chamberlain Street,246.177,,,,,,,,,,,13120881,
120306254,120306125,0,False,residential,Seneca Street,384.088,,,,,,,,,,,13073990,
120306254,120280867,0,False,residential,Howard Street,67.136,,,,,,,,,,,13096357,
120306254,120306116,0,False,residential,Howard Street,426.029,,,,,,,,,,,13096357,
120306675,120306876,0,False,residential,Hillside Homes,244.959,,,,,,,,,,,13074052,
120306876,120306901,0,False,residential,Hillside Homes,22.194,,,,,,,,,,,13074052,
120306876,120306675,0,False,residential,Hillside Homes,244.959,,,,,,,,,,,13074052,
120306901,120306876,0,False,residential,Hillside Homes,22.194,,,,,,,,,,,13074052,
120306901,120763884,0,False,residential,River Road,177.693,,,,,,,,,,,13129216,
120311525,120300185,0,False,secondary,South Main Street,45.303,,,,,,,,,,,13112811,NY 19
120311525,120311566,0,False,secondary,State Highway 417,362.598,,,,,,,,,,,13074524,NY 417
120311525,5397160864,0,False,secondary,Wellsville Bypass,262.353,4,,,,,,,,,,13121899,NY 19;NY 417
120311525,120763073,0,False,tertiary,South Main Street,145.613,,,,,,,,,,,40696681,
120311566,120696507,0,False,residential,Osborne Street,103.084,,,,,,,,,,,13108872,
120311566,120044779,0,False,secondary,State Highway 417,109.554,,,,,,,,,,,13074524,NY 417
120311566,120311525,0,False,secondary,State Highway 417,362.598,,,,,,,,,,,13074524,NY 417
120311566,120448500,0,False,residential,Osborne Street,110.881,,,,,,,,,,,13108872,
120311605,120044779,0,False,secondary,State Highway 417,36.321,,,,,,,,,,,13074524,NY 417
120311605,120828017,0,False,secondary,East Dyke Street,315.506,,,,,,,,,,,13130377,NY 417
120311605,120696507,0,False,residential,East Dyke Street,138.396,,,,,,,,,,,13130390,
120315628,120315638,0,False,residential,South Highland Avenue,166.842,,,,,,,,,,,13074944,
120315628,120336248,0,False,residential,Pine Street,132.609,,,,,,,,,,,13076559,
120315628,120280727,0,False,residential,Pine Street,179.382,,,,,,,,,,,13076559,
120315638,120252883,0,False,residential,South Highland Avenue,102.738,,,,,,,,,,,13074944,
120315638,120315628,0,False,residential,South Highland Avenue,166.842,,,,,,,,,,,13074944,
120315638,120572019,0,False,residential,Nelson Avenue,165.209,,,,,,,,,,,13099227,
120332475,5413440416,0,False,residential,Harder Place,71.311,,,,,,,,,,,13076295,
120332475,120196835,0,False,residential,West State Street,45.509,,,,,,,,,,,13106956,
120332475,120029865,0,False,residential,West State Street,130.287,,,,,,,,,,,13106956,
120332555,5413440416,0,False,residential,Harder Place,52.597,,,,,,,,,,,13076295,
120336248,120315628,0,False,residential,Pine Street,132.609,,,,,,,,,,,13076559,
