osmid,x,y,ref,highway
261341203,-73.6187471,40.7549962,,
261341209,-73.6144961,40.7563927,,
261341223,-73.6072193,40.7586299,31A,motorway_junction
261341224,-73.564308,40.77078,,
261342923,-73.5868452,40.7630762,,
261344199,-73.6196056,40.7550576,,
261344200,-73.6187256,40.7543972,,
261344596,-73.613257,40.760479,,
261344614,-73.6205782,40.7565272,,
261346825,-73.586856,40.764462,,
261347329,-73.589027,40.7629919,,
261347338,-73.5869576,40.7639175,,
261347341,-73.5868239,40.7642868,,
261348679,-73.6110499,40.7572553,,
261351419,-73.593333,40.747084,,
261354352,-73.603418,40.760624,,
261354355,-73.603145,40.76068,,
261357032,-73.61931,40.756403,,
261358289,-73.565882,40.771296,,
261358314,-73.5688412,40.7698826,33,motorway_junction
261358317,-73.5670883,40.7705936,,motorway_junction
261359820,-73.586774,40.7639105,,
261360026,-73.5894269,40.7627201,32,motorway_junction
261360028,-73.5875655,40.762879,,
261360033,-73.5870401,40.7623652,,
261362037,-73.61637,40.759084,,
261362613,-73.564874,40.770431,,
261363354,-73.586812,40.7569143,,
261363355,-73.586894,40.757311,,
261363356,-73.587038,40.75799,,
261363424,-73.597986,40.755331,,
261363425,-73.600435,40.754747,,
261363426,-73.603012,40.754137,,
261363427,-73.603079,40.754289,,
261363573,-73.582456,40.757951,,
261363577,-73.58105,40.758102,,
261363578,-73.5806,40.758155,,
261363579,-73.58506,40.757531,,
261363580,-73.582417,40.757846,,
261364280,-73.582106,40.767585,,
261364297,-73.579056,40.769042,,
261364794,-73.591121,40.763921,,
261364795,-73.591221,40.764187,,
261364796,-73.591778,40.765649,,
261364797,-73.591877,40.765906,,
261366271,-73.5696179,40.7751619,,
261366356,-73.580724,40.752956,,
261366611,-73.563775,40.772365,,
261366617,-73.564682,40.773182,,
261366618,-73.565331,40.773634,,
261366624,-73.566347,40.774021,,
261366747,-73.578649,40.769684,,
261366749,-73.578816,40.769748,,
261367624,-73.592724,40.75481,,
261367626,-73.594013,40.757365,,
261368844,-73.601906,40.751173,,
261370620,-73.583273,40.760135,,
261370622,-73.581398,40.760115,,
261370624,-73.580916,40.760099,,
261370631,-73.578526,40.7603,,
261370632,-73.576818,40.760304,,
261370638,-73.587922,40.759093,,
261370644,-73.58548,40.759565,,
261370645,-73.585142,40.759608,,
261370646,-73.583157,40.759843,,
261371341,-73.6178327,40.7582261,,
261371342,-73.617542,40.757888,,
261371343,-73.61711,40.757411,,
261371351,-73.61556,40.757008,,
261371357,-73.614117,40.757247,,
261371365,-73.612888,40.75811,,
261371369,-73.612494,40.758569,,
261371375,-73.6109878,40.7587821,,
261371384,-73.606055,40.760233,,
261371390,-73.606964,40.759388,,
261371392,-73.607872,40.759322,,
261371394,-73.60893,40.759087,,
261371398,-73.609949,40.758944,,
261371675,-73.576012,40.761041,,
261372084,-73.576786,40.765467,,
261372089,-73.578526,40.765282,,turning_loop
261372883,-73.59318,40.760068,,
261372884,-73.592706,40.760147,,
261372885,-73.591188,40.760385,,
261372886,-73.589734,40.760613,,
261372887,-73.587627,40.760939,,
261373223,-73.603424,40.757641,,
261373224,-73.603297,40.757312,,
261374718,-73.613313,40.755826,,
261374719,-73.612212,40.756278,,
261374720,-73.611402,40.756616,,
261374721,-73.61056,40.75696,,
261374727,-73.604718,40.758266,,
261376106,-73.576531,40.770242,,
261376109,-73.575723,40.770764,,
261376111,-73.575024,40.771085,,
261376493,-73.59081,40.758502,,
261376494,-73.589366,40.758516,,
261376496,-73.58792,40.758532,,
261377428,-73.590758,40.755299,,
261377429,-73.590771,40.755759,,
261377430,-73.590781,40.756443,,
261377431,-73.590792,40.757129,,
261377432,-73.590801,40.757818,,
261377433,-73.590807,40.758224,,
261377435,-73.590845,40.759038,,
261377437,-73.591007,40.759713,,
261377438,-73.591368,40.761057,,
261377439,-73.591551,40.761729,,
261377440,-73.591641,40.762053,,
261377946,-73.567313,40.774735,,
261378570,-73.580241,40.757074,,
261380535,-73.582273,40.766152,,
261380540,-73.580891,40.766869,,
261380542,-73.580482,40.767274,,
261380549,-73.578224,40.768284,,
261380550,-73.577065,40.768358,,
261380811,-73.580255,40.75806,,
261380812,-73.579593,40.757659,,
261382939,-73.601035,40.74909,,
261383074,-73.587863,40.76418,,
261383078,-73.58824,40.764772,,
261383085,-73.590106,40.764359,,
261383089,-73.589975,40.763675,,
261384737,-73.591966,40.747277,,
261386285,-73.596355,40.746464,,
261386288,-73.597542,40.748416,,
261386289,-73.598336,40.749732,,
261386290,-73.598661,40.750295,,
261386320,-73.598819,40.750817,,
261386321,-73.599088,40.751473,,
261386322,-73.599358,40.752127,,
261386323,-73.59963,40.752782,,
261386324,-73.599895,40.753436,,
261386325,-73.600164,40.754091,,
261386326,-73.600704,40.755401,,
261386327,-73.600974,40.756057,,
261386328,-73.601242,40.75671,,
