osmid,x,y,ref,highway
106792643,-74.002401,41.2007465,,
106792645,-74.0007874,41.2008692,,
106792647,-73.9991737,41.2009532,,
106794723,-73.9982124,41.2010436,,
106794729,-73.9950624,41.2016377,,
106794730,-73.9944016,41.20198,,
106794736,-73.9923244,41.2021349,,
106794737,-73.9921442,41.2021091,,
106794739,-73.9914318,41.2018831,,
106794741,-73.9904018,41.2015021,,
106794747,-73.9877153,41.2005915,,
261770618,-73.9914576,41.2005721,,
261770619,-73.9906765,41.2001782,,
261773027,-73.9860204,41.2074955,,
261773029,-73.98681,41.2073534,,
261773031,-73.9883031,41.2071832,,
261774609,-73.982952,41.2122396,,
261774614,-73.9816105,41.2121319,,
261775163,-73.9910456,41.2029874,,
261775232,-73.9989422,41.2017993,,
261775234,-73.9966932,41.2018895,,
261776147,-73.9973801,41.2091092,,
261776148,-73.9963644,41.2091746,,
261776149,-73.9960339,41.209193,,
261776153,-74.0019387,41.2045204,,
261776155,-74.0018517,41.204206,,turning_circle
261776479,-73.9915825,41.2065943,,
261776972,-73.9947792,41.2025999,,
261776974,-73.9943869,41.2038123,,
261776978,-73.9941308,41.2048854,,
261777003,-73.9819511,41.2076913,,
261777005,-73.980682,41.2074338,,
261777158,-73.9958435,41.2027484,,
261777701,-73.9962126,41.1995582,,
261777714,-73.9987534,41.2024192,,
261777724,-74.0018687,41.2025917,,turning_circle
261778049,-73.9777458,41.2050606,,
261778060,-73.9786064,41.2045181,,
261778346,-73.994659,41.1982214,,
261778425,-73.9967361,41.2027161,,
261779234,-73.9904169,41.2047317,,
261779236,-73.990728,41.2039044,,
261779311,-73.9855827,41.2104722,,
261779315,-73.9867636,41.2104715,,
261779317,-73.9873873,41.2104465,,
261779322,-73.9867512,41.2101851,,
261779789,-73.9976,41.2067621,,
261779790,-73.9917916,41.207228,,
261779868,-73.9992167,41.200359,,
261780247,-73.9886978,41.208916,,
261780249,-73.9883713,41.2100076,,
261780253,-74.0022066,41.2050537,,turning_circle
261780315,-73.9898232,41.2100332,,
261780316,-73.987872,41.2099274,,turning_circle
261780435,-73.9893461,41.2002557,,
261780452,-73.9902731,41.1989705,,
261781319,-73.9859891,41.2033919,,
261781322,-73.9858503,41.2013799,,
261782315,-73.9855398,41.2097232,,
261782317,-73.98572,41.2123641,,
261783133,-73.9970883,41.212357,,
261783615,-73.9867555,41.2035271,,
261783687,-73.9918273,41.2074153,,
261783688,-73.991462,41.2062224,,
261783689,-73.991289,41.2054522,,
261783691,-73.9915867,41.2040051,,
261783692,-73.9917337,41.203234,,
261783710,-73.9918824,41.2086342,,
261783761,-73.9834139,41.2095137,,
261783763,-73.9832003,41.211038,,
261783765,-73.9829139,41.2125568,,
261783831,-73.9922215,41.2009467,,
261783833,-73.9935776,41.199358,,
261783838,-73.9929682,41.2013277,,
261785443,-73.9976118,41.2103295,,
261785798,-73.9768016,41.210194,,
261785799,-73.9755836,41.2101535,,
261787338,-74.0025329,41.2012026,,
261787772,-74.0032212,41.2028876,,
261787773,-74.00291,41.2024645,,turning_circle
261787903,-73.9808869,41.2055936,,
261788781,-73.9767975,41.2055492,,
261789226,-73.9767656,41.2108646,,
261789228,-73.9757711,41.2108589,,
261789402,-73.9780054,41.2069482,,
261789404,-73.9782864,41.2062673,,
261790965,-73.9850076,41.2078506,,
261790970,-73.9845699,41.2086578,,
261791310,-73.9800898,41.21445,,
261791314,-73.9796697,41.214696,,turning_circle
261791619,-73.9881024,41.2064669,,
261791843,-73.9801107,41.2136785,,
261791845,-73.9796944,41.2136801,,turning_circle
261792514,-73.9770048,41.207496,,
261792516,-73.9760069,41.2074603,,
261792519,-73.9751556,41.2074262,,
261792660,-73.9983757,41.2074367,,
261793424,-73.9868,41.2094663,,
261793431,-73.9896571,41.2089925,,
261793434,-73.9922497,41.2085516,,
261793436,-73.9932628,41.2083135,,
261793438,-73.994115,41.2080443,,
261793440,-73.9948565,41.207725,,
261793445,-73.9973372,41.207398,,
261794028,-73.9814025,41.2054789,,
261794035,-73.9822858,41.2055728,,
261794501,-73.9769333,41.2088652,,
261794505,-73.9773727,41.2058344,,
261795414,-74.0065906,41.2034019,,
261795419,-74.0035363,41.2038401,,
261795426,-73.9807524,41.209194,,
261795432,-73.9807659,41.2147982,,
261795553,-73.9939374,41.2096802,,
261796434,-73.9894369,41.2034091,,
261796595,-73.9983498,41.2001653,,
261797274,-73.9759205,41.2087748,,
261797277,-73.9762633,41.2053188,,
261798505,-73.9741004,41.206254,,
261799115,-73.9864328,41.2090396,,
261799117,-73.9861813,41.2080793,,
261799121,-73.9847501,41.2071855,,
261799548,-73.9965421,41.2102957,,turning_circle
261799998,-73.9755886,41.2050841,,
261800002,-73.9748289,41.2047435,,
261800027,-73.9799494,41.2090842,,
261800032,-73.992174,41.2033466,,
261800298,-73.975045,41.208678,,
261800461,-73.9802837,41.2056196,,
261800766,-73.9839597,41.2034868,,
261801633,-73.9843124,41.2054808,,
261801731,-73.9824271,41.2066836,,
261802727,-73.9928311,41.2103231,,
261802729,-73.994376,41.2106266,,
261802805,-73.9980753,41.2061905,,
261802993,-73.9983929,41.2046859,,
261802995,-73.9983242,41.204053,,
261802997,-73.998453,41.2033104,,
261802999,-73.9988907,41.2019672,,
261803493,-73.9968048,41.2034846,,
261804310,-73.9898198,41.2109435,,
261804397,-73.9768447,41.2095235,,
261804401,-73.9760766,41.2117506,,
261804492,-73.9911026,41.2076,,
261804571,-73.9820864,41.2093717,,
261804573,-73.981838,41.2108982,,
261804579,-73.9796661,41.2155406,,turning_circle
261805151,-73.9875363,41.2010234,,
261805188,-73.9837888,41.2025555,,
261805948,-73.9975088,41.211014,,
261807073,-73.9928685,41.2099397,,
261807300,-73.984152,41.2095966,,
261807482,-73.9997316,41.2019929,,
261807483,-73.9998947,41.2013729,,
261807501,-73.9825021,41.2047982,,
261807615,-73.99497,41.2048096,,
261807616,-73.9967607,41.204652,,
261808067,-73.9965302,41.1991772,,
261808256,-73.9956118,41.2002621,,
261808797,-74.0083753,41.2041666,,
261808802,-74.0085432,41.2036181,,turning_circle
261809017,-74.0087399,41.2045187,,turning_circle
261809268,-73.9966834,41.2042322,,
261810139,-73.9732254,41.2084519,,
261812647,-74.0005976,41.2021203,,
261814460,-73.9778535,41.208956,,
261814677,-73.988178,41.2079175,,
261814792,-73.9755404,41.2094724,,
261814804,-73.9778018,41.2094019,,
261815225,-73.9798207,41.2056593,,
261816063,-73.9845004,41.2124236,,
365969933,-73.9837888,41.2078765,,
365969934,-73.9840034,41.2080831,,
365969936,-73.9850285,41.2091463,,
366006696,-74.001251,41.2053704,,
366006919,-73.9986931,41.2026451,,
366033494,-73.9839339,41.2033641,,
367960081,-73.9986659,41.2094134,,turning_circle
368995214,-73.988299,41.2002557,,
368996534,-73.996865,41.2027115,,
368997465,-73.9987103,41.1987316,,
368997639,-73.9986759,41.1988349,,
368997646,-73.9978262,41.197582,,
368997767,-73.9967104,41.1976918,,
368997821,-73.9933802,41.198202,,
368998601,-74.0030962,41.2006432,,
369004570,-73.9889942,41.1991384,,
369005638,-74.001827,41.2023075,,turning_circle
827103266,-73.9735165,41.2048317,,
1222024499,-73.9836915,41.2125698,,
2334132991,-73.9784608,41.2063441,,
2334132993,-73.9790484,41.206603,,
2334132999,-73.9790571,41.2072256,,
2465711318,-73.9731961,41.2031054,,
2469397119,-73.9855867,41.201077,,
2469397121,-73.9900607,41.2036197,,
2469397122,-73.9865576,41.2034926,,
2469409875,-73.9944531,41.2020526,,
2469409882,-73.9983842,41.2035226,,
2469409906,-73.9998346,41.203535,,
2469421150,-73.9954397,41.2083165,,
2469421154,-73.99572,41.2099944,,turning_circle
2469421157,-73.9961385,41.208259,,
2469430240,-73.9876306,41.2058335,,
2469436717,-73.9942315,41.2061301,,
2469454513,-73.9838794,41.2111106,,
3454072356,-73.9815025,41.2054638,,
4276386862,-73.9805264,41.2074798,,
