u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
211241816,211310248,0,False,residential,Nut Ridge Road,722.249,,,,,,,,,,,20033649,
211241816,213499849,0,False,residential,"['Nut Ridge Road', 'Cedar View Road']",1019.96,,,,,,,,,,,"[20033649, 20189604]",
211241816,213438163,0,False,unclassified,Lake Ridge Road,509.698,,,,,,,,,,,20185262,CR 185
211258180,213519597,0,False,tertiary,Chipman Corners Road,1908.169,,,,,,,,,,,20190933,CR 171
211275682,213455076,0,False,residential,Hinman Road,1162.922,,,,,,,,,,,20186502,
211310248,213456372,0,False,secondary,State Highway 34B,348.491,,,,,,,,,,,20026306,NY 34B
211310248,211241816,0,False,residential,Nut Ridge Road,722.249,,,,,,,,,,,20033649,
211320690,213481128,0,False,residential,"['Devlen Road', 'Wood Road']",2269.666,,,,,,,,,,,"[20190507, 20188678]",
211346176,211393514,0,False,unclassified,"['Town Line Road', 'County Line Road']",1597.251,,,,,,,,,,,"[20031320, 20031321, 20032506, 20032513]",
211346176,211393615,0,False,unclassified,"['Lansing Genoa Town Line Road', 'County Line Road']",1560.457,,,,,,,,,,,"[20033602, 20033604, 20031308]",
211346176,213422815,0,False,unclassified,Snushall Road,822.275,,,,,,,,,,,20189511,
211348298,213500591,0,False,residential,Weeks Road,17.913,,,,,,,,,,,20189668,
211369129,211415073,0,False,residential,Stauber Road,2429.433,,,,,,,,,,,20033511,
211369129,213509498,0,False,tertiary,Salt Road,1636.161,,,,,,,,,,,20190300,CR 102
211393514,213456372,0,False,residential,County Line Road,1629.608,,,,,,,,,,,20031299,
211393514,211346176,0,False,unclassified,"['Town Line Road', 'County Line Road']",1597.251,,,,,,,,,,,"[20031320, 20032513, 20032506, 20031321]",
211393514,213549565,0,False,unclassified,Davis Road,1672.543,,,,,,,,,,,20193247,
211393523,211393615,0,False,residential,County Line Road,9.583,,,,,,,,,,,20031304,
211393523,211393596,0,False,residential,County Line Road,1245.962,,,,,,,,,,,20031303,
211393523,213529468,0,False,tertiary,Lansingville Road,1649.721,,,,,,,,,,,20191637,CR 155
211393596,211393523,0,False,residential,County Line Road,1245.962,,,,,,,,,,,20031303,
211393596,213484260,0,False,unclassified,Salmon Creek Road,1169.039,,,,,,,yes,,,,"[116391202, 116391220, 116391255]",
211393615,211393523,0,False,residential,County Line Road,9.583,,,,,,,,,,,20031304,
211393615,211346176,0,False,unclassified,"['Lansing Genoa Town Line Road', 'County Line Road']",1560.457,,,,,,,,,,,"[20033602, 20031308, 20033604]",
211395639,213427689,0,False,residential,Green Road,981.342,,,,,,,,,,,20033048,
211395639,213423140,0,False,residential,"['Sill Road', 'Green Road']",590.254,,,,,,,,,,,"[20033048, 20193603]",
211395639,213410176,0,False,residential,Sharpsteen Road,1554.818,,,,,,,,,,,20188074,
211415073,213539153,0,False,tertiary,Champlin Road,612.612,,,,,,,,,,,20192293,CR 103
211415073,211369129,0,False,residential,Stauber Road,2429.433,,,,,,,,,,,20033511,
211819606,213505959,0,False,residential,Barnes Hill Road,2382.313,,,,,,,,,,,20193523,
212034222,213492307,0,False,residential,Old Dryden Road,623.249,,,,,,,,,,,20189067,
213226310,213226313,0,False,residential,,261.827,,,,,,,,,,,20164334,
213226310,213492697,0,False,residential,Boyd Hill Road,471.647,,,,,,,,,,,20189094,
213226313,213226310,0,False,residential,,261.827,,,,,,,,,,,20164334,
213226885,213241488,0,False,secondary,Mecklenburg Road,774.74,,,,,,,yes,,,,"[20165729, 114870861, 114870854]",NY 227
213226885,213241472,0,False,secondary,Mecklenburg Road,337.219,,,,,,,,,,,20165729,NY 227
213229410,213432923,0,False,tertiary,Searsburg Road,904.947,,,,,,,,,,,20193853,CR 149
213241472,213226885,0,False,secondary,Mecklenburg Road,337.219,,,,,,,,,,,20165729,NY 227
213241472,213457455,0,False,residential,Brook Road,1830.643,,,,,,,yes,,,,"[20186673, 554593412, 554593413]",
213241488,213466271,0,False,residential,Indian Fort Road,1461.391,,,,,,,,,,,20187248,
213241488,213492697,0,False,secondary,Mecklenburg Road,1246.339,,,,,,,,,,,"[114870861, 114870855]",NY 227
213241488,213226885,0,False,secondary,Mecklenburg Road,774.74,,,,,,,yes,,,,"[20165729, 114870861, 114870854]",NY 227
213243576,213475521,0,False,residential,Fosdick Road,886.776,,,,,,,,,,,20187939,
213244030,213249528,0,False,residential,South Buck Hill Road,555.574,,,,,,,,,,,20166273,
213244030,213249511,0,False,residential,South Buck Hill Road,1048.811,,,,,,,,,,,20166273,
213245362,213260046,0,False,residential,Buck Hill Road North,1196.68,,,,,,,,,,,20166974,
213245362,213482909,0,False,secondary,Mecklenburg Road,1679.69,,,,55 mph,,,,,,,"[20194003, 438929511]",NY 79
213245362,213259986,0,False,residential,South Buck Hill Road,1337.076,,,,,,,,,,,554593411,
213249511,213244030,0,False,residential,South Buck Hill Road,1048.811,,,,,,,,,,,20166273,
213249511,213503951,0,False,residential,Harvey Hill Road,1592.087,,,,,,,,,,,20193012,
213249528,213259986,0,False,residential,South Buck Hill Road,697.771,,,,,,,,,,,"[20166273, 554593411]",
213249528,213244030,0,False,residential,South Buck Hill Road,555.574,,,,,,,,,,,20166273,
213249528,213474613,0,False,residential,Enfield Center Road West,1590.951,,,,,,,,,,,20187884,
213253963,213475791,0,False,residential,Moot Road,725.509,,,,,,,,,,,20187972,
213259986,213503972,0,False,residential,Fish Road,1615.055,,,,,,,,,,,20193570,
213259986,213245362,0,False,residential,South Buck Hill Road,1337.076,,,,,,,,,,,554593411,
213259986,213249528,0,False,residential,South Buck Hill Road,697.771,,,,,,,,,,,"[20166273, 554593411]",
213260046,213245362,0,False,residential,Buck Hill Road North,1196.68,,,,,,,,,,,20166974,
213260046,213463637,0,False,residential,Buck Hill Road North,127.983,,,,,,,,,,,20187059,
213260046,213482939,0,False,residential,Aiken Road,1583.133,,,,,,,,,,,20192660,
213260723,213463637,0,False,residential,"['Town Line Road', 'Buck Hill Road North']",1549.536,,,,,,,,,,,"[20167058, 20187059]",
213260723,213482605,0,False,residential,Iradell Road,1577.877,,,,,,,,,,,20188426,
213286688,213286706,0,False,residential,Seneca Road,726.73,,,,,,,,,,,20169176,
213286688,213336989,0,False,residential,East Seneca Road,160.295,,,,,,,,,,,20173116,
213286688,213422331,0,False,residential,King Street,206.252,,,,,,,,,,,20192411,
213286706,213286688,0,False,residential,Seneca Road,726.73,,,,,,,,,,,20169176,
213286706,213443186,0,False,residential,Frontenac Road,423.931,,,,,,,,,,,20185737,
213287888,213297838,0,False,residential,West Seneca Road,250.117,,,,,,,,,,,20170033,
213287888,213336973,0,False,residential,East Seneca Road,330.171,,,,,,,,,,,20173116,
213287888,5349998137,0,False,primary,"['Trumansburg Road', 'West Main Street']",223.355,2,,,,,,,,,,"[20191569, 20185788]",NY 96
213297838,213427950,0,False,residential,Leisure Circle,28.911,,,,,,,,,,,346038999,
213297838,213297841,0,False,residential,West Seneca Road,162.368,,,,,,,,,,,20170033,
213297838,213287888,0,False,residential,West Seneca Road,250.117,,,,,,,,,,,20170033,
213297841,213297844,0,False,residential,West Seneca Road,93.188,,,,,,,,,,,346038997,
213297841,213427947,0,False,residential,Fulton Drive,31.545,,,,,,,,,,,346038998,
213297841,213297838,0,False,residential,West Seneca Road,162.368,,,,,,,,,,,20170033,
213297844,213297841,0,False,residential,West Seneca Road,93.188,,,,,,,,,,,346038997,
213297844,213495583,0,False,residential,Leisure Circle,353.066,,,,,,,,,,,20189288,
213297844,213297850,0,False,residential,West Seneca Road,630.636,,,,,,,,,,,346038997,
213297850,213432923,0,False,residential,Curry Road,1174.536,,,,,,,,,,,20184618,
213297850,213297844,0,False,residential,West Seneca Road,630.636,,,,,,,,,,,346038997,
213307133,213336981,0,False,residential,East Seneca Road,403.67,,,,,,,,,,,20173116,
213307133,213336975,0,False,residential,East Seneca Road,169.776,,,,,,,,,,,20173116,
213307133,213462560,0,False,residential,Congress Street,115.75,,,,,,,,,,,20190257,
213318336,213426704,0,False,residential,,401.73,,,,,,,,,,,20183610,
213318620,213443246,0,False,residential,Cayuga View Road,829.637,,,,,,,,,,,20193574,
213336973,213336975,0,False,residential,East Seneca Road,379.356,,,,,,,,,,,20173116,
213336973,213287888,0,False,residential,East Seneca Road,330.171,,,,,,,,,,,20173116,
213336973,213465243,0,False,residential,Bradley Street,205.652,,,,,,,,,,,20187179,
213336975,213307133,0,False,residential,East Seneca Road,169.776,,,,,,,,,,,20173116,
213336975,213336973,0,False,residential,East Seneca Road,379.356,,,,,,,,,,,20173116,
213336975,213480347,0,False,residential,Washington Street,140.002,,,,,,,,,,,20194014,
213336981,213307133,0,False,residential,East Seneca Road,403.67,,,,,,,,,,,20173116,
213336981,213336989,0,False,residential,East Seneca Road,448.896,,,,,,,,,,,20173116,
213336981,213463810,0,False,residential,Prospect Street,530.019,,,,,,,,,,,20187068,
213336989,213286688,0,False,residential,East Seneca Road,160.295,,,,,,,,,,,20173116,
213336989,213336981,0,False,residential,East Seneca Road,448.896,,,,,,,,,,,20173116,
213336989,213422331,0,False,residential,,257.852,,,,,,,,,,,20182869,
213409446,213409480,0,False,residential,Vinegar Hill,130.395,,,,,,,,,,,20181025,
213409446,213467059,0,False,secondary,Hector Street,503.64,,,,,,,,,,,345317460,NY 79
213409446,213467003,0,False,secondary,Hector Street,292.599,,,,,,,,,,,345317460,NY 79
213409480,213409446,0,False,residential,Vinegar Hill,130.395,,,,,,,,,,,20181025,
213409480,213447279,0,False,primary,Cliff Street,931.474,2,,,,,,,,,,20187426,NY 96
213409480,213449564,0,False,primary,Cliff Street,609.383,2,,,,,,,,,,20187426,NY 96
213409489,213409496,0,False,residential,Berkshire Drive,104.78,,,,,,,,,,,20181030,
213409489,213445723,0,False,residential,Ferguson Road,310.921,2,,,30 mph,,,yes,,,,"[450428868, 450428869, 450428870]",
213409489,213438567,0,False,residential,Ferguson Road,205.549,2,,,30 mph,,,,,,,"[450428870, 20185927]",
213409496,213409511,0,False,residential,Berkshire Drive,168.955,,,,,,,,,,,20181030,
213409496,213409489,0,False,residential,Berkshire Drive,104.78,,,,,,,,,,,20181030,
213409496,213504807,0,False,residential,Penny Lane,229.103,,,,,,,,,,,20193051,
213409511,213409496,0,False,residential,Berkshire Drive,168.955,,,,,,,,,,,20181030,
213409522,213409528,0,False,residential,Hillside Avenue,69.024,,,,,,,,,,,20181036,
213409522,213471099,0,False,residential,Elm Street,519.759,2,,,,,,,,,,20187639,
213409522,213471006,0,False,residential,Elm Street,234.017,2,,,,,,,,,,20187639,
213409528,213409522,0,False,residential,Hillside Avenue,69.024,,,,,,,,,,,20181036,
213409543,213409586,0,False,residential,Vankirk Road,2018.981,,,,,,,,,,,20181079,
213409543,213446262,0,False,residential,Jackson Hollow Road,1535.899,,,,,,,,,,,20193488,
213409586,213409633,0,False,residential,Vankirk Road,966.393,,,,,,,,,,,20181079,
213409586,213409543,0,False,residential,Vankirk Road,2018.981,,,,,,,,,,,20181079,
213409586,213414842,0,False,residential,Irish Hill Road,1875.356,,,,,,,,,,,20188841,
213409633,213409689,0,False,residential,Vankirk Road,612.709,,,,,,,,,,,20181079,
213409633,213409586,0,False,residential,Vankirk Road,966.393,,,,,,,,,,,20181079,
213409633,213513585,0,False,residential,Jackson Hollow Road,307.94,,,,,,,,,,,20193488,
213409689,213409727,0,False,residential,Vankirk Road,671.816,,,,,,,,,,,20181079,
213409689,213409633,0,False,residential,Vankirk Road,612.709,,,,,,,,,,,20181079,
213409689,213453686,0,False,residential,Chaffee Creek Road,1607.891,,,,,,,,,,,20191109,
213409727,5483081297,0,False,residential,Vankirk Road,332.872,,,,,,,,,,,20181079,
213409727,213409689,0,False,residential,Vankirk Road,671.816,,,,,,,,,,,20181079,
213409727,213457199,0,False,residential,Dassance Road,894.479,,,,,,,,,,,20190059,
213409739,213409753,0,False,residential,Vankirk Road,734.348,,,,,,,,,,,20181079,
213409739,5483081297,0,False,residential,Vankirk Road,346.565,,,,,,,,,,,20181079,
213409739,213500869,0,False,residential,Vanbuskirk Gulf Road,812.224,,,,,,,,,,,20191614,
213409753,213409793,0,False,residential,Vankirk Road,714.166,,,,,,,,,,,20181079,
213409753,213409739,0,False,residential,Vankirk Road,734.348,,,,,,,,,,,20181079,
213409753,213508019,0,False,residential,Kelloggs Corners Road,836.323,,,,,,,,,,,20192899,
213409753,213437387,0,False,residential,Bull Hill Road,722.573,,,,,,,,,,,572066884,
213409793,213409819,0,False,residential,Vankirk Road,341.363,,,,,,,,,,,20181079,
213409793,213409753,0,False,residential,Vankirk Road,714.166,,,,,,,,,,,20181079,
213409793,213419756,0,False,residential,,916.221,,,,,,,,,,,20182494,
213409819,213409838,0,False,residential,Vankirk Road,785.676,,,,,,,,,,,20181079,
213409819,213409793,0,False,residential,Vankirk Road,341.363,,,,,,,,,,,20181079,
213409819,213416609,0,False,residential,,432.223,,,,,,,,,,,20182022,
213409838,213409861,0,False,residential,Vankirk Road,842.467,,,,,,,,,,,20181079,
213409838,213409819,0,False,residential,Vankirk Road,785.676,,,,,,,,,,,20181079,
213409838,5483075228,0,False,residential,Cox Road,735.388,,,,,,,,,,,20186490,
213409861,213409873,0,False,residential,Vankirk Road,185.79,,,,,,,,,,,20181079,
