osmid,x,y,ref,highway
41250901,-73.7684769,42.659074,,
41250902,-73.7682148,42.6593099,,
41275183,-73.764018,42.6571435,,traffic_signals
41275188,-73.7642786,42.6575653,,
41292236,-73.7562995,42.6512762,,
41293426,-73.7551917,42.6520735,,
41311013,-73.755992,42.653938,,
41311017,-73.758125,42.655141,,
41311020,-73.760191,42.656432,,
41311028,-73.7623235,42.6576541,,traffic_signals
41311035,-73.763923,42.659061,,
41327690,-73.7627537,42.6572377,,
41327697,-73.7632716,42.6567366,,traffic_signals
41327700,-73.7637491,42.6562746,,
41327704,-73.7641925,42.6558456,,traffic_signals
41337237,-73.77051,42.66123,,
41337242,-73.772313,42.662841,,
41357337,-73.7739118,42.6650043,,
41357344,-73.7747061,42.6642631,,
41357996,-73.76117,42.655499,,traffic_signals
41358000,-73.7620842,42.6546251,,traffic_signals
41371785,-73.7589979,42.6542603,,traffic_signals
41371793,-73.7599163,42.6533701,,traffic_signals
41402273,-73.7671968,42.6601168,,traffic_signals
41402279,-73.767859,42.6597,,
41402283,-73.768325,42.65942,,traffic_signals
41443192,-73.770578,42.6595421,,traffic_signals
41443195,-73.7704265,42.6596948,,traffic_signals
41461361,-73.76998,42.661572,,
41461369,-73.771898,42.663263,,
41478816,-73.7568979,42.6530667,,traffic_signals
41490880,-73.770763,42.661051,,traffic_signals
41490884,-73.7696745,42.6604371,,traffic_signals
41494128,-73.765447,42.6579653,,traffic_signals
41494131,-73.7661089,42.6583198,,
41494146,-73.7652889,42.6580972,,
41498260,-73.7650964,42.658274,,traffic_signals
41517698,-73.7684456,42.6583078,,traffic_signals
41518820,-73.765893,42.657524,,
41530407,-73.7560132,42.6511105,,
41530503,-73.7653609,42.656522,,traffic_signals
41530510,-73.7663385,42.657088,,traffic_signals
41530520,-73.7713498,42.6599889,,
41542166,-73.764473,42.658723,,
558869269,-73.7643724,42.6586371,,
558869270,-73.7638212,42.6589708,,
3257568822,-73.7677808,42.658925,,traffic_signals
3257568823,-73.7678827,42.6589,,traffic_signals
4717617046,-73.761634,42.655059,,
