u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41290394,41290397,0,False,residential,Grand Street,72.168,,,,30 mph,,,,,,,5568803,
41290397,41290400,0,False,residential,Grand Street,47.761,,,,30 mph,,,,,,,5568803,
41290397,41290394,0,False,residential,Grand Street,72.168,,,,30 mph,,,,,,,5568803,
41290400,41290403,0,False,residential,Grand Street,69.927,,,,30 mph,,,,,,,5568803,
41290400,41290397,0,False,residential,Grand Street,47.761,,,,30 mph,,,,,,,5568803,
41290403,41290406,0,False,residential,Grand Street,61.421,,,,30 mph,,,,,,,5568803,
41290403,41290400,0,False,residential,Grand Street,69.927,,,,30 mph,,,,,,,5568803,
41290406,41290403,0,False,residential,Grand Street,61.421,,,,30 mph,,,,,,,5568803,
41290406,41302813,0,False,residential,Myrtle Avenue,149.254,,,,30 mph,,,,,,,5580807,
41290406,41290411,0,False,residential,Grand Street,91.763,,,,30 mph,,,,,,,5568803,
41290411,41302820,0,False,residential,Park Avenue,162.615,,,,30 mph,,,,,,,5593258,
41290411,41290406,0,False,residential,Grand Street,91.763,,,,30 mph,,,,,,,5568803,
41293556,41302820,0,False,residential,Park Avenue,160.332,,,,30 mph,,,,,,,5593258,
41302804,41290397,0,True,residential,Elm Street,144.696,,,,,,,,,,,5586636,
41302804,41302806,0,True,residential,Philip Street,67.958,,,,30 mph,,,,,,,133510366,
41302806,41290400,0,True,residential,Wilbur Street,147.607,,,,,,,,,,,5592974,
41302806,41302810,0,True,residential,Philip Street,72.795,,,,30 mph,,,,,,,133510366,
41302810,41302813,0,True,residential,Philip Street,13.424,,,,30 mph,,,,,,,133510366,
41302813,41290406,0,False,residential,Myrtle Avenue,149.254,,,,30 mph,,,,,,,5580807,
41302813,41302820,0,True,residential,Philip Street,88.243,,,,30 mph,,,,,,,133510366,
41302820,41290411,0,False,residential,Park Avenue,162.615,,,,30 mph,,,,,,,5593258,
41302820,41302823,0,True,residential,Philip Street,47.403,,,,30 mph,,,,,,,133510366,
41302820,41293556,0,False,residential,Park Avenue,160.332,,,,30 mph,,,,,,,5593258,
41320099,41290403,0,True,residential,Ash Grove Place,88.299,,,,30 mph,,,,,,,5571964,
41401138,41448982,0,False,secondary,South Pearl Street,89.18,,,,30 mph,,,,,,,35893578,NY 32
41448982,41401138,0,False,secondary,South Pearl Street,89.18,,,,30 mph,,,,,,,35893578,NY 32
