u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41260464,41260467,0,False,unclassified,,12.852,,,,,,,,,,,5565141,
41260464,41275888,0,True,residential,South Main Avenue,92.658,,,,30 mph,,,,,,,5584783,
41260467,41374231,0,True,residential,South Main Avenue,100.343,,,,30 mph,,,,,,,5584787,
41260467,41260464,0,False,unclassified,,12.852,,,,,,,,,,,5565141,
41275888,41275893,0,False,unclassified,,14.172,,,,,,,,,,,5566946,
41275888,41467350,0,True,residential,South Main Avenue,112.086,,,,30 mph,,,,,,,5584783,
41275893,41260467,0,True,residential,South Main Avenue,94.076,,,,30 mph,,,,,,,5584787,
41275893,41275888,0,False,unclassified,,14.172,,,,,,,,,,,5566946,
41281077,41511425,0,False,tertiary,Hackett Boulevard,54.319,,,,30 mph,,,,,,,35146548,
41290923,41290924,0,False,residential,Sycamore Street,9.097,,,,30 mph,,,,,,,5568846,
41290923,41438301,0,True,tertiary,Hackett Boulevard,41.755,,,,30 mph,,,,,,,35146628,
41290924,41290923,0,False,residential,Sycamore Street,9.097,,,,30 mph,,,,,,,5568846,
41290924,41290931,0,True,tertiary,Hackett Boulevard,44.614,,,,30 mph,,,,,,,5589197,
41290928,41290931,0,False,residential,Sycamore Street,5.622,,,,30 mph,,,,,,,5568850,
41290928,41290923,0,True,tertiary,Hackett Boulevard,44.067,,,,30 mph,,,,,,,35146628,
41290931,41290928,0,False,residential,Sycamore Street,5.622,,,,30 mph,,,,,,,5568850,
41290931,41290941,0,False,residential,Sycamore Street,379.001,,,,30 mph,,,,,,,5568850,
41290941,41412649,0,False,tertiary,Whitehall Road,91.703,,,,30 mph,,,,,,,5579995,
41290941,41290931,0,False,residential,Sycamore Street,379.001,,,,30 mph,,,,,,,5568850,
41290941,41408339,0,False,tertiary,Whitehall Road,57.963,,,,30 mph,,,,,,,5579995,
41311200,41397247,0,False,tertiary,Whitehall Road,80.289,,,,30 mph,,,,,,,5579995,
41311200,41412615,0,False,tertiary,Whitehall Road,24.894,,,,30 mph,,,,,,,5579995,
41311200,41311203,0,False,residential,Kelton Court,171.39,,,,30 mph,,,,,,,5570951,
41311203,41311206,0,False,residential,Kelton Court,273.886,,,,30 mph,,,,,,,5570951,
41311203,41445458,0,False,residential,Dartmouth Street,96.956,,,,30 mph,,,,,,,5583128,
41311203,41311200,0,False,residential,Kelton Court,171.39,,,,30 mph,,,,,,,5570951,
41311206,41311203,0,False,residential,Kelton Court,273.886,,,,30 mph,,,,,,,5570951,
41358216,41473906,0,False,residential,Arthur Drive,102.135,,,,30 mph,,,,,,,5586050,
41362316,41362318,0,False,residential,Elbel Court,40.092,,,,,,,,,,,5575732,
41362316,41387102,0,False,tertiary,Whitehall Road,32.149,,,,30 mph,,,,,,,5579995,
41362318,41362316,0,False,residential,Elbel Court,40.092,,,,,,,,,,,5575732,
41366808,41366855,0,False,residential,Windsor Place,73.772,,,,30 mph,,,,,,,5576104,
41366808,41366808,0,False,residential,Windsor Place,70.126,,,,30 mph,,,,,,,5576102,
41366808,41366808,1,False,residential,Windsor Place,70.126,,,,30 mph,,,,,,,5576102,
41366855,41366808,0,False,residential,Windsor Place,73.772,,,,30 mph,,,,,,,5576104,
41366855,41488449,0,False,residential,Victoria Way,51.293,,,,30 mph,,,,,,,5591076,
41366855,41488449,1,False,residential,Essex Circle,100.225,,,,30 mph,,,,,,,5593464,
41366855,41529626,0,False,residential,Victoria Way,106.876,,,,30 mph,,,,,,,5591076,
41370041,41370049,0,False,residential,Keeler Drive,98.603,,,,30 mph,,,,,,,5576544,
41370041,41473906,0,False,residential,Crestwood Court,259.237,,,,30 mph,,,,,,,5585342,
41370049,41370062,0,False,residential,Keeler Drive,114.623,,,,30 mph,,,,,,,5576544,
41370049,41370041,0,False,residential,Keeler Drive,98.603,,,,30 mph,,,,,,,5576544,
41370049,41392694,0,False,residential,Jase Court,262.389,,,,30 mph,,,,,,,5578427,
41370062,41370065,0,False,residential,Keeler Drive,203.289,,,,30 mph,,,,,,,5576544,
41370062,41374231,0,False,residential,Edward Terrace,88.415,,,,30 mph,,,,,,,5576903,
41370062,41370049,0,False,residential,Keeler Drive,114.623,,,,30 mph,,,,,,,5576544,
41370065,41370062,0,False,residential,Keeler Drive,203.289,,,,30 mph,,,,,,,5576544,
41370065,41370068,0,False,residential,Keeler Drive,99.171,,,,30 mph,,,,,,,5576544,
41370065,41392694,0,False,residential,Arthur Drive,89.082,,,,30 mph,,,,,,,5586050,
41370068,41467415,0,True,tertiary,Hackett Boulevard,89.469,,,,30 mph,,,,,,,5589197,
41370068,41370065,0,False,residential,Keeler Drive,99.171,,,,30 mph,,,,,,,5576544,
41370305,41370307,0,False,residential,Fleetwood Avenue,21.738,,,,30 mph,,,,,,,5576579,
41370307,41370305,0,False,residential,Fleetwood Avenue,21.738,,,,30 mph,,,,,,,5576579,
41370307,41511277,0,True,tertiary,Hackett Boulevard,94.911,,,,30 mph,,,,,,,5589197,
41370307,41370312,0,False,residential,Fleetwood Avenue,410.052,,,,30 mph,,,,,,,5576579,
41370312,41412678,0,False,tertiary,Whitehall Road,95.596,,,,30 mph,,,,,,,5579995,
41370312,41412674,0,False,tertiary,Whitehall Road,96.422,,,,30 mph,,,,,,,5579995,
41370312,41370307,0,False,residential,Fleetwood Avenue,410.052,,,,30 mph,,,,,,,5576579,
41370312,41488449,0,False,residential,Victoria Way,48.36,,,,30 mph,,,,,,,5591076,
