osmid,x,y,ref,highway
254563944,-73.734155,41.347328,,
254786981,-73.733215,41.347408,,
261505096,-73.7319693,41.3593562,,
261505197,-73.7304882,41.363102,,
261505207,-73.721283,41.3515255,,
261505208,-73.7215162,41.3538442,,
261505209,-73.7367249,41.3493068,,turning_circle
261505220,-73.7382674,41.3532637,,
261506823,-73.7246696,41.3493377,,turning_circle
261506886,-73.7485871,41.3691707,,
261506964,-73.730979,41.3721689,,
261506967,-73.7312775,41.3722841,,
261507520,-73.7474947,41.3702137,,
261507521,-73.7480825,41.3705878,,
261507664,-73.7280138,41.3803833,,
261507665,-73.7276656,41.3810957,,
261511967,-73.7258818,41.3759275,,
261512270,-73.7271849,41.3831224,,
261512286,-73.7252493,41.3829205,,
261512838,-73.7437194,41.3711592,,
261513868,-73.7296533,41.3737105,,
261513873,-73.7299469,41.3739119,,
261514232,-73.7351057,41.3723526,,
261514234,-73.7350578,41.3726477,,
261517874,-73.7435347,41.3658211,,
261517885,-73.741602,41.3685534,,
261517894,-73.7404455,41.3710097,,
261517896,-73.7401057,41.3715466,,
261517953,-73.7513757,41.3608158,,
261517961,-73.7522332,41.3609655,,
261518077,-73.7613472,41.3802243,,
261518079,-73.7585278,41.3801417,,
261518226,-73.755079,41.3638753,,
261518321,-73.7276255,41.3772356,,
261518323,-73.7269419,41.3787643,,
261518326,-73.7553733,41.3732598,,
261519134,-73.74277,41.3702714,,
261519142,-73.7412779,41.3711607,,
261519337,-73.7247823,41.353842,,
261520160,-73.7527066,41.3504488,,traffic_signals
261520161,-73.7510609,41.3510433,,
261520168,-73.749985,41.3515439,,
261520211,-73.7412299,41.3488983,,turning_circle
261520212,-73.7426355,41.3527096,,
261520830,-73.7495151,41.3888648,,
261520845,-73.7492417,41.3903618,,
261520873,-73.7282108,41.3693635,,
261520915,-73.7181557,41.3742263,,
261520954,-73.7221835,41.3717937,,turning_circle
261520970,-73.721079,41.3727781,,
261520972,-73.7213601,41.3731656,,
261520984,-73.7251034,41.3742172,,
261521384,-73.7390663,41.3693642,,
261521387,-73.7384322,41.3712797,,
261521388,-73.7381966,41.3718,,
261521714,-73.7275595,41.3733388,,
261521716,-73.7259292,41.3730131,,
261522082,-73.749667,41.3605151,,
