u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
74610122,74622307,0,False,tertiary,South Little Tor Road,52.091,,,,,,,,,,,24176434,CR 33
74610122,358160716,0,False,residential,Burda Lane,554.273,,,,,,,,,,,24169424,
74610122,74612480,0,False,tertiary,South Little Tor Road,147.832,,,,,,,,,,,24176434,CR 33
74610122,356322443,0,False,tertiary,Germonds Road,67.397,3,,,,,,,,,,31799910,CR 27
74612480,261782657,0,False,residential,Central Avenue,78.193,,,,,,,,,,,24174910,
74612480,74610122,0,False,tertiary,South Little Tor Road,147.832,,,,,,,,,,,24176434,CR 33
74612480,261786932,0,False,tertiary,South Little Tor Road,173.36,,,,,,,,,,,24176434,CR 33
74619218,74626672,0,True,motorway_link,,59.658,,,,,,,,,,,9597880,
74619218,74619219,0,False,tertiary,Germonds Road,6.634,3,,,,,,,,,,31799910,CR 27
74619218,356322445,0,False,tertiary,Germonds Road,69.312,3,,,,,,,,,,31799910,CR 27
74619219,74619218,0,False,tertiary,Germonds Road,6.634,3,,,,,,,,,,31799910,CR 27
74619230,356058827,0,False,tertiary,Germonds Road,108.332,2,,,,,,,,,,283617128,CR 27
74619230,74619232,0,False,tertiary,Germonds Road,114.163,2,,,,,,,,,,283617128,CR 27
74619232,74619238,0,False,tertiary,Germonds Road,128.748,2,,,,,,,,,,283617128,CR 27
74619232,74619230,0,False,tertiary,Germonds Road,114.163,2,,,,,,,,,,283617128,CR 27
74619238,261776354,0,False,residential,Gerlach Drive,429.181,,,,,,,,,,,24169294,
74619238,74619250,0,False,tertiary,Germonds Road,469.604,2,,,,,,,,,,283617128,CR 27
74619238,74619232,0,False,tertiary,Germonds Road,128.748,2,,,,,,,,,,283617128,CR 27
74619250,74619238,0,False,tertiary,Germonds Road,469.604,2,,,,,,,,,,283617128,CR 27
74619250,261787757,0,False,primary,South Main Street,194.454,5,,,,,,,,,,508947215,NY 304
74620812,356325801,0,True,motorway_link,,46.352,,,,,,,,,,,9597723,
74620812,74623853,0,False,tertiary,West Clarkstown Road,8.073,,,,,,,,,,,32224299,
74620812,356324054,0,False,tertiary,West Clarkstown Road,51.297,,,,,,,,,,,32224299,
74622307,74610122,0,False,tertiary,South Little Tor Road,52.091,,,,,,,,,,,24176434,CR 33
74622307,356322443,0,True,tertiary_link,,89.008,,,,,,,,,,,9597628,
74623853,74620812,0,False,tertiary,West Clarkstown Road,8.073,,,,,,,,,,,32224299,
74626672,355275929,0,True,motorway_link,,105.642,,,,,,,,,,,9597880,
261770004,261770006,0,False,residential,Peperill Court,72.163,,,,,,,,,,,24168286,
261770004,261788058,0,False,residential,Laurel Road,45.296,,,,,,,,,,,24171140,
261770004,261788056,0,False,residential,Laurel Road,91.093,,,,,,,,,,,24171140,
261770006,261770004,0,False,residential,Peperill Court,72.163,,,,,,,,,,,24168286,
261770086,261770100,0,False,residential,Doral Court,334.549,,,,,,,,,,,24168293,
261770086,261805926,0,False,residential,Zukor Road,1118.421,,,,,,,,,,,24174682,
261770086,261777089,0,False,residential,Zukor Road,75.557,,,,,,,,,,,24174682,
261770100,361133080,0,False,residential,Doral Court,185.952,,,,,,,,,,,24168293,
261770100,261770086,0,False,residential,Doral Court,334.549,,,,,,,,,,,24168293,
261770100,261777093,0,False,residential,Fairhaven Drive,178.544,,,,,,,,,,,24173476,
261770104,361132945,0,False,residential,Doral Court,140.352,,,,,,,,,,,24168293,
261770104,361133080,0,False,residential,Doral Court,9.368,,,,,,,,,,,24168293,
261770104,261786757,0,True,residential,Inverness Drive,87.647,,,,,,,,,,,24170924,
261770185,261770186,0,False,residential,Overhill Lane,198.763,,,,,,,,,,,24168310,
261770185,261795975,0,False,residential,Pleasant Hill Drive,87.499,,,,,,,,,,,24172572,
261770185,261773123,0,False,residential,Pleasant Hill Drive,179.446,,,,,,,,,,,24172572,
261770186,261770185,0,False,residential,Overhill Lane,198.763,,,,,,,,,,,24168310,
261770214,261770215,0,False,residential,Red Hill Road,133.811,,,,,,,,,,,24168314,
261770214,261770217,0,False,residential,Red Hill Road,56.307,,,,,,,,,,,24168316,
