osmid,x,y,ref,highway
111243558,-78.649201,42.843739,,
111286401,-78.626472,42.825076,,
111286403,-78.626647,42.825051,,
111292629,-78.6405923,42.8051592,,
111318133,-78.613189,42.835839,,
111318140,-78.613228,42.839404,,
111338677,-78.621391,42.822491,,
111338681,-78.6214,42.824403,,
111338689,-78.62149,42.832877,,
111365052,-78.6222956,42.805006,,
111375134,-78.625433,42.847814,,
111381614,-78.644282,42.839198,,
111381618,-78.644333,42.840721,,
111381664,-78.640751,42.842228,,
111425314,-78.6368828,42.8355478,,
111425324,-78.6368987,42.8362261,,
111440950,-78.648741,42.82245,,
111440955,-78.637974,42.822462,,
111440957,-78.636722,42.822464,,traffic_signals
111440975,-78.62585,42.822485,,
111477829,-78.636603,42.805157,,traffic_signals
111477850,-78.636689,42.820503,,
111477870,-78.636727,42.826226,,
111477914,-78.6369068,42.8393012,,traffic_signals
111477923,-78.6397158,42.8442638,,
111477925,-78.6408288,42.8458228,,
111483418,-78.62921,42.847795,,
111500253,-78.649281,42.84578,,
111500256,-78.649401,42.848693,,
111500653,-78.631615,42.8393284,,
111504407,-78.648192,42.814875,,
111510853,-78.625797,42.847813,,
111510856,-78.625812,42.850107,,
111510859,-78.625818,42.850931,,
111515673,-78.644117,42.8392,,
111545926,-78.638001,42.820523,,
111563362,-78.622701,42.847829,,
111563373,-78.620516,42.847862,,
111563383,-78.6062527,42.847921,,
111571893,-78.630835,42.8299245,,
111571929,-78.629943,42.827294,,
111577324,-78.6302366,42.8299699,,
111577339,-78.628714,42.828906,,
111595212,-78.62004,42.844594,,turning_circle
111606010,-78.626868,42.839348,,
111608301,-78.638011,42.819269,,
111626688,-78.630888,42.824232,,
111631823,-78.6060877,42.837486,,
123947761,-78.6392389,42.8017666,,motorway_junction
123947884,-78.6428279,42.8078472,,
1071657066,-78.6367948,42.8286383,,
1099020918,-78.6624337,42.8283308,,
1118030568,-78.6414032,42.8363094,,
1118030597,-78.6362424,42.8373831,,
1118030615,-78.6360393,42.8380312,,
1118030627,-78.6345901,42.8289409,,
1118030633,-78.6364409,42.8389722,,
1118030666,-78.6448257,42.8344212,,
1118030693,-78.6365676,42.8298869,,
1118030698,-78.6361908,42.8365291,,
1118030784,-78.6369176,42.838419,,
1118030807,-78.6364265,42.8384152,,
1118030818,-78.6517458,42.8455529,,turning_circle
1118030825,-78.635942,42.836738,,
1358389979,-78.641067,42.8481628,,
2276365263,-78.6445294,42.8224586,,
2276365291,-78.6604937,42.8299157,,
2276365293,-78.662718,42.8299264,,
2276365314,-78.6459802,42.8310318,,
4117772998,-78.6479671,42.8430603,,
