osmid,x,y,ref,highway
261370391,-73.726779,40.796804,,
261370392,-73.725847,40.796915,,
261370393,-73.724921,40.797024,,
261370394,-73.723992,40.797133,,
261379017,-73.724278,40.798545,,
261379019,-73.723245,40.798644,,
261379269,-73.726984,40.797814,,
261379270,-73.727253,40.79915,,
261381211,-73.719671,40.795463,,
261384303,-73.726043,40.797878,,
261384304,-73.726327,40.79926,,
261406112,-73.721466,40.795281,,
261417492,-73.715908,40.794787,,
261417496,-73.716104,40.795859,,
261419166,-73.725398,40.799369,,
261419167,-73.72447,40.799481,,
261421626,-73.724648,40.795676,,
261421627,-73.725117,40.797986,,
261423420,-73.720569,40.795384,,
261423422,-73.720772,40.796418,,
261430201,-73.718779,40.795553,,
261439407,-73.722778,40.798736,,
261439412,-73.722905,40.799029,,
261439605,-73.722812,40.79868,,
261440372,-73.717885,40.795654,,
261444787,-73.716992,40.795757,,
261459683,-73.727936,40.79783,,
261473654,-73.716775,40.794624,,
261474317,-73.724188,40.798095,,
443252316,-73.727431,40.795348,,
443252338,-73.720334,40.794169,,
443252339,-73.721228,40.794058,,
443252344,-73.717664,40.794528,,
443252346,-73.726497,40.795457,,
443252348,-73.725574,40.795567,,
443252354,-73.718553,40.794398,,
443252378,-73.719964,40.797291,,
443252382,-73.71988,40.796517,,
443252386,-73.719895,40.797848,,
443252387,-73.719825,40.798128,,
443252390,-73.724416,40.799213,,
443252415,-73.719896,40.79961,,
443252427,-73.719783,40.799083,,
443254494,-73.728182,40.799042,,
443254500,-73.727705,40.796697,,
