u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213428252,213428259,0,False,residential,,179.192,,,,,,,,,,,20183909,
213428252,213482840,0,False,residential,McIntyre Place,98.516,,,,,,,,,,,20188434,
213428252,213482829,0,False,residential,McIntyre Place,56.2,,,,,,,,,,,20188434,
213428259,213428252,0,False,residential,,179.192,,,,,,,,,,,20183909,
213428259,213484982,0,False,residential,Judd Falls Road,139.841,,,,,,,,,,,347340057,
213428259,213482829,0,False,residential,Judd Falls Road,124.039,,,,,,,,,,,347340057,
213449576,213449627,0,False,residential,Pleasant Grove Road,400.647,,,,30 mph,,,,,,,20186151,
213449576,213487471,0,False,residential,Forest Home Drive,200.306,,,,25 mph,,,,,,,107384495,
213449576,213487509,0,False,residential,Forest Home Drive,66.761,,,,,,,yes,,,,"[107384494, 107384493, 347340062]",
213449627,213449630,0,False,residential,Pleasant Grove Road,171.56,,,,30 mph,,,,,,,20186151,
213449627,213449630,1,False,residential,Hasbrouck Circle,467.484,,,,15 mph,,,,,,,20192304,
213449627,213449576,0,False,residential,Pleasant Grove Road,400.647,,,,30 mph,,,,,,,20186151,
213449630,213449627,0,False,residential,Pleasant Grove Road,171.56,,,,30 mph,,,,,,,20186151,
213449630,213449627,1,False,residential,Hasbrouck Circle,467.484,,,,15 mph,,,,,,,20192304,
213482163,213482174,0,False,residential,Plantations Road,41.026,,,,,,,,,,,20188394,
213482163,213482829,0,False,residential,Judd Falls Road,160.251,,,,,,,,,,,347340057,
213482174,213482163,0,False,residential,Plantations Road,41.026,,,,,,,,,,,20188394,
213482174,2288175082,0,False,residential,Plantations Road,164.106,,,,,,,,yes,,,"[20188401, 200875570, 200875571]",
213482325,213482333,0,False,residential,Plantations Road,114.291,,,,,,,,,,,200875570,
213482325,2288175082,0,False,residential,Plantations Road,96.137,,,,,,,,,,,200875570,
213482325,2288175082,1,False,residential,Comstock Knoll,138.971,,,,,,,,,,,219677745,
213482333,213482325,0,False,residential,Plantations Road,114.291,,,,,,,,,,,200875570,
213482333,213482840,0,False,residential,Forest Home Drive,169.884,,,,,,,,,,,404093769,
213482829,213428252,0,False,residential,McIntyre Place,56.2,,,,,,,,,,,20188434,
213482829,213428259,0,False,residential,Judd Falls Road,124.039,,,,,,,,,,,347340057,
213482829,213482163,0,False,residential,Judd Falls Road,160.251,,,,,,,,,,,347340057,
213482840,213428252,0,False,residential,McIntyre Place,98.516,,,,,,,,,,,20188434,
213482840,213482333,0,False,residential,Forest Home Drive,169.884,,,,,,,,,,,404093769,
213482840,213487526,0,False,residential,Forest Home Drive,237.848,,,,,,,,,,,404093769,
213484982,213487509,0,False,residential,Forest Home Drive,69.946,,,,,,,,,,,107384494,
213484982,213428259,0,False,residential,Judd Falls Road,139.841,,,,,,,,,,,347340057,
213484982,213487526,0,False,residential,Forest Home Drive,37.557,,,,,,,,,,,404093769,
213485895,213502539,0,False,tertiary,Warren Road,54.693,,,,,,,,,,,20189793,
213485895,213485927,0,False,residential,Halcyon Hill Road,149.419,,,,,,,,,,,20188654,
213485895,213487471,0,False,tertiary,Warren Road,128.112,,,,,,,,,,,20189793,
213485927,213485895,0,False,residential,Halcyon Hill Road,149.419,,,,,,,,,,,20188654,
213487370,213487471,0,False,residential,Forest Home Drive,252.054,1,,,25 mph,,,yes,,,,"[107384496, 20188749, 107384495]",
213487471,213485895,0,False,tertiary,Warren Road,128.112,,,,,,,,,,,20189793,
213487471,213449576,0,False,residential,Forest Home Drive,200.306,,,,25 mph,,,,,,,107384495,
213487471,213487370,0,False,residential,Forest Home Drive,252.054,1,,,25 mph,,,yes,,,,"[107384496, 20188749, 107384495]",
213487509,213487526,0,False,residential,The Byway,192.472,,,,,,,,,,,20188843,
213487509,213484982,0,False,residential,Forest Home Drive,69.946,,,,,,,,,,,107384494,
213487509,213449576,0,False,residential,Forest Home Drive,66.761,,,,,,,yes,,,,"[107384493, 107384494, 347340062]",
213487526,213487509,0,False,residential,The Byway,192.472,,,,,,,,,,,20188843,
213487526,213482840,0,False,residential,Forest Home Drive,237.848,,,,,,,,,,,404093769,
213487526,213484982,0,False,residential,Forest Home Drive,37.557,,,,,,,,,,,404093769,
213502539,213485895,0,False,tertiary,Warren Road,54.693,,,,,,,,,,,20189793,
213502539,213534540,0,False,residential,Crest Lane,138.891,,,,,,,,,,,20191985,
213502539,213502550,0,False,tertiary,Warren Road,171.413,,,,,,,,,,,20189793,
213502550,213512136,0,False,residential,Fairway Drive,235.248,,,,,,,,,,,20190478,
213502550,213502539,0,False,tertiary,Warren Road,171.413,,,,,,,,,,,20189793,
213512136,213502550,0,False,residential,Fairway Drive,235.248,,,,,,,,,,,20190478,
213534540,213502539,0,False,residential,Crest Lane,138.891,,,,,,,,,,,20191985,
2288175082,213482325,0,False,residential,Plantations Road,96.137,,,,,,,,,,,200875570,
2288175082,213482325,1,False,residential,Comstock Knoll,138.971,,,,,,,,,,,219677745,
2288175082,213482174,0,False,residential,Plantations Road,164.106,,,,,,,,yes,,,"[20188401, 200875570, 200875571]",
