u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213411264,213411306,0,False,residential,County Hospital Road,64.052,,,,,,,,,,,20181273,
213411306,213411264,0,False,residential,County Hospital Road,64.052,,,,,,,,,,,20181273,
213411306,213472459,0,False,residential,Harris B Dates Drive,77.738,,,,,,,,,,,20187727,
213411306,213425499,0,False,unclassified,Harris B Dates Drive,166.999,,,,,,,,,,,20187734,
213411373,213411415,0,False,residential,Candlewyck Drive,233.946,,,,,,,,,,,20181296,
213411373,213528431,0,False,primary,Trumansburg Road,93.755,2,,,,,,,,,,345317461,NY 96
213411373,213488101,0,False,primary,Trumansburg Road,399.396,2,,,,,,,,,,345317461,NY 96
213411415,213411373,0,False,residential,Candlewyck Drive,233.946,,,,,,,,,,,20181296,
213414791,213414792,0,False,residential,,109.197,,,,,,,,,,,20181801,
213414791,213425672,0,False,unclassified,Harris B Dates Drive,100.348,,,,,,,,,,,20187734,
213414791,213425499,0,False,unclassified,Harris B Dates Drive,499.841,,,,,,,,,,,20187734,
213414792,213414795,0,False,residential,,69.025,,,,,,,,,,,20181801,
213414792,213414791,0,False,residential,,109.197,,,,,,,,,,,20181801,
213414792,213425672,0,False,residential,,120.757,,,,,,,,,,,20183417,
213414795,213414799,0,False,residential,,131.999,,,,,,,,,,,20181801,
213414795,213414792,0,False,residential,,69.025,,,,,,,,,,,20181801,
213414795,213420664,0,False,residential,,194.141,,,,,,,,,,,20182626,
213414799,213414795,0,False,residential,,131.999,,,,,,,,,,,20181801,
213420664,213414795,0,False,residential,,194.141,,,,,,,,,,,20182626,
213425499,213425501,0,False,residential,,227.504,,,,,,,,,,,20183376,
213425499,213414791,0,False,unclassified,Harris B Dates Drive,499.841,,,,,,,,,,,20187734,
213425499,213411306,0,False,unclassified,Harris B Dates Drive,166.999,,,,,,,,,,,20187734,
213425501,213507091,0,False,primary,Trumansburg Road,53.263,2,,,,,,,,,,345317462,NY 96
213425501,213425499,0,False,residential,,227.504,,,,,,,,,,,20183376,
213425501,213472459,0,False,primary,Trumansburg Road,247.209,2,,,,,,,,,,345317462,NY 96
213425672,213414792,0,False,residential,,120.757,,,,,,,,,,,20183417,
213425672,213472558,0,False,unclassified,Harris B Dates Drive,29.965,,,,,,,,,,,20187734,
213425672,213414791,0,False,unclassified,Harris B Dates Drive,100.348,,,,,,,,,,,20187734,
213463060,213528397,0,False,primary,Trumansburg Road,62.796,2,,,,,,,,,,20191567,NY 96
213463060,213488101,0,False,primary,Trumansburg Road,113.436,2,,,,,,,,,,345317461,NY 96
213468878,213468912,0,False,residential,Hopkins Road,831.951,,,,,,,,,,,20187445,
213468878,213506888,0,False,residential,Bundy Road,920.601,,,,,,,,,,,20191763,
213468912,213468878,0,False,residential,Hopkins Road,831.951,,,,,,,,,,,20187445,
213468912,213507091,0,False,residential,Hayts Road,466.269,,,,,,,,,,,20190121,
213468912,213507036,0,False,residential,Hayts Road,2018.459,,,,,,,,,,,20190121,
213472459,213411306,0,False,residential,Harris B Dates Drive,77.738,,,,,,,,,,,20187727,
213472459,213425501,0,False,primary,Trumansburg Road,247.209,2,,,,,,,,,,345317462,NY 96
213472459,213528431,0,False,primary,Trumansburg Road,1045.391,"['3', '2']",,,,,,,,,,"[459229088, 345317461]",NY 96
213472558,213425672,0,False,unclassified,Harris B Dates Drive,29.965,,,,,,,,,,,20187734,
213472558,213550443,0,False,residential,"['Indian Creek Road', 'Happy Lane']",485.71,,,,,,,,,,,"[20191156, 20193157]",
213472558,213502266,0,False,residential,Indian Creek Road,450.829,,,,,,,,,,,20191156,
213482776,213507473,0,False,primary,Trumansburg Road,397.698,2,,,,,,,,,,345317462,NY 96
213488101,213488137,0,False,residential,Hillcrest Drive,271.746,,,,,,,,,,,20188782,
213488101,213411373,0,False,primary,Trumansburg Road,399.396,2,,,,,,,,,,345317461,NY 96
213488101,213463060,0,False,primary,Trumansburg Road,113.436,2,,,,,,,,,,345317461,NY 96
213488137,213488101,0,False,residential,Hillcrest Drive,271.746,,,,,,,,,,,20188782,
213502231,213502266,0,False,tertiary,Dubois Road,270.95,,,,,,,,,,,20189777,CR 140
213502231,213507473,0,False,primary,Trumansburg Road,1094.579,2,,,,,,,,,,345317462,NY 96
