osmid,x,y,ref,highway
42460787,-74.0200541,40.6242541,,traffic_signals
42460801,-74.020626,40.623655,,
42460806,-74.021132,40.623052,,
42460809,-74.0216175,40.6224484,,
42460816,-74.0222398,40.6219273,,
42460821,-74.022978,40.621431,,
42461063,-74.023696,40.62095,,traffic_signals
42461069,-74.0244358,40.6204477,,traffic_signals
42461988,-74.017809,40.629381,,traffic_signals
42462000,-74.0226368,40.6212269,,
42462437,-74.0269687,40.6394475,,traffic_signals
42462450,-74.0234967,40.6392719,,traffic_signals
42462518,-74.026449,40.6399394,,
42463605,-74.023141,40.620606,,
42463609,-74.0236489,40.6199622,,traffic_signals
42465533,-74.0197039,40.6360804,,traffic_signals
42465535,-74.020153,40.635567,,traffic_signals
42465537,-74.020393,40.634964,,
42465539,-74.020507,40.634706,,traffic_signals
42465543,-74.020722,40.634169,,traffic_signals
42465548,-74.021012,40.633469,,traffic_signals
42465551,-74.021375,40.632579,,traffic_signals
42465554,-74.021737,40.631688,,traffic_signals
42465557,-74.022024,40.630988,,traffic_signals
42465561,-74.022638,40.629486,,traffic_signals
42465563,-74.0229533,40.6287127,,traffic_signals
42465566,-74.023258,40.627972,,traffic_signals
42465568,-74.0235516,40.6272512,,traffic_signals
42465571,-74.023853,40.626514,,traffic_signals
42465575,-74.0241503,40.6257953,,traffic_signals
42465580,-74.024449,40.625049,,traffic_signals
42465583,-74.02475,40.624321,,traffic_signals
42465586,-74.025047,40.623589,,traffic_signals
42465590,-74.025345,40.622859,,traffic_signals
42465592,-74.025662,40.622141,,traffic_signals
42465818,-74.0217202,40.6398347,,traffic_signals
42465970,-74.0230238,40.6399894,,
42465991,-74.0247599,40.638106,,traffic_signals
42465995,-74.02509,40.637794,,traffic_signals
42465999,-74.025272,40.637609,,
42466002,-74.025472,40.63714,,traffic_signals
42466005,-74.025666,40.636667,,traffic_signals
42466008,-74.025746,40.636465,,traffic_signals
42466011,-74.026039,40.635741,,traffic_signals
42466016,-74.0263737,40.6348938,,
42466019,-74.02668,40.634197,,traffic_signals
42466024,-74.026951,40.633516,,traffic_signals
42466027,-74.02723,40.632836,,traffic_signals
42466030,-74.0275127,40.6321513,,
42466034,-74.027791,40.631463,,traffic_signals
42466038,-74.0280771,40.630757,,traffic_signals
42466040,-74.02838,40.630023,,traffic_signals
42466042,-74.028678,40.629294,,
42466045,-74.028976,40.628564,,
42466049,-74.0292723,40.6278411,,
42466053,-74.029573,40.627103,,
42466058,-74.029871,40.626374,,
42466061,-74.03015,40.625691,,traffic_signals
42466064,-74.030427,40.62501,,
42466068,-74.030707,40.624329,,
42466071,-74.03106,40.623463,,
42467213,-74.038111,40.630259,,
42467215,-74.038352,40.629663,,
42467219,-74.038577,40.629113,,
42467222,-74.038832,40.628497,,
42470492,-74.0291637,40.6407786,,
42470545,-74.0355552,40.6397399,,
42470568,-74.037245,40.635985,,
42470601,-74.0369229,40.6336437,,
42470607,-74.037898,40.632286,,
42470609,-74.038403,40.631716,,
42470612,-74.038814,40.6313124,,
42470615,-74.03961,40.630617,,
42470671,-74.0398887,40.6287235,,
42470687,-74.040661,40.626689,,
42474223,-74.030322,40.639647,,
42474225,-74.02941,40.639358,,
42474230,-74.02854,40.639091,,
42474235,-74.027624,40.638805,,
42474242,-74.022626,40.636799,,traffic_signals
42474316,-74.0177956,40.6341309,,traffic_signals
42474320,-74.0164327,40.632951,,
42475915,-74.034441,40.6368,,
42475918,-74.0325008,40.6362016,,
42475920,-74.031826,40.635993,,
42477120,-74.017497,40.6347813,,
42477126,-74.01796,40.633728,,
42477130,-74.018245,40.633034,,traffic_signals
42477136,-74.01853,40.632334,,traffic_signals
42477140,-74.018895,40.631444,,traffic_signals
42477146,-74.019063,40.631039,,
42477149,-74.019259,40.63056,,traffic_signals
42477151,-74.019359,40.63031,,traffic_signals
42477153,-74.01955,40.629855,,
42477154,-74.01966,40.629576,,
42477156,-74.019829,40.629168,,
42477158,-74.019958,40.628838,,
42477161,-74.020277,40.628062,,traffic_signals
42477164,-74.0206019,40.6272739,,
42477170,-74.020894,40.626543,,traffic_signals
42477174,-74.021194,40.625816,,
42477180,-74.021495,40.625084,,
42477186,-74.0217913,40.6243652,,
42477188,-74.022092,40.623629,,
42477193,-74.022389,40.622896,,
42477196,-74.022687,40.622178,,
42477662,-74.03613,40.632664,,
42477663,-74.0334454,40.6320342,,
42477665,-74.0307563,40.6313961,,
42477666,-74.025361,40.630109,,traffic_signals
42477673,-74.018961,40.626296,,
42482750,-74.035283,40.634746,,
42482752,-74.032593,40.63411,,
42482755,-74.029913,40.633474,,
42482762,-74.024528,40.6321589,,traffic_signals
42482834,-74.01806,40.628619,,
42484084,-74.024991,40.633581,,
42484088,-74.025177,40.633096,,
42484478,-74.030459,40.637495,,
42484481,-74.030165,40.638052,,
42485196,-74.036427,40.6319462,,
42485198,-74.033742,40.631297,,
42485199,-74.031061,40.630661,,
42485203,-74.02566,40.629378,,traffic_signals
42485205,-74.019264,40.625577,,
42485480,-74.035561,40.637917,,
42485482,-74.034158,40.637483,,
42485485,-74.032146,40.636858,,
42485491,-74.031547,40.636673,,
42485495,-74.030666,40.636392,,
42485503,-74.029827,40.636139,,
42485509,-74.028942,40.635867,,
42485900,-74.019263,40.633494,,
42485902,-74.019736,40.632885,,
42487379,-74.016684,40.632321,,
42487385,-74.016956,40.631622,,
42487389,-74.017336,40.630729,,traffic_signals
42487396,-74.017559,40.630131,,
42487406,-74.018328,40.627862,,
42487410,-74.018639,40.627071,,traffic_signals
42487414,-74.019632,40.624879,,
42487901,-74.039109,40.625372,,
42487905,-74.036426,40.624734,,
42487907,-74.033742,40.624099,,
42487909,-74.02835,40.622799,,traffic_signals
42487912,-74.0253404,40.621007,,
42488767,-74.0387577,40.6262357,,
42488802,-74.03388,40.638167,,
42488810,-74.034721,40.636107,,
42488820,-74.034999,40.635426,,
42488827,-74.035556,40.634062,,
42488830,-74.035836,40.63337,,
42488841,-74.036725,40.631202,,
42488844,-74.036931,40.630692,,
42488847,-74.037198,40.630042,,
42488850,-74.037321,40.629741,,
42488858,-74.03762,40.629013,,
42488866,-74.037918,40.628281,,
42488871,-74.038197,40.6276,,
42489465,-74.0396996,40.6264571,,turning_circle
42492154,-74.027706,40.639895,,
42492453,-74.035515,40.626962,,
42492455,-74.032833,40.626329,,
42492457,-74.027438,40.625027,,traffic_signals
42494257,-74.0221606,40.6372153,,traffic_signals
42494942,-74.03464,40.629106,,
42494947,-74.031957,40.628471,,
42494950,-74.026561,40.627187,,traffic_signals
42495427,-74.0365,40.635783,,
42495436,-74.032317,40.634791,,
42495440,-74.029633,40.634153,,
42495445,-74.026039,40.633303,,
42495448,-74.0242407,40.6328488,,traffic_signals
42495456,-74.018613,40.629859,,
42498655,-74.028406,40.640322,,
42499067,-74.027888,40.636309,,
42499069,-74.028316,40.635256,,
42504813,-74.029134,40.635373,,
42504821,-74.023884,40.633724,,traffic_signals
42504831,-74.0177114,40.6308989,,
42505984,-74.035235,40.627645,,
42505985,-74.032555,40.62701,,
42505987,-74.027153,40.625727,,traffic_signals
42507998,-74.028004,40.638145,,traffic_signals
42508002,-74.028279,40.637468,,traffic_signals
42508006,-74.028658,40.636546,,traffic_signals
42508015,-74.029357,40.634837,,traffic_signals
42508023,-74.0301957,40.6327863,,
42508027,-74.030473,40.632099,,
42508036,-74.03136,40.629931,,
42508040,-74.031658,40.629199,,
42508046,-74.032256,40.627741,,
42508057,-74.033108,40.625647,,
42508063,-74.033389,40.624968,,
42508287,-74.030267,40.635054,,
42509512,-74.033155,40.632735,,
42509517,-74.0250657,40.6308361,,traffic_signals
42512918,-74.034857,40.638474,,
42512921,-74.03209,40.637614,,
42512923,-74.031268,40.637357,,traffic_signals
42512933,-74.023518,40.634616,,traffic_signals
42513409,-74.031131,40.635254,,
42514283,-74.0280172,40.6236188,,
42514329,-74.036071,40.625599,,
42515868,-74.030606,40.638963,,
42515872,-74.030891,40.638279,,
42515878,-74.0328768,40.6334199,,
42515887,-74.034041,40.630565,,
42515894,-74.034336,40.629847,,
42515897,-74.034938,40.628375,,
42515902,-74.035789,40.626285,,
42516131,-74.019701,40.628702,,
42517287,-74.026263,40.62792,,traffic_signals
42521223,-74.0212954,40.6379574,,
42521235,-74.0229046,40.6361182,,traffic_signals
42521238,-74.023235,40.635318,,traffic_signals
42521246,-74.024792,40.631506,,traffic_signals
42521265,-74.025962,40.6286583,,traffic_signals
42521273,-74.026856,40.626459,,traffic_signals
42521282,-74.0277283,40.624314,,traffic_signals
42524799,-74.0395448,40.6293372,,
42528646,-74.031609,40.638502,,
42528659,-74.027353,40.63718,,
42528720,-74.025731,40.634077,,
42529076,-74.025828,40.637307,,
42529230,-74.027612,40.636695,,
42530823,-74.036695,40.635304,,
42536498,-74.037228,40.631337,,
42537330,-74.0395348,40.6295992,,
449029625,-74.0210746,40.6380012,,
449029630,-74.0204231,40.6374451,20,motorway_junction
449588300,-74.0161133,40.6331321,,
451663020,-74.0325011,40.6414447,,
451663024,-74.0335332,40.6412542,,
451663250,-74.0283196,40.6405052,,
451663948,-74.0351954,40.640768,,
451664370,-74.0268738,40.6395374,,
451664576,-74.0266495,40.6397489,,
451667146,-74.0226858,40.6396922,,
452196762,-74.0404979,40.6304256,1,motorway_junction
452236091,-74.0366813,40.6390472,,turning_circle
595939934,-74.0214494,40.6379212,,
598321902,-74.0218704,40.6398184,,traffic_signals
598321907,-74.0217899,40.6391712,,
598321915,-74.0210917,40.6381351,,traffic_signals
598329389,-74.016453,40.6344246,,
598348984,-74.0160772,40.6332997,,
598348985,-74.017841,40.6339866,,
598357877,-74.02269,40.6216246,,traffic_signals
598357916,-74.0214764,40.6223482,,
598357923,-74.0231055,40.6199691,,
598424652,-74.0202453,40.6364044,,
598424661,-74.0218385,40.6369898,,
598424724,-74.0205526,40.6358047,,
1372888825,-74.0212013,40.6382481,,
1372888839,-74.0214246,40.6380365,,
2308356475,-74.0330353,40.6319387,,
2308356476,-74.0326383,40.6318451,,
2308370074,-74.0320811,40.6332292,,
2308370075,-74.0317834,40.6331641,,
2308394002,-74.0222931,40.6303288,,traffic_signals
2323022174,-74.0407015,40.6257464,,traffic_signals
2323022182,-74.0399331,40.6280019,,
2323022214,-74.0366037,40.6365682,,
2323022218,-74.0360638,40.6373048,,
2356694626,-74.0163939,40.6332543,,traffic_signals
2393809742,-74.0181006,40.6304599,,
2548137068,-74.0359529,40.6388196,,traffic_signals
2552985819,-74.0191602,40.6292771,,
2932139064,-74.0367683,40.6343512,,
4026478027,-74.02248,40.636951,,
4026478043,-74.0219478,40.6374169,,traffic_signals
4227675199,-74.0335076,40.6390975,,
4227675200,-74.0343718,40.6393656,,
4309859052,-74.0320397,40.6354699,,
4732863269,-74.0165824,40.6333182,,
4732863278,-74.016441,40.6330916,,traffic_signals
5610570648,-74.0218206,40.6219244,,
