u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42727929,42728483,0,True,motorway_link,,261.59,1,,,,,,,,,,5696113,
42727929,473242253,0,True,secondary,,429.249,1,,,,,,,,,,220462184,
42730464,42742930,0,True,residential,Burke Avenue,90.878,,,,,,,,,,,574763503,
42730464,42757178,0,True,secondary,Hammersley Avenue,243.913,,,,,,,,,,,40350355,
42733881,42733883,0,False,residential,Deyo Street,77.994,,,,,,,,,,,5696529,
42733881,42742871,0,False,residential,Fenton Avenue,101.688,,,,,,,,,,,5697304,
42733881,42745540,0,False,residential,Fenton Avenue,57.568,,,,,,,,,,,5697304,
42733883,42733881,0,False,residential,Deyo Street,77.994,,,,,,,,,,,5696529,
42735212,42735219,0,False,residential,Tillotson Avenue,81.443,,,,,,,,,,,5696620,
42735212,42736556,0,False,secondary,Eastchester Road,199.722,,,,,,,,,,,533493570,
42735219,42735223,0,False,residential,Tillotson Avenue,75.891,,,,,,,,,,,5696620,
42735219,42735212,0,False,residential,Tillotson Avenue,81.443,,,,,,,,,,,5696620,
42735219,42736564,0,False,residential,Mickle Avenue,199.49,,,,,,,,,,,5697563,
42735219,42749686,0,False,residential,Mickle Avenue,81.655,,,,,,,,,,,5697563,
42735223,42735225,0,False,residential,Tillotson Avenue,76.311,,,,,,,,,,,5696620,
42735223,42735219,0,False,residential,Tillotson Avenue,75.891,,,,,,,,,,,5696620,
42735223,42736569,0,False,residential,Kingsland Avenue,200.173,,,,,,,,,,,5698286,
42735225,42735228,0,False,residential,Tillotson Avenue,76.319,,,,,,,,,,,5696620,
42735225,42735223,0,False,residential,Tillotson Avenue,76.311,,,,,,,,,,,5696620,
42735225,42736571,0,False,residential,Tiemann Avenue,199.738,,,,,,,,,,,5699248,
42735228,42735230,0,False,residential,Tillotson Avenue,75.313,,,,,,,,,,,5696620,
42735228,42735225,0,False,residential,Tillotson Avenue,76.319,,,,,,,,,,,5696620,
42735228,42736574,0,False,residential,Gunther Avenue,198.446,,,,,,,,,,,5699754,
42735230,42735228,0,False,residential,Tillotson Avenue,75.313,,,,,,,,,,,5696620,
42735230,897060234,0,False,residential,"['Ely Avenue', 'Wickham Avenue']",197.584,,,,20 mph,,,,,,,"[5697842, 274711276]",
42735230,2793928710,0,False,residential,Wickham Avenue,106.331,,,,20 mph,,,,,,,274711276,
