osmid,x,y,ref,highway
42950801,-74.223789,40.506832,,
42950804,-74.224653,40.506827,,
42950810,-74.225456,40.506833,,
42951337,-74.230551,40.509146,,
42951846,-74.2321814,40.5064677,,
42951869,-74.2311515,40.506918,,
42951878,-74.2303704,40.5071464,,
42951881,-74.2300528,40.5072312,,
42956695,-74.229033,40.50875,,
42956703,-74.229884,40.508562,,
42958366,-74.230997,40.5064938,,
42959574,-74.234398,40.510712,,
42959581,-74.23387,40.509164,,
42959585,-74.2336994,40.5086602,,
42959587,-74.233228,40.507237,,
42959589,-74.233063,40.506756,,traffic_signals
42959599,-74.2320054,40.5035599,,
42959606,-74.2317034,40.5028067,,
42959610,-74.2319249,40.5023268,,
42959615,-74.2323363,40.5021363,,turning_circle
42959912,-74.234635,40.508662,,
42959913,-74.235647,40.508457,,
42965051,-74.230155,40.5111248,,turning_circle
42965053,-74.231158,40.5109291,,traffic_signals
42965062,-74.22574,40.512195,,
42973551,-74.224561,40.506039,,
42975546,-74.23506,40.506685,,
42976135,-74.2277227,40.5076224,,
42976137,-74.2274995,40.5076877,,
42976141,-74.22719,40.507742,,
42976153,-74.227613,40.508203,,
42981015,-74.236272,40.51036,,
42981357,-74.235121,40.506873,,
42984810,-74.227927,40.508979,,
42985081,-74.223777,40.5086,,
42987498,-74.235863,40.509124,,
42987502,-74.234781,40.508967,,
42987504,-74.234487,40.508249,,
42989117,-74.2300627,40.5077545,,traffic_signals
42989122,-74.234896,40.506189,,traffic_signals
43007069,-74.235348,40.507548,,
43013788,-74.2325461,40.5034685,,
43014724,-74.2361253,40.5099138,,
43015337,-74.232323,40.5026788,,
43015918,-74.230318,40.508478,,
43015928,-74.2283378,40.5026201,,
43020769,-74.235957,40.509409,,
43024345,-74.2328809,40.509017,,
43024348,-74.2328208,40.5088155,,
43024351,-74.2327295,40.5085385,,
43026230,-74.2310981,40.5036832,,
43026233,-74.2308571,40.5037163,,
43026238,-74.2285734,40.5033312,,
43026279,-74.2307866,40.5027898,,
43027002,-74.2306107,40.5065982,,
392182943,-74.2302674,40.5068788,,
1955864266,-74.2321481,40.5090684,,
1955864312,-74.2306608,40.5093468,,
2613300610,-74.2316249,40.5026411,,
2613300614,-74.2307406,40.504329,,
2613300615,-74.2294921,40.504571,,
2613300617,-74.2297015,40.5051812,,
2613300618,-74.2292317,40.505277,,
4202402240,-74.2311297,40.5108288,,
5448868723,-74.2329145,40.5062992,,
5448868724,-74.232795,40.505936,,
5448868725,-74.2322577,40.5060361,,
5448916283,-74.22777,40.508591,,
5448974200,-74.2253984,40.5059607,,turning_circle
5490709085,-74.2329977,40.5099481,,
5490709086,-74.2340831,40.509777,,
