u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42434165,42444485,0,True,secondary,5th Avenue,79.104,,,,,,,,,,,195743334,
42434166,42446086,0,True,secondary,Madison Avenue,87.387,,,,,,,,,,,68668544,
42434166,42434165,0,True,residential,East 95th Street,154.978,,,,,,,,,,,353220074,
42434168,42457660,0,True,secondary,Park Avenue,87.861,3,,,,,,,,,,46240204,
42434168,596776167,0,True,residential,East 95th Street,24.555,,,,,,,,,,,353220074,
42436537,42445731,0,True,secondary,5th Avenue,80.638,,,,,,,,,,,440122867,
42436539,42444810,0,True,secondary,Madison Avenue,79.546,,,,,,,,,,,68668544,
42436539,42436537,0,True,residential,East 89th Street,154.458,1,,,,,,,,,,226015238,
42436541,42444812,0,True,secondary,Park Avenue,79.541,3,,,,,,,,,,46240204,
42436541,596776150,0,True,residential,East 89th Street,24.035,1,,,,,,,,,,226015238,
42443268,42446086,0,False,secondary,East 96th Street,155.056,,,,,,,,,,,584971419,
42443268,42434165,0,True,secondary,5th Avenue,86.961,,,,,,,,,,,195743334,
42444485,42444487,0,True,residential,East 94th Street,154.918,,,,,,,,,,,5671222,
42444485,42452809,0,True,secondary,5th Avenue,78.467,,,,,,,,,,,195743334,
42444487,596776173,0,True,residential,East 94th Street,144.078,,,,,,,,,,,5671222,
42444487,42434166,0,True,secondary,Madison Avenue,78.565,,,,,,,,,,,68668544,
42444491,42434168,0,True,secondary,Park Avenue,77.99,3,,,,,,,,,,46240204,
42444809,42444810,0,True,residential,East 90th Street,154.731,,,,,,,,,,,5671248,
42444809,42436537,0,True,secondary,5th Avenue,79.572,,,,,,,,,,,440122867,
42444810,596776156,0,True,residential,East 90th Street,144.506,,,,,,,,,,,5671248,
42444810,42446066,0,True,secondary,Madison Avenue,79.343,,,,,,,,,,,68668544,
42444812,42456578,0,True,secondary,Park Avenue,79.537,3,,,,,,,,,,46240204,
42445731,42445733,0,True,residential,East 88th Street,154.556,,,,,,,,,,,5671357,
42445731,42454189,0,True,secondary,5th Avenue,78.748,,,,,,,,,,,440122867,
42445733,596776103,0,True,residential,East 88th Street,144.791,,,,,,,,,,,5671357,
42445733,42436539,0,True,secondary,Madison Avenue,80.57,,,,,,,,,,,68668544,
42445736,42436541,0,True,secondary,Park Avenue,80.477,3,,,,,,,,,,46240204,
42446041,42454189,0,True,residential,East 87th Street,154.489,,,,,,,,,,,5672411,
42446041,42445733,0,True,secondary,Madison Avenue,78.849,,,,,,,,,,,68668544,
42446066,42446070,0,True,secondary,Madison Avenue,79.392,,,,,,,,,,,68668544,
42446066,42456575,0,True,residential,East 91st Street,154.797,,,,,,,,,,,5672941,
42446070,596776177,0,True,residential,East 92nd Street,144.352,,,,,,,,,,,5671623,
42446070,42446072,0,True,secondary,Madison Avenue,81.068,,,,,,,,,,,68668544,
42446072,42444487,0,True,secondary,Madison Avenue,78.885,,,,,,,,,,,68668544,
42446072,42452809,0,True,residential,East 93rd Street,155.085,,,,,,,,,,,569266484,
42446086,596776260,0,False,secondary,East 96th Street,143.821,,,,,,,,,,,5673083,
42446086,42443268,0,False,secondary,East 96th Street,155.056,,,,,,,,,,,584971419,
42448726,42446070,0,True,residential,East 92nd Street,154.765,,,,,,,,,,,5671623,
42448726,42456575,0,True,secondary,5th Avenue,79.664,,,,,,,,,,,195743334,
42448729,42452812,0,True,secondary,Park Avenue,80.858,3,,,,,,,,,,46240204,
42452809,42448726,0,True,secondary,5th Avenue,81.246,,,,,,,,,,,195743334,
42452812,42444491,0,True,secondary,Park Avenue,79.322,3,,,,,,,,,,46240204,
42452812,596776144,0,True,residential,East 93rd Street,24.382,,,,,,,,,,,569266484,
42454192,596776115,0,True,residential,East 87th Street,23.86,,,,,,,,,,,5672411,
42454192,42445736,0,True,secondary,Park Avenue,78.955,3,,,,,,,,,,46240204,
42456575,42444809,0,True,secondary,5th Avenue,79.152,,,,,,,,,,,440122865,
42456578,596776163,0,True,residential,East 91st Street,24.216,,,,,,,,,,,5672941,
42456578,42448729,0,True,secondary,Park Avenue,79.117,3,,,,,,,,,,46240204,
42457660,596776260,0,False,secondary,East 96th Street,24.658,,,,,,,,,,,5673083,
596776103,42445736,0,True,residential,East 88th Street,23.957,,,,,,,,,,,5671357,
596776103,596776115,0,True,secondary,Park Avenue,78.939,3,,,,,,,,,,68674962,
596776115,42446041,0,True,residential,East 87th Street,144.928,,,,,,,,,,,5672411,
596776144,596776177,0,True,secondary,Park Avenue,80.888,3,,,,,,,,,,68674962,
596776144,42446072,0,True,residential,East 93rd Street,143.979,,,,,,,,,,,569266484,
596776150,596776103,0,True,secondary,Park Avenue,80.497,3,,,,,,,,,,68674962,
596776150,42436539,0,True,residential,East 89th Street,144.84,1,,,,,,,,,,226015238,
596776156,42444812,0,True,residential,East 90th Street,24.13,,,,,,,,,,,5671248,
596776156,596776150,0,True,secondary,Park Avenue,79.539,3,,,,,,,,,,68674962,
596776163,42446066,0,True,residential,East 91st Street,144.378,,,,,,,,,,,5672941,
596776163,596776156,0,True,secondary,Park Avenue,79.501,3,,,,,,,,,,68674962,
596776167,596776173,0,True,secondary,Park Avenue,78.071,3,,,,,,,,,,68674962,
596776167,42434166,0,True,residential,East 95th Street,143.968,,,,,,,,,,,353220074,
596776173,42444491,0,True,residential,East 94th Street,24.472,,,,,,,,,,,5671222,
596776173,596776144,0,True,secondary,Park Avenue,79.259,3,,,,,,,,,,68674962,
596776177,42448729,0,True,residential,East 92nd Street,24.298,,,,,,,,,,,5671623,
596776177,596776163,0,True,secondary,Park Avenue,79.161,3,,,,,,,,,,68674962,
596776260,42457660,0,False,secondary,East 96th Street,24.658,,,,,,,,,,,5673083,
596776260,42446086,0,False,secondary,East 96th Street,143.821,,,,,,,,,,,5673083,
596776260,596776167,0,True,secondary,Park Avenue,87.804,3,,,,,,,,,,68674962,
