osmid,x,y,ref,highway
42718392,-73.85456,40.825551,,
42718396,-73.852761,40.825773,,
42718430,-73.8497118,40.8261589,,
42718436,-73.8466375,40.8265917,,
42718441,-73.8435895,40.8269922,,
42719943,-73.857202,40.822155,,
42719957,-73.855136,40.822436,,
42719965,-73.852078,40.822847,,
42719970,-73.849018,40.82326,,
42719975,-73.8459639,40.8236874,,
42719977,-73.8429383,40.8240771,,traffic_signals
42721635,-73.8437552,40.8276917,,traffic_signals
42725853,-73.856623,40.825987,,
42731513,-73.858445,40.822774,,
42731517,-73.855312,40.823192,,
42731521,-73.852253,40.823606,,
42731525,-73.849194,40.824019,,
42731530,-73.846132,40.824426,,
42732900,-73.851629,40.816354,,
42741939,-73.85362,40.816088,,
42741941,-73.853787,40.816815,,
42741944,-73.853949,40.817467,,
42741947,-73.8541408,40.8182106,,
42741955,-73.854637,40.8203,,
42741959,-73.854808,40.821029,,
42741963,-73.854967,40.82168,,
42741969,-73.855486,40.823912,,
42741973,-73.855646,40.824633,,
42741976,-73.855972,40.826064,,
42745785,-73.854718,40.815942,,
42745792,-73.850599,40.816498,,
42745797,-73.849574,40.816634,,
42745801,-73.848588,40.816765,,
42745804,-73.847539,40.816905,,traffic_signals
42745809,-73.846478,40.817049,,
42745812,-73.845496,40.817181,,
42745817,-73.844475,40.8173167,,
42745822,-73.8438915,40.8173989,,
42745831,-73.8441167,40.8170922,,
42746371,-73.852421,40.824324,,
42746376,-73.849361,40.824735,,
42746380,-73.846303,40.825145,,
42746384,-73.8432569,40.8255238,,
42747670,-73.851901,40.822089,,
42747675,-73.848841,40.822503,,
42747679,-73.8457825,40.8229175,,
42747918,-73.85727,40.81777,,traffic_signals
42747923,-73.856222,40.817917,,
42747928,-73.85108,40.818618,,
42747939,-73.844971,40.8194366,,
42747943,-73.8419415,40.8198386,,
42749944,-73.8456841,40.8140426,,
42749947,-73.846001,40.814968,,
42750140,-73.850917,40.817878,,
42750823,-73.8488232,40.8134133,,
42750826,-73.8490926,40.8145527,,
42753041,-73.859407,40.825621,,
42753045,-73.852925,40.826482,,
42753048,-73.849865,40.826897,,
42753050,-73.8468018,40.8273085,,
42757370,-73.8464853,40.8122991,,
42757375,-73.8466307,40.8130407,,
42757377,-73.847054,40.814826,,
42757384,-73.848341,40.820363,,
42757387,-73.84852,40.821123,,
42757391,-73.84869,40.821856,,
42757399,-73.84953,40.825455,,
42759203,-73.857768,40.819879,,traffic_signals
42759206,-73.856711,40.820019,,
42759211,-73.85158,40.820711,,
42759215,-73.8454561,40.8215353,,
42759221,-73.8424329,40.8219061,,
42760844,-73.8450796,40.8154753,,
42768960,-73.858789,40.824209,,
42770028,-73.850766,40.81723,,
42771006,-73.8452823,40.8207873,,
42771208,-73.8476755,40.8129128,,
42771213,-73.848112,40.814687,,
42771223,-73.8500813,40.814414,,
42771235,-73.851751,40.821441,,
42771243,-73.852589,40.825044,,
42771687,-73.854572,40.815446,,
42771709,-73.846087,40.8131035,,
42779266,-73.8452227,40.8150744,,
42781462,-73.8426046,40.8226271,,
42781474,-73.8434272,40.8262797,,
42781862,-73.84647,40.825868,,
42781908,-73.84563,40.822264,,
103581960,-73.8529889,40.8267683,,
103586218,-73.8441751,40.827979,6B,motorway_junction
474743444,-73.8492209,40.827132,54,motorway_junction
567081204,-73.8448135,40.8275771,,
572960801,-73.8449544,40.8193664,,
572960808,-73.8449875,40.819513,,
583088944,-73.844252,40.8246532,,
596455443,-73.8431559,40.8282225,,
596455447,-73.8427209,40.8283032,,
596455536,-73.8428017,40.8283253,,
596455867,-73.8466803,40.8274269,,motorway_junction
596456181,-73.8523501,40.8268531,54,motorway_junction
2858414627,-73.8480159,40.8189638,,
2858414628,-73.8480424,40.8190781,,
4589350675,-73.8465465,40.8125971,,
4589350680,-73.8463435,40.8125839,,
4589379307,-73.8451547,40.815783,,
4589379311,-73.8449212,40.8157607,,
4617095068,-73.8435959,40.8270193,,
4617095069,-73.8428966,40.8271014,,
5334872936,-73.8575663,40.8221053,,
5487952933,-73.8549102,40.8255137,,
5487952934,-73.8558174,40.8253853,,
