u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42945216,446501080,0,True,motorway_link,,437.096,,,,,,,,,,,5710849,
42945216,42972996,0,True,residential,West Shore Expressway West Service Road,349.487,,,,,,,,,,,38010192,
42946674,42946680,0,True,motorway_link,,339.711,,,,,,,,,,,5710956,
42946674,42996579,0,True,motorway,West Shore Expressway,1319.52,2,,,50 mph,,,,,,,285917141,NY 440
42946680,42978058,0,True,residential,West Shore Expressway Service Road East,256.906,,,,,,,,,,,5713442,
42953732,42964791,0,False,residential,Shenandoah Avenue,46.503,,,,,,,,,,,5714405,
42954028,42972984,0,False,residential,Wild Avenue,75.691,,,,,,,,,,,275382853,
42954028,42972975,0,False,residential,Wild Avenue,77.038,,,,,,,,,,,275382853,
42954028,2800159454,0,True,residential,Alberta Avenue,299.55,,,,,,,,,,,5711479,
42957237,42957241,0,False,residential,Temple Court,46.378,,,,,,,,,,,5711664,
42957237,5475552206,0,False,residential,Church Avenue,16.721,,,,,,,,,,,5712545,
42957237,42970111,0,False,residential,Church Avenue,137.164,,,,,,,,,,,5712545,
42957241,42957237,0,False,residential,Temple Court,46.378,,,,,,,,,,,5711664,
42957241,42957255,0,False,residential,Temple Court,22.138,,,,,,,,,,,5711665,
42957241,42957252,0,False,residential,Temple Court,22.258,,,,,,,,,,,5711665,
42957252,42957241,0,False,residential,Temple Court,22.258,,,,,,,,,,,5711665,
42957255,42957241,0,False,residential,Temple Court,22.138,,,,,,,,,,,5711665,
42959780,42959782,0,False,residential,Ridgeway Avenue,85.27,,,,,,,,,,,5711837,
42959780,42978092,0,False,secondary,Victory Boulevard,132.268,,,,,,,,,,,420642513,
42959780,42978095,0,False,secondary,Victory Boulevard,205.472,,,,,,,,,,,420642513,
42959782,42959785,0,False,residential,Ridgeway Avenue,47.98,,,,,,,,,,,5711837,
42959782,42959780,0,False,residential,Ridgeway Avenue,85.27,,,,,,,,,,,5711837,
42959782,42966921,0,False,residential,Riche Avenue,102.158,,,,,,,,,,,5712384,
42959782,42966918,0,False,residential,Riche Avenue,41.05,,,,,,,,,,,5712384,
42959785,42959782,0,False,residential,Ridgeway Avenue,47.98,,,,,,,,,,,5711837,
42959785,42959795,0,False,residential,Casper Avenue,116.911,,,,,,,,,,,5717571,
42959785,42959795,1,False,residential,Ridgeway Avenue,200.991,,,,,,,,,,,5711837,
42959795,42959798,0,False,residential,Ridgeway Avenue,22.912,,,,,,,,,,,5711837,
42959795,42959785,0,False,residential,Casper Avenue,116.911,,,,,,,,,,,5717571,
42959795,42959785,1,False,residential,Ridgeway Avenue,200.991,,,,,,,,,,,5711837,
42959798,42959795,0,False,residential,Ridgeway Avenue,22.912,,,,,,,,,,,5711837,
42960304,43024544,0,False,residential,Chelsea Street,36.481,,,,,,,,,,,5717306,
42964789,42964790,0,False,residential,Latimer Avenue,81.742,,,,,,,,,,,5712219,
42964790,42964791,0,False,residential,Latimer Avenue,212.106,,,,,,,,,,,5712219,
42964790,42964789,0,False,residential,Latimer Avenue,81.742,,,,,,,,,,,5712219,
42964790,42978095,0,False,residential,Baron Boulevard,88.655,,,,,,,,,,,5714410,
42964790,3642880035,0,False,residential,"['Baron Boulevard', 'Wakefield Avenue']",168.644,,,,,,,,,,,"[359611177, 5714410]",
42964791,42964790,0,False,residential,Latimer Avenue,212.106,,,,,,,,,,,5712219,
42964791,42978098,0,False,residential,Shenandoah Avenue,88.094,,,,,,,,,,,5714405,
42964791,42953732,0,False,residential,Shenandoah Avenue,46.503,,,,,,,,,,,5714405,
42966918,42959782,0,False,residential,Riche Avenue,41.05,,,,,,,,,,,5712384,
42966921,42959782,0,False,residential,Riche Avenue,102.158,,,,,,,,,,,5712384,
42967120,42967127,0,False,residential,Prices Lane,132.641,,,,,,,,,,,5712400,
42967120,43002986,0,True,residential,Cannon Avenue,277.177,,,,,,,,,,,5714886,
42967127,42967120,0,False,residential,Prices Lane,132.641,,,,,,,,,,,5712400,
42970111,42957237,0,False,residential,Church Avenue,137.164,,,,,,,,,,,5712545,
42970111,42978084,0,False,secondary,Victory Boulevard,27.237,,,,,,,,,,,420642513,
42970111,42978080,0,False,secondary,Victory Boulevard,119.369,,,,,,,,,,,420642513,
42970116,5475552206,0,False,residential,Church Avenue,89.592,,,,,,,,,,,5712545,
42971219,42971221,0,False,residential,South Avenue,75.938,2,,,,,,,,,,222788181,
42971221,446783200,0,False,residential,Meredith Avenue,131.622,2,,,,,,,,,,5714016,
42971221,42990458,0,False,residential,Meredith Avenue,821.498,2,,,,,,yes,,,,"[5714016, 395180225, 395180224]",
42971221,42971219,0,False,residential,South Avenue,75.938,2,,,,,,,,,,222788181,
42972944,446491358,0,True,residential,Glen Street,92.543,,,,,,,,,,,5716054,
42972944,42972950,0,True,residential,Wild Avenue,216.474,,,,,,,,,,,5712772,
42972950,42978070,0,False,secondary,Victory Boulevard,72.303,,,,,,,,,,,420642513,
42972950,42973998,0,False,secondary,Victory Boulevard,76.725,,,,,,,,,,,420642513,
42972950,42972959,0,True,residential,Wild Avenue,225.623,,,,,,,,,,,5712772,
42972959,43016907,0,False,residential,Pearson Street,44.013,,,,,,,,,,,5717450,
42972959,42972962,0,False,residential,Wild Avenue,50.553,,,,,,,,,,,275382855,
42972962,42972970,0,False,residential,Wild Avenue,11.686,,,,,,,,,,,275382855,
42972962,42972959,0,False,residential,Wild Avenue,50.553,,,,,,,,,,,275382855,
42972962,42973998,0,True,residential,Melvin Avenue,237.347,,,,,,,,,,,569337773,
42972970,42974004,0,False,residential,Melvin Avenue,193.904,,,,,,,,,,,5712827,
42972970,42972975,0,False,residential,Wild Avenue,67.257,,,,,,,,,,,275382855,
42972970,42972962,0,False,residential,Wild Avenue,11.686,,,,,,,,,,,275382855,
42972975,42954028,0,False,residential,Wild Avenue,77.038,,,,,,,,,,,275382853,
42972975,42972970,0,False,residential,Wild Avenue,67.257,,,,,,,,,,,275382855,
42972975,2575883775,0,False,residential,Roswell Avenue,276.172,,,,,,,,,,,"[251359290, 275382854]",
42972984,42954028,0,False,residential,Wild Avenue,75.691,,,,,,,,,,,275382853,
42972984,2575883775,0,False,residential,Beresford Avenue,258.095,,,,,,,,,,,"[5713928, 251359290]",
42972984,42978058,0,False,residential,Beresford Avenue,342.49,,,,,,,,,,,"[5713928, 5713930]",
42972984,42972988,0,False,residential,Wild Avenue,288.456,,,,,,,,,,,275382853,
42972988,446496379,0,False,residential,Wild Avenue,13.233,,,,,,,,,,,275382853,
42972988,446488489,0,True,residential,West Shore Expressway Service Road East,17.668,,,,,,,,,,,5714336,
42972988,42972984,0,False,residential,Wild Avenue,288.456,,,,,,,,,,,275382853,
42972996,42973027,0,True,residential,Wild Avenue,531.435,,,,,,,,,,,38010076,
42972996,42995884,0,True,residential,"['West Shore Expressway West Service Road', 'West Shore Expressway Service Road East']",1978.222,,,,,,,,,,,"[38010192, 5714335, 38010191]",
42973027,42978045,0,False,unclassified,Victory Boulevard,151.35,,,,,,,,,,,5713174,
42973027,446782711,0,False,unclassified,Victory Boulevard,480.942,,,,,,,,,,,"[38028752, 5713174]",
42973987,42972944,0,True,residential,Glen Street,93.375,,,,,,,,,,,5716054,
42973998,42972950,0,False,secondary,Victory Boulevard,76.725,,,,,,,,,,,420642513,
42973998,2800159455,0,False,secondary,Victory Boulevard,77.772,,,,,,,,,,,420642513,
42973998,42973987,0,True,residential,Melvin Avenue,163.966,,,,,,,,,,,5712826,
42974004,42972970,0,False,residential,Melvin Avenue,193.904,,,,,,,,,,,5712827,
42975350,42975353,0,False,residential,Simmons Loop,46.63,,,,,,,,,,,5712965,
42975350,42975371,0,False,residential,Simmons Loop,26.54,,,,,,,,,,,5712967,
42975350,42975364,0,False,residential,Simmons Loop,34.876,,,,,,,,,,,5712967,
42975353,42975350,0,False,residential,Simmons Loop,46.63,,,,,,,,,,,5712965,
42975353,42975362,0,False,residential,Simmons Lane,34.503,,,,,,,,,,,5715899,
42975353,43013051,0,False,residential,Simmons Lane,12.225,,,,,,,,,,,5715899,
42975362,42975364,0,False,residential,Simmons Loop,45.513,,,,,,,,,,,5712966,
42975362,43013056,0,False,residential,Simmons Lane,70.485,,,,,,,,,,,5715899,
42975362,42975353,0,False,residential,Simmons Lane,34.503,,,,,,,,,,,5715899,
42975364,42975367,0,False,residential,Simmons Loop,20.049,,,,,,,,,,,5712966,
42975364,42975362,0,False,residential,Simmons Loop,45.513,,,,,,,,,,,5712966,
42975364,42975350,0,False,residential,Simmons Loop,34.876,,,,,,,,,,,5712967,
42975367,42975364,0,False,residential,Simmons Loop,20.049,,,,,,,,,,,5712966,
42975371,42975350,0,False,residential,Simmons Loop,26.54,,,,,,,,,,,5712967,
42978045,42978048,0,False,unclassified,Victory Boulevard,142.381,,,,,,,,,,,5713174,
42978045,446782821,0,False,residential,Crabbs Lane,94.047,,,,,,,,,,,5714961,
42978045,42973027,0,False,unclassified,Victory Boulevard,151.35,,,,,,,,,,,5713174,
42978048,42978045,0,False,unclassified,Victory Boulevard,142.381,,,,,,,,,,,5713174,
42978048,446782761,0,False,residential,Feldmeyers Lane,133.237,,,,,,,,,,,5713853,
42978048,42978051,0,False,unclassified,Victory Boulevard,183.782,,,,,,,,,,,5713174,
42978051,42945216,0,True,residential,West Shore Expressway West Service Road,101.887,,,,,,,,,,,38010192,
42978051,42978048,0,False,unclassified,Victory Boulevard,183.782,,,,,,,,,,,5713174,
42978051,42978058,0,False,secondary,Victory Boulevard,116.722,,,,,,,yes,,,,"[68665348, 68665061, 420606447]",
42978058,42972984,0,False,residential,Beresford Avenue,342.49,,,,,,,,,,,"[5713928, 5713930]",
42978058,446495657,0,True,residential,Glen Street,139.868,,,,,,,,,,,5716054,
42978058,2800159454,0,False,secondary,Victory Boulevard,65.859,,,,,,,,,,,"[420642513, 420606446, 420606447]",
