u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42423832,42423847,0,True,motorway_link,,48.347,1,,,,,,,,,,"[223694352, 273895447]",
42423836,42446506,0,True,secondary,Galvin Avenue,81.57,,,,,,,,,,,5669227,
42423836,42430669,0,True,unclassified,West 41st Street,177.333,,,,,,,,,,,"[46435657, 46482539]",
42423885,427804196,0,True,unclassified,West 39th Street,99.562,,,,,,,,,,,46432183,
42423885,42446504,0,True,primary,10th Avenue,75.458,,69.6 ft,,25 mph,,,,,,,496986803,
42424789,42434434,0,True,primary,Dyer Avenue,87.362,,,,,,,,,,,46492638,
42424789,42444991,0,True,unclassified,West 40th Street,119.544,,,,,,,,,,,273895450,
42430639,42430643,0,False,primary,11th Avenue,77.855,,,,25 mph,,,yes,,,,46481744,
42430643,42430639,0,False,primary,11th Avenue,77.855,,,,25 mph,,,yes,,,,46481744,
42430643,3270031031,0,True,secondary,West 36th Street,111.721,,,,,,,yes,,,,"[420902585, 5672142]",
42430643,42430646,0,False,primary,11th Avenue,76.798,,,,25 mph,,,yes,,,,"[46481744, 460589632]",
42430646,42430651,0,False,primary,11th Avenue,77.786,,,,,,,,,,,36801165,
42430646,42430643,0,False,primary,11th Avenue,76.798,,,,25 mph,,,yes,,,,"[460589632, 46481744]",
42430651,42430646,0,False,primary,11th Avenue,77.786,,,,,,,,,,,36801165,
42430651,593839894,0,False,primary,11th Avenue,81.121,,,,,,,,,,,36801165,
42430651,42433644,0,True,unclassified,West 38th Street,275.823,,,,,,,yes,,,,"[36806680, 46481740, 46481741]",
42430664,593839894,0,False,primary,11th Avenue,74.877,,,,,,,,,,,420903239,
42430664,427804029,0,True,primary,West 40th Street,111.905,,,,,,,,,,,"[420905200, 5671425]",
42430664,42448996,0,False,primary,West 40th Street,271.457,,,,,,,,,,,5671654,
42430669,42430664,0,True,primary,11th Avenue,80.245,,,,,,,,,,,420903240,
42430669,42453545,0,True,unclassified,West 41st Street,271.86,,,,,,,,,,,46482539,
42430673,42430669,0,True,primary,11th Avenue,85.468,,,,,,,,,,,46139027,
42430673,42437371,0,False,primary,West 42nd Street,275.158,,,,,,,,,,,"[420904620, 68325079]",
42430673,62915549,0,False,primary,West 42nd Street,262.244,,,,,,,,,,,"[169267538, 420904621]",
42430677,62915525,0,True,unclassified,West 43rd Street,237.469,,,,,,,,,,,46435621,
42430677,42430673,0,True,secondary,11th Avenue,85.592,,,,,,,,,,,46525058,
42430680,42430677,0,True,secondary,11th Avenue,78.839,,,,,,,,,,,46525058,
42430680,42430685,0,False,secondary,11th Avenue,79.813,,,,,,,,,,,420894361,
42430680,42443563,0,True,unclassified,West 44th Street,275.062,,,,,,,yes,,,,"[439768851, 439768852, 46482611]",
42430685,62915527,0,True,secondary,West 45th Street,197.348,,,,,,,,,,,46435596,
42430685,42430680,0,False,secondary,11th Avenue,79.813,,,,,,,,,,,420894361,
42430685,42430688,0,False,secondary,11th Avenue,80.209,,,,,,,,,,,420894361,
42430688,42430691,0,False,secondary,11th Avenue,79.273,,,,,,,,,,,420894361,
42430688,42455761,0,True,secondary,West 46th Street,274.302,1,,,,,,yes,,,,"[46482602, 46435602, 46482603]",
42430688,42430685,0,False,secondary,11th Avenue,80.209,,,,,,,,,,,420894361,
42430691,42430688,0,False,secondary,11th Avenue,79.273,,,,,,,,,,,420894361,
42430691,42430694,0,False,secondary,11th Avenue,79.801,,,,,,,,,,,420894361,
42430691,62915531,0,True,residential,West 47th Street,197.568,,,,,,,,,,,46482592,
42430694,42430691,0,False,secondary,11th Avenue,79.801,,,,,,,,,,,420894361,
42430694,42443534,0,True,residential,West 48th Street,274.37,1,,,,,,,,,,5671115,
42430694,42430698,0,False,secondary,11th Avenue,79.457,5,,,,,,,,,,"[420894339, 420894331, 420894357]",
42430698,62915536,0,True,secondary,West 49th Street,198.504,1,,,,,,,,,,46443656,
42430698,42430694,0,False,secondary,11th Avenue,79.457,5,,,,,,,,,,"[420894331, 420894339, 420894357]",
42432594,42432598,0,True,secondary,West 49th Street,273.646,1,,,,,,,,,,46443656,
42432594,42443532,0,True,primary,9th Avenue,79.86,,,,,,,,,,,5671276,
42432598,42430698,0,True,secondary,West 49th Street,273.853,1,,,,,,,,,,46443656,
42432605,42443549,0,True,trunk,12th Avenue,79.94,"['4', '5']",,,,,,,,,,"[421852029, 421852031]",NY 9A
42432703,42432706,0,True,secondary,West 45th Street,273.85,1,,,,,,,,,,46522008,
42432703,42443561,0,True,primary,9th Avenue,79.658,,,,,,,,,,,420907908,
42432706,42455761,0,True,primary,10th Avenue,80.461,,69.6 ft,,25 mph,,,,,,,460585328,
42432706,42430685,0,True,secondary,West 45th Street,274.985,1,,,,,,yes,,,,"[46522008, 46435596, 46482600]",
42433625,4491359481,0,True,primary,9th Avenue,80.564,4,,,,,,,,,,"[525729010, 420901923]",
42433644,42423885,0,True,primary,10th Avenue,80.127,,69.6 ft,,25 mph,,,,,,,496986803,
42433644,42433625,0,True,unclassified,West 38th Street,273.647,,,,,,,yes,,,,"[5670197, 36806680, 36806681, 36806682, 36806683]",
42434429,1533280147,0,True,primary,Dyer Avenue,77.839,3,,,,,,,,,,46492639,
42434429,427842070,0,True,secondary,West 36th Street,25.118,,,,,,,,,,,542256188,
42434434,42434439,0,True,primary,Dyer Avenue,77.933,,,,,,,,,,,273895449,
42434434,42455751,0,True,secondary,West 41st Street,147.094,,,,,,,,,,,"[273895448, 420904617]",
42434439,42437368,0,False,primary,West 42nd Street,125.735,,,,25 mph,yes,,,,,,167922077,
42434439,42437371,0,False,primary,West 42nd Street,148.097,,,,,,,,,,,420904618,
42437368,42434439,0,False,primary,West 42nd Street,125.735,,,,25 mph,yes,,,,,,167922077,
42437368,42445001,0,True,primary,9th Avenue,76.527,4,,,,,,,,,,525729009,
42437371,42434439,0,False,primary,West 42nd Street,148.097,,,,,,,,,,,420904618,
42437371,42454433,0,True,primary,10th Avenue,85.567,,69.6 ft,,25 mph,,,,,,,460585328,
42437371,42430673,0,False,primary,West 42nd Street,275.158,,,,,,,,,,,"[420904620, 68325079]",
42437379,62915549,0,False,primary,West 42nd Street,25.12,,,,,,,,,,,22937242,
42437379,247085867,0,True,trunk,12th Avenue,101.653,3,,,35 mph,,,,,,,118714453,NY 9A
42443532,42445020,0,True,primary,9th Avenue,79.616,,,,,,,,,,,5671276,
42443534,42443532,0,True,residential,West 48th Street,273.744,1,,,,,,,,,,5671115,
42443534,42432598,0,True,primary,10th Avenue,79.911,,69.6 ft,,25 mph,,,,,,,460585328,
42443549,62915516,0,True,residential,West 48th Street,19.486,1,,,,,,,,,,464847784,
42443549,593854257,0,True,trunk,12th Avenue,19.282,4,,,,,,,,,,421852040,NY 9A
42443561,42445011,0,True,primary,9th Avenue,79.375,,,,,,,,,,,420907908,
42443563,42443561,0,True,unclassified,West 44th Street,273.876,,,,,,,,,,,46482609,
42443563,42432706,0,True,primary,10th Avenue,79.633,,69.6 ft,,25 mph,,,,,,,460585328,
42443570,62915509,0,True,unclassified,West 44th Street,20.307,,,,,,,,,,,464847783,
42443570,42453548,0,True,trunk,12th Avenue,83.594,4,,,,,,,,,,505777317,NY 9A
42443975,42433644,0,True,primary,10th Avenue,79.048,,69.6 ft,,25 mph,,,,,,,496986803,
42443975,42430646,0,True,secondary,West 37th Street,275.773,,,,,,,yes,,,,"[46481738, 46481739, 36806679]",
42444960,4954493920,0,True,unclassified,West 35th Street,92.406,,,,,,,,,,,542255948,
