u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42482011,42483514,0,True,tertiary,Hicks Street,80.465,,,,,,,,,,,46835336,
42482011,42482014,0,True,residential,Congress Street,138.213,,,,,,,,,,,183103118,
42482014,42482017,0,True,residential,Congress Street,168.053,,,,,,,,,,,183103118,
42482014,42498628,0,True,residential,Henry Street,31.335,,,,,,,,,,,440633404,
42482017,42502658,0,True,residential,Clinton Street,81.567,,,,,,,,,,,5678784,
42483514,42511349,0,False,residential,Amity Street,137.942,,,,,,,,,,,5679472,
42483527,42482011,0,True,tertiary,Hicks Street,80.407,,,,,,,,,,,46835336,
42483535,42483527,0,True,tertiary,Hicks Street,76.278,,,,,,,,,,,46835336,
42483535,42519250,0,True,residential,Baltic Street,138.32,,,,,,,,,,,5681940,
42483551,42483535,0,True,tertiary,Hicks Street,78.048,,,,,,,,,,,46835336,
42484034,42519250,0,True,residential,Henry Street,78.361,,,,,,,,,,,440633404,
42484034,42483527,0,True,residential,Warren Street,137.121,,,,,,,,,,,5677160,
42484037,42484034,0,True,residential,Warren Street,169.872,,,,,,,,,,,5677160,
42484037,42498630,0,True,residential,Clinton Street,57.768,,,,,,,,,,,5678784,
42488209,42502679,0,True,residential,Kane Street,89.392,,,,,,,,,,,46835349,
42488212,42488209,0,True,residential,Tompkins Place,207.777,,,,,,,,,,,5677560,
42490577,42490579,0,True,residential,Cheever Place,226.1,,,,,,,,,,,5677790,
42490577,42483551,0,True,residential,Kane Street,70.164,,,,,,,,,,,46835349,
42490579,42519258,0,True,residential,Degraw Street,70.488,,,,,,,,,,,5681030,
42498628,42498630,0,False,residential,Verandah Place,168.569,,,,,,,,,,,5678384,
42498628,42484034,0,True,residential,Henry Street,54.994,,,,,,,,,,,440633404,
42498630,42503302,0,False,residential,Verandah Place,113.828,,,,,,,,,,,5678384,
42498630,42498628,0,False,residential,Verandah Place,168.569,,,,,,,,,,,5678384,
42498630,42482017,0,True,residential,Clinton Street,40.36,,,,,,,,,,,5678784,
42502656,42519238,0,True,residential,Pacific Street,167.973,,,,,,,,,,,5682177,
42502658,42502656,0,True,residential,Clinton Street,79.113,,,,,,,,,,,5678784,
42502674,42484037,0,True,residential,Clinton Street,76.202,,,,,,,,,,,5678784,
42502679,42502674,0,True,residential,Clinton Street,77.9,,,,,,,,,,,5678784,
42502679,42513496,0,True,residential,Kane Street,84.529,,,,,,,,,,,46835349,
42502684,42502679,0,True,residential,Clinton Street,212.796,,,,,,,,,,,5678784,
42502684,42488212,0,True,residential,Degraw Street,89.334,,,,,,,,,,,5681030,
42503302,42498630,0,False,residential,Verandah Place,113.828,,,,,,,,,,,5678384,
42511349,42482014,0,True,residential,Henry Street,80.958,,,,,,,,,,,440633404,
42511349,42502658,0,True,residential,Amity Street,168.097,,,,,,,,,,,455690466,
42511349,42483514,0,False,residential,Amity Street,137.942,,,,,,,,,,,5679472,
42513496,42514188,0,True,residential,Kane Street,83.831,,,,,,,,,,,46835349,
42513498,42513496,0,True,residential,Strong Place,217.19,,,,,,,,,,,5679629,
42513498,42502684,0,True,residential,Degraw Street,84.521,,,,,,,,,,,5681030,
42514188,42490577,0,True,residential,Kane Street,68.451,,,,,,,,,,,46835349,
42514188,42519258,0,True,residential,Henry Street,222.343,,,,,,,,,,,440633404,
42519238,42511349,0,True,residential,Henry Street,79.514,,,,,,,,,,,5680167,
42519250,42502674,0,True,residential,Baltic Street,168.483,,,,,,,,,,,5681940,
42519250,42514188,0,True,residential,Henry Street,78.107,,,,,,,,,,,440633404,
42519258,42513498,0,True,residential,Degraw Street,82.163,,,,,,,,,,,5681030,
