osmid,x,y,ref,highway
42424218,-73.9950615,40.7693328,,traffic_signals
42430704,-73.9946355,40.7658858,,traffic_signals
42430707,-73.994173,40.766505,,traffic_signals
42430713,-73.9937222,40.7671047,,traffic_signals
42430722,-73.9932635,40.7677405,,traffic_signals
42430736,-73.9927954,40.7683937,,traffic_signals
42430739,-73.9923444,40.7690142,,traffic_signals
42430742,-73.9918904,40.7696438,,traffic_signals
42430745,-73.991402,40.7703191,,traffic_signals
42430747,-73.9909131,40.7709763,,traffic_signals
42431560,-73.9862074,40.7672471,,traffic_signals
42431563,-73.9890489,40.7684455,,traffic_signals
42440163,-73.9889429,40.7634901,,traffic_signals
42440170,-73.9917852,40.7646863,,traffic_signals
42440253,-73.9968838,40.7668263,,traffic_signals
42440960,-73.9866698,40.76661,,traffic_signals
42440966,-73.9894995,40.7678249,,traffic_signals
42440973,-73.9947719,40.7699966,,traffic_signals
42445025,-73.9884895,40.7641124,,traffic_signals
42445027,-73.9880307,40.7647492,,traffic_signals
42445033,-73.9871254,40.7659937,,traffic_signals
42445037,-73.9857183,40.767916,,traffic_signals
42445039,-73.9852319,40.7685835,,traffic_signals
42446363,-73.9908872,40.7659147,,traffic_signals
42446386,-73.9959552,40.7680419,,traffic_signals
42449550,-73.9904253,40.766548,,traffic_signals
42450341,-73.9880829,40.7697689,,traffic_signals
42450352,-73.9936601,40.7721604,,
42450434,-73.9899624,40.7671828,,traffic_signals
42453564,-73.9964298,40.7674288,,traffic_signals
42454042,-73.9913292,40.7653085,,traffic_signals
42455643,-73.988561,40.7691175,,traffic_signals
61271722,-73.9942173,40.7715086,,traffic_signals
61272997,-73.9942298,40.7719296,,motorway_junction
61273001,-73.9946653,40.7708053,,traffic_signals
61273004,-73.994406,40.7707138,,traffic_signals
61275380,-73.9945289,40.7699313,,traffic_signals
61275600,-73.9957765,40.7679669,,traffic_signals
61275601,-73.9962298,40.7673464,,traffic_signals
61275605,-73.9948535,40.7692528,,traffic_signals
62915521,-73.9966648,40.7667398,,traffic_signals
247120300,-73.9947945,40.7693529,,
247120348,-73.9949325,40.770032,,traffic_signals
247123611,-73.9943576,40.7698656,,traffic_signals
247123612,-73.9942154,40.770639,,traffic_signals
247123615,-73.9937554,40.7713252,,
247124101,-73.9947172,40.771394,,
1815133244,-73.9875746,40.7653667,,traffic_signals
4997760681,-73.9824324,40.7676282,,
4997760682,-73.9825899,40.7676922,,
4997760683,-73.9824287,40.7676424,,
4997760684,-73.9825792,40.7677072,,
4997760685,-73.9824281,40.7676607,,
4997760686,-73.9824143,40.7676725,,
4997760687,-73.9824305,40.7676813,,
4997760688,-73.9824425,40.7676699,,
