osmid,x,y,ref,highway
42788005,-73.858229,40.7596814,,
42788008,-73.8578588,40.758087,,traffic_signals
42788904,-73.8979622,40.754242,,
42791253,-73.859769,40.7606571,,
42792794,-73.8592494,40.7600806,,traffic_signals
42794539,-73.8737793,40.7707383,,
42795952,-73.8891819,40.7660954,,
42795971,-73.8938728,40.7660527,,
42799170,-73.9012563,40.7596331,,traffic_signals
42803880,-73.891911,40.765711,,traffic_signals
42809781,-73.863175,40.759778,,
42809784,-73.862807,40.757759,,traffic_signals
42810169,-73.866245,40.766722,,
42810171,-73.866026,40.766496,,
42810174,-73.8648593,40.7652901,,
42810177,-73.863401,40.7637486,,
42810181,-73.8620369,40.7623729,,
42811320,-73.8703607,40.762244,,traffic_signals
42811323,-73.8694525,40.7627244,,
42811327,-73.8692356,40.7628701,,
42811330,-73.8685169,40.7632735,,
42811333,-73.8677842,40.7636768,,
42811336,-73.8670574,40.7640786,,
42811340,-73.8663227,40.7644895,,
42811345,-73.8656,40.7648823,,
42811352,-73.8641047,40.7657434,,
42814145,-73.873336,40.763126,,
42814151,-73.8724159,40.7620045,,
42814153,-73.872069,40.7607025,,traffic_signals
42814156,-73.871897,40.759956,,
42814161,-73.871656,40.758886,,traffic_signals
42814251,-73.8734275,40.7684829,,
42814255,-73.873014,40.766352,,
42814259,-73.872684,40.764532,,
42814264,-73.8723334,40.7625915,,traffic_signals
42818324,-73.891674,40.76439,,
42818327,-73.890758,40.764487,,
42818332,-73.889853,40.764581,,
42818337,-73.8889259,40.7646851,,
42818350,-73.888009,40.7647716,,
42818368,-73.884271,40.765167,,
42818371,-73.883344,40.765265,,
42818374,-73.882413,40.765362,,
42818381,-73.881484,40.76546,,
42818397,-73.8787316,40.7657592,,
42818402,-73.8777748,40.7658597,,
42818407,-73.876832,40.765947,,
42818416,-73.875865,40.766052,,traffic_signals
42818418,-73.875534,40.766088,,
42818420,-73.8747984,40.7661625,,
42818424,-73.87391,40.766257,,
42818430,-73.8721069,40.766452,,
42818435,-73.871192,40.766542,,
42818437,-73.870173,40.766647,,
42818441,-73.869596,40.766708,,
42818445,-73.869228,40.766747,,
42818448,-73.8685724,40.7668119,,
42818454,-73.868299,40.766873,,
42818456,-73.8673657,40.7668016,,turning_circle
42827808,-73.891609,40.758646,,
42827811,-73.891333,40.757096,,traffic_signals
42827975,-73.8923088,40.7624607,,
42827977,-73.891975,40.760631,,
42828923,-73.8695405,40.7631728,,
42828928,-73.8683704,40.7619073,,traffic_signals
42829798,-73.856948,40.7603948,,
42832376,-73.8667544,40.7661003,,
42832381,-73.8640926,40.7633391,,
42832386,-73.86277,40.7619611,,
42835569,-73.898926,40.756299,,traffic_signals
42835573,-73.89791,40.756405,,traffic_signals
42835576,-73.896908,40.756511,,traffic_signals
42835580,-73.8959757,40.7566061,,traffic_signals
42835583,-73.8950501,40.7567005,,
42835588,-73.894124,40.756795,,traffic_signals
42835590,-73.893188,40.756898,,traffic_signals
42835593,-73.892261,40.75699,,traffic_signals
42835597,-73.890403,40.757193,,traffic_signals
42835602,-73.889472,40.757293,,traffic_signals
42835606,-73.888544,40.757388,,traffic_signals
42835611,-73.8876019,40.7574862,,traffic_signals
42835614,-73.886685,40.757586,,traffic_signals
42835618,-73.885753,40.757684,,traffic_signals
42835623,-73.884824,40.75778,,traffic_signals
42835627,-73.883897,40.757877,,traffic_signals
42835633,-73.882964,40.757976,,traffic_signals
42835637,-73.882035,40.758074,,
42835641,-73.881104,40.758171,,traffic_signals
42835647,-73.8792451,40.758364,,traffic_signals
42835663,-73.875532,40.7586623,,
42835666,-73.8745132,40.7586107,,traffic_signals
42835668,-73.873448,40.758695,,
42835671,-73.872552,40.758792,,
42835675,-73.870747,40.758983,,traffic_signals
42835678,-73.869839,40.759077,,traffic_signals
42835681,-73.868818,40.759184,,
42835684,-73.867801,40.759291,,
42835688,-73.866906,40.759385,,
42835690,-73.8660073,40.759483,,
42835693,-73.864963,40.759588,,
42835696,-73.864068,40.759683,,
42835703,-73.8622796,40.759868,,
42835707,-73.8613915,40.7599613,,
42838521,-73.8785365,40.7700687,,
42838552,-73.876738,40.76021,,traffic_signals
42838557,-73.876992,40.761621,,
42838561,-73.8773412,40.7634229,,traffic_signals
42838565,-73.87743,40.764031,,
42838570,-73.8781555,40.7679905,,
42839056,-73.895085,40.762161,,
42839058,-73.894759,40.760338,,
42839062,-73.894402,40.758353,,traffic_signals
42842354,-73.879684,40.7638161,,
42842355,-73.8788249,40.7638942,,
42842360,-73.8784006,40.7639286,,
42842364,-73.8765,40.764129,,
42842366,-73.875535,40.764231,,traffic_signals
42842368,-73.8744755,40.764342,,
42842371,-73.873576,40.764436,,
42842376,-73.871773,40.764625,,
42842382,-73.870862,40.764721,,
42842387,-73.869846,40.764827,,
42842390,-73.868982,40.764913,,
42842393,-73.868215,40.76528,,
42842400,-73.867492,40.765688,,
42842543,-73.8970357,40.7620021,,
42842547,-73.896024,40.762062,,
42842554,-73.8932515,40.762361,,
42842559,-73.8913818,40.7625668,,traffic_signals
42842564,-73.8904489,40.7626688,,traffic_signals
42842569,-73.889519,40.762759,,
42842573,-73.8885936,40.7628666,,traffic_signals
42842575,-73.8876653,40.7629636,,
42842580,-73.8867314,40.7630618,,traffic_signals
42842586,-73.885801,40.763153,,
42842590,-73.884869,40.763249,,
42842593,-73.883941,40.763347,,
42842596,-73.883011,40.763444,,
42842601,-73.882082,40.763546,,
42842605,-73.881148,40.763628,,
42842609,-73.8800956,40.7638947,,
42846142,-73.891054,40.760728,,traffic_signals
42846147,-73.890691,40.758744,,traffic_signals
42846314,-73.876014,40.769848,,
42846322,-73.8762629,40.7681811,,traffic_signals
42846325,-73.8761712,40.7676922,,
42846331,-73.875342,40.7630938,,traffic_signals
42846335,-73.874996,40.761264,,traffic_signals
42846339,-73.874841,40.760411,,traffic_signals
42846343,-73.8745863,40.7590105,,
42846838,-73.897553,40.760044,,
42846839,-73.897191,40.75806,,
42849138,-73.8890333,40.7652637,,traffic_signals
42850850,-73.8831801,40.7644225,,
42850855,-73.882677,40.761608,,
42850860,-73.882316,40.759624,,
42850989,-73.8836796,40.7671036,,
42855092,-73.8662728,40.7621227,,
42855095,-73.8655626,40.7625327,,
42855098,-73.8648206,40.7629359,,
42855102,-73.8626134,40.7641941,,
42856651,-73.8992236,40.7578467,,traffic_signals
42856653,-73.8982022,40.7579557,,
42856656,-73.896262,40.758159,,
42856659,-73.895336,40.758255,,
42856663,-73.893473,40.758451,,
42856667,-73.892528,40.75855,,traffic_signals
42856673,-73.88975,40.758841,,
42856675,-73.888823,40.758937,,traffic_signals
42856679,-73.8878875,40.7590376,,traffic_signals
42856685,-73.886965,40.759133,,
42856691,-73.886036,40.759233,,traffic_signals
42856695,-73.885106,40.75933,,traffic_signals
42856700,-73.884176,40.759427,,
42856702,-73.883245,40.759526,,traffic_signals
42856707,-73.881386,40.759722,,
42856708,-73.880459,40.759819,,
42856709,-73.879527,40.759917,,traffic_signals
42856713,-73.878596,40.760014,,traffic_signals
42856715,-73.8776444,40.7601165,,traffic_signals
42856720,-73.875807,40.760308,,
42856722,-73.873779,40.760521,,
42856725,-73.872884,40.760615,,traffic_signals
42856729,-73.871076,40.760806,,traffic_signals
42856733,-73.870168,40.760901,,traffic_signals
42856736,-73.86915,40.761008,,
42856741,-73.868131,40.761115,,traffic_signals
42856744,-73.8672308,40.7612191,,traffic_signals
42856747,-73.8663491,40.7612874,,
42856792,-73.8642044,40.7611959,,traffic_signals
42856794,-73.8635018,40.7615636,,
42856797,-73.8631689,40.7617407,,
42856800,-73.8624486,40.7621439,,
42856804,-73.8615617,40.7626472,,
42858141,-73.858889,40.7579,,traffic_signals
42858888,-73.8736409,40.7567918,,traffic_signals
42859196,-73.8864217,40.7665584,,
42859205,-73.885468,40.761315,,
42862310,-73.8984386,40.7599479,,traffic_signals
42863657,-73.8611348,40.7607783,,
42864001,-73.863715,40.757726,,traffic_signals
42864770,-73.8882529,40.7610224,,traffic_signals
42866074,-73.895693,40.760239,,
42869653,-73.8742943,40.7683903,,
42869664,-73.8732839,40.7627425,,traffic_signals
42869669,-73.872937,40.760908,,
42869676,-73.87271,40.759658,,
42869692,-73.872219,40.756943,,traffic_signals
42873544,-73.873566,40.759358,,
42874168,-73.896623,40.760141,,
42874175,-73.893829,40.760435,,
42874179,-73.8928868,40.7605353,,traffic_signals
42874183,-73.890113,40.760827,,
42874186,-73.889186,40.760923,,traffic_signals
42874190,-73.887327,40.761118,,
42874192,-73.886397,40.761216,,traffic_signals
42874196,-73.884536,40.761414,,
42874198,-73.883607,40.761511,,traffic_signals
42874199,-73.881748,40.761705,,
42874200,-73.880818,40.761807,,traffic_signals
42874201,-73.8799073,40.7619059,,
42874203,-73.878954,40.761984,,
42874205,-73.8779579,40.7618026,,
42874207,-73.876014,40.761444,,
42874212,-73.873878,40.761064,,
42874544,-73.8605174,40.7614366,,
42874557,-73.8802857,40.7693923,,
42874560,-73.8775935,40.7701672,,
42874572,-73.8755843,40.7704521,,
42874935,-73.8609951,40.75782,,traffic_signals
42877708,-73.8882964,40.7662776,,
42877719,-73.8846092,40.7670444,,
42877727,-73.8827948,40.7673659,,
42877735,-73.8809689,40.7676773,,
42877740,-73.8799975,40.767795,,
42877743,-73.879089,40.7678846,,
42877749,-73.8772269,40.7680812,,
42877755,-73.8751913,40.768296,,
42877758,-73.8725021,40.7685727,,
42877759,-73.8716049,40.7686709,,
42877760,-73.8705604,40.7687794,,
42879004,-73.8763348,40.7632519,,
42879009,-73.8751484,40.7566848,,traffic_signals
42879385,-73.871128,40.766201,,
42880951,-73.8570863,40.7593997,,
42880954,-73.8569995,40.7581984,,
42881044,-73.8789987,40.7647933,,
42881046,-73.8783047,40.7648532,,turning_circle
42881978,-73.8909022,40.76525,,turning_circle
42882916,-73.8788652,40.763675,,
