u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42945249,42945830,0,True,motorway,Korean War Veterans Parkway,563.948,2,,,"['30 mph', '40 mph']",,,,,,,"[248339393, 413780259]",KWVP
42945813,60648354,0,True,motorway_link,,305.34,"['1', '2']",,,35 mph,,,,,,,"[420402041, 32056646]",
42945830,60648349,0,True,motorway_link,,368.517,1,,,30 mph,,,,,,,8095056,
42945830,60648333,0,True,motorway,Korean War Veterans Parkway,338.738,2,,,30 mph,,,,,,,"[248339393, 420402149]",KWVP
42946830,42945249,0,True,motorway_link,,364.276,,,,,,,,,,,5710971,
42946830,43018238,0,True,secondary,Drumgoole Road East,93.957,,,,30 mph,,,,,,,5716512,
42946903,42951887,0,False,residential,Ridgewood Avenue,143.639,,,,,,,,,,,5715617,
42946903,43005196,0,False,tertiary,Arthur Kill Road,83.721,2,,,30 mph,,,,,,,222788019,
42948137,42975985,0,False,tertiary,Arden Avenue,74.648,,,,,,,,,,,5716389,
42948137,42984522,0,False,tertiary,Arden Avenue,77.957,,,,,,,,,,,5716389,
42948137,42948141,0,False,residential,Sycamore Street,80.944,,,,,,,,,,,33874612,
42948141,42948143,0,False,residential,Sycamore Street,82.619,,,,,,,,,,,33874612,
42948141,42948137,0,False,residential,Sycamore Street,80.944,,,,,,,,,,,33874612,
42948141,42996395,0,False,residential,Seidman Avenue,273.505,,,,,,,,,,,331767407,
42948141,42985734,0,False,residential,Seidman Avenue,237.874,,,,,,,,,,,331767407,
42948143,42984587,0,False,residential,Woods of Arden Road,82.706,,,,,,,,,,,5717021,
42948143,43006970,0,False,residential,Woods of Arden Road,82.154,,,,,,,,,,,5717021,
42948143,42948146,0,False,residential,Sycamore Street,189.266,,,,,,,,,,,33874612,
42948143,42948141,0,False,residential,Sycamore Street,82.619,,,,,,,,,,,33874612,
42948146,43006968,0,False,residential,Preston Avenue,82.421,,,,,,,,,,,5715533,
42948146,42984584,0,False,residential,Preston Avenue,82.84,,,,,,,,,,,5715533,
42948146,42948149,0,False,residential,Sycamore Street,82.005,,,,,,,,,,,33874612,
42948146,42948143,0,False,residential,Sycamore Street,189.266,,,,,,,,,,,33874612,
42948149,42948152,0,False,residential,Sycamore Street,79.253,,,,,,,,,,,33874612,
42948149,42948146,0,False,residential,Sycamore Street,82.005,,,,,,,,,,,33874612,
42948149,42985717,0,False,residential,Retford Avenue,233.834,,,,,,,,,,,260816046,
42948149,43016790,0,False,residential,Retford Avenue,225.576,,,,,,,,,,,260816046,
42948152,43013896,0,False,residential,Lyndale Avenue,219.484,,,,,,,,,,,5716009,
42948152,42985715,0,False,residential,Lyndale Avenue,225.761,,,,,,,,,,,5716009,
42948152,42948158,0,False,residential,Sycamore Street,79.386,,,,,,,,,,,33874612,
42948152,42948149,0,False,residential,Sycamore Street,79.253,,,,,,,,,,,33874612,
42948158,42948160,0,False,residential,Sycamore Street,94.473,,,,,,,,,,,33874612,
