osmid,x,y,ref,highway
42421941,-74.008789,40.704211,,traffic_signals
42421946,-74.008325,40.703813,,
42421951,-74.0077787,40.7033242,,traffic_signals
42421960,-74.0089636,40.7040838,,traffic_signals
42421965,-74.0079887,40.7031983,,traffic_signals
42422038,-74.011674,40.709687,,traffic_signals
42422042,-74.010542,40.709154,,traffic_signals
42422050,-74.009371,40.708614,,
42422053,-74.008269,40.707722,,
42422056,-74.007459,40.707219,,
42422270,-74.002383,40.7064526,2,motorway_junction
42422283,-74.001657,40.7094916,,traffic_signals
42424521,-74.0142358,40.706675,,
42426747,-74.0128371,40.7024415,,traffic_signals
42427236,-74.0058474,40.7116883,,
42427242,-74.0042501,40.710185,,traffic_signals
42427249,-74.0064696,40.706993,,
42427251,-74.005691,40.706375,,
42427254,-74.0052181,40.7059869,,
42427256,-74.0044746,40.7054111,,
42427956,-74.009424,40.7045078,,
42428345,-74.0142203,40.7046327,,traffic_signals
42428365,-74.0132406,40.7058713,,traffic_signals
42428368,-74.011947,40.707452,,traffic_signals
42428371,-74.011248,40.708304,,traffic_signals
42428373,-74.0110147,40.708592,,
42428374,-74.010846,40.708797,,traffic_signals
42428376,-74.009988,40.709806,,traffic_signals
42428377,-74.009543,40.710327,,
42428379,-74.009474,40.710413,,traffic_signals
42428385,-74.009063,40.710887,,traffic_signals
42428391,-74.0086338,40.7113899,,traffic_signals
42428524,-74.013192,40.7040587,,
42428529,-74.0133173,40.705045,,stop
42429353,-74.005951,40.707205,,
42429354,-74.0068357,40.707855,,
42429362,-74.0076525,40.7083571,,
42429504,-74.009016,40.705313,,stop
42429507,-74.0090528,40.7055418,,
42429838,-74.010201,40.707694,,
42429840,-74.008996,40.706953,,
42429842,-74.007452,40.706051,,
42429844,-74.006766,40.705624,,traffic_signals
42430848,-74.0051183,40.7094091,,stop
42431868,-74.0115503,40.7049909,,traffic_signals
42431875,-74.011569,40.704249,,
42431877,-74.011576,40.7040261,,traffic_signals
42431889,-74.0115825,40.7035187,,traffic_signals
42431898,-74.0115091,40.7029687,,traffic_signals
42431902,-74.0111561,40.7017938,,
42432679,-74.009866,40.705797,,
42433205,-74.0020192,40.7082119,,
42433212,-74.0016829,40.7077587,,
42433218,-74.0013073,40.7072755,,
42433229,-74.002503,40.708846,,traffic_signals
42433231,-74.0018952,40.7082735,,
42433237,-74.0014687,40.7078766,,
42433243,-74.001017,40.7074385,,
42433330,-74.006021,40.707905,,
42433834,-74.0122143,40.7027392,,
42434401,-74.0136959,40.7099727,,
42434410,-74.009829,40.708117,,
42434412,-74.011935,40.709306,,traffic_signals
42434413,-74.012839,40.70971,,
42434418,-74.00713,40.706375,,
42434420,-74.0086352,40.7073347,,
42436178,-74.0139687,40.7070863,,
42436181,-74.0135999,40.7079832,,traffic_signals
42436184,-74.0132592,40.7087418,,
42436187,-74.0130785,40.7091587,,traffic_signals
42436192,-74.012992,40.709354,,
42436202,-74.0143097,40.7062925,,
42437396,-74.0147291,40.7098267,,traffic_signals
42437536,-74.009984,40.705148,,stop
42438155,-74.0111931,40.710369,,traffic_signals
42438471,-74.0004737,40.7083535,,
42438476,-74.0001127,40.707892,,traffic_signals
42440270,-74.0040852,40.7074467,,traffic_signals
42440280,-74.0054738,40.709095,,traffic_signals
42440282,-74.006435,40.709557,,traffic_signals
42440287,-74.007745,40.710221,,traffic_signals
42440290,-74.010465,40.711535,,traffic_signals
42440335,-74.008418,40.70953,,
42440343,-74.0072883,40.7087143,,
42440345,-74.006531,40.708227,,
42440347,-74.005482,40.707387,,
42440350,-74.0050009,40.7068535,,traffic_signals
42440353,-74.004558,40.706407,,
42440356,-74.0038616,40.7057934,,
42442107,-74.008007,40.705447,,
42443844,-74.0069661,40.7117008,,traffic_signals
42444223,-74.0070607,40.7037691,,traffic_signals
42444230,-74.0062889,40.7042568,,traffic_signals
42444242,-74.0047522,40.7052372,,
42444271,-74.0034584,40.7080617,,traffic_signals
42444353,-74.0144384,40.7031516,,traffic_signals
42444355,-74.0130041,40.7031174,,crossing
42444360,-74.01257,40.703207,,
42444414,-74.007949,40.705547,,stop
42444424,-74.006781,40.706724,,traffic_signals
42444479,-74.0144036,40.7036143,,traffic_signals
42444480,-74.013114,40.703588,,crossing
42446622,-74.0129583,40.7077766,,traffic_signals
42446632,-74.0143778,40.7082321,,
42446640,-74.0151971,40.7084945,,
42448469,-74.003624,40.710952,,traffic_signals
42448483,-74.0033934,40.7108105,,
42448578,-74.009502,40.706379,,
42448583,-74.0080159,40.7079881,,
42448593,-74.005599,40.710397,,traffic_signals
42451370,-74.0159533,40.706677,,traffic_signals
42452310,-74.0140487,40.7090879,,
42452314,-74.0148642,40.7094458,,
42452620,-74.002744,40.707216,,
42452630,-74.007671,40.704285,,
42452700,-74.0069496,40.7048017,,
42452708,-74.0055072,40.705794,,traffic_signals
42452994,-74.0150993,40.7064386,,
42453792,-74.0009198,40.7090515,,
42453902,-74.007392,40.705183,,traffic_signals
42453934,-74.0107608,40.7110079,,traffic_signals
42454795,-74.008893,40.709044,,
42454798,-74.0060157,40.706146,,traffic_signals
42456297,-74.0135459,40.7069158,,traffic_signals
42456492,-74.006478,40.711231,,stop
42456888,-74.0120828,40.7090696,,traffic_signals
42457292,-74.003108,40.707671,,
42457311,-74.004827,40.70966,,traffic_signals
42459820,-74.0039392,40.7104485,,
205019740,-74.0016181,40.7070051,,
205020852,-74.0095878,40.7020107,1,motorway_junction
246909446,-74.0146369,40.7061126,,
246911576,-74.0158047,40.7070531,,
246913431,-74.0155122,40.7077008,,traffic_signals
278608420,-74.0000372,40.7080905,,motorway_junction
278608718,-74.0001685,40.708574,,
278609760,-73.9994458,40.708299,,
278609934,-74.0015481,40.7096039,,traffic_signals
278642478,-74.0036798,40.7109282,,
279151954,-74.0137608,40.7024037,,traffic_signals
370880739,-74.0120124,40.7016074,,
370880758,-74.0077898,40.703049,,
370880761,-74.0090399,40.7024287,1,motorway_junction
486819531,-74.0034826,40.7112711,,
588545728,-74.0078702,40.71148,,
588546798,-74.0149772,40.7048267,,traffic_signals
588546882,-74.0156376,40.7049447,,traffic_signals
588546891,-74.0142449,40.7045237,,crossing
588593059,-74.0156972,40.7073071,,traffic_signals
607911351,-74.0139629,40.7016179,,
673008453,-74.0047736,40.7084063,,
1251958257,-74.0088781,40.7048603,,
1272562931,-74.0060393,40.7119161,,traffic_signals
1431790464,-74.0119706,40.7120811,,
1506902240,-74.0121348,40.7089925,,traffic_signals
1538237248,-74.006076,40.7099178,,stop
1538237434,-74.0073842,40.7105761,,stop
1772136810,-74.0156504,40.7048371,,
2821304143,-74.0070496,40.7117884,,traffic_signals
2821304145,-74.0060876,40.7120267,,traffic_signals
2821304146,-74.0056926,40.7121302,,
2824895141,-74.0088308,40.7060194,,
3350498747,-74.0023124,40.7066963,,
3574612293,-74.0149206,40.7072065,,
3574648567,-74.0151119,40.705734,,
3772840882,-74.0138882,40.7095053,,stop
3790255302,-74.0107988,40.7018767,,
3914862593,-74.0150062,40.7047334,,
4015192929,-74.0043276,40.707836,,
4145735059,-74.0098577,40.7019257,,
4149936235,-74.0135064,40.7069636,,traffic_signals
4149936245,-74.0139447,40.7071446,,
4150144210,-74.0153091,40.7006708,,
4150144226,-74.0150973,40.7007103,,
4158673495,-74.0031167,40.7106422,,
4158740807,-74.0037065,40.7114505,,
4158752889,-74.0007273,40.7090735,,
4158752891,-74.0005951,40.7091641,,
5008036123,-74.0097468,40.7104365,,
5008036124,-74.0097577,40.7104182,,
5008036125,-74.0097872,40.7104318,,
5008036126,-74.0097724,40.7104462,,
5008036129,-74.009147,40.7103701,,
5008036130,-74.0091584,40.7103554,,
5008036131,-74.009182,40.7103671,,
5008036132,-74.0091704,40.7103812,,
5008036133,-74.0090282,40.7104961,,
5008036134,-74.0091931,40.7104631,,
5008036135,-74.0086858,40.7105516,,
5008036136,-74.0088539,40.710518,,
5008036137,-74.0089386,40.71052,,
5008036138,-74.008979,40.7106498,,
5008036381,-74.0070774,40.7088952,,
