u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42787364,42787365,0,False,residential,136th Street,247.053,,,,,,,,,,,5699901,
42787364,42828879,0,True,residential,Elder Avenue,92.903,,,,,,,,,,,5702497,
42787365,42910842,0,False,tertiary,Booth Memorial Avenue,84.215,,,,,,,,,,,5710062,
42787365,42857836,0,False,tertiary,Booth Memorial Avenue,84.995,,,,,,,,,,,5710062,
42787365,42787364,0,False,residential,136th Street,247.053,,,,,,,,,,,5699901,
42787368,42901922,0,True,residential,57th Avenue,170.632,,,,,,,,,,,5710242,
42787368,42787365,0,True,residential,136th Street,27.491,,,,,,,,,,,276141238,
42787371,42787368,0,True,residential,136th Street,80.443,,,,,,,,,,,276141238,
42787371,42821434,0,True,residential,57th Road,170.168,,,,,,,,,,,552471238,
42787375,42815570,0,True,residential,58th Avenue,170.224,,,,,,,,,,,5701698,
42787375,42787371,0,True,residential,136th Street,79.306,,,,,,,,,,,276141238,
42787380,42787375,0,True,residential,136th Street,78.568,,,,,,,,,,,276141238,
42787380,42868315,0,True,residential,58th Road,170.24,,,,,,,,,,,276152026,
42787384,42838942,0,True,residential,59th Avenue,340.845,,,,,,,,,,,5703075,
42787384,42787380,0,True,residential,136th Street,77.124,,,,,,,,,,,276141238,
42787388,42858248,0,True,residential,60th Avenue,170.16,,,,,,,,,,,5704239,
42787388,42787384,0,True,residential,136th Street,76.032,,,,,,,,,,,276141238,
42787391,42787388,0,True,residential,136th Street,47.877,,,,,,,,,,,276141238,
42787391,42889045,0,True,secondary,Horace Harding Expressway,340.015,,,,,,,,,,,219916423,
42789023,274308309,0,True,secondary,Whitestone Expressway North Service Road,26.99,,,,,,,,,,,5702218,
42789023,42868119,0,False,residential,Farrington Street,158.68,,,,,,,,,,,5707556,
42789026,42868124,0,False,secondary,Linden Place,191.403,,,,,,,,,,,219965897,
42789026,274188553,0,True,secondary,Whitestone Expressway North Service Road,156.527,,,,,,,,,,,220457565,
42789033,274188580,0,True,secondary,Whitestone Expressway North Service Road,32.097,,,,,,,,,,,219967687,
42789037,42842144,0,False,residential,28th Road,92.132,,,,,,,,,,,5703206,
42789037,42824982,0,True,secondary,Whitestone Expressway Service Road North,266.095,2,,,,,,,,,,420904918,
42791440,274309665,0,True,secondary,Whitestone Expressway North Service Road,55.259,,,,,,,,,,,5702218,
42791440,42868112,0,False,residential,Ulmer Street,76.113,,,,,,,,,,,5706616,
42795383,42806441,0,False,residential,Downing Street,37.204,,,,,,,,,,,5701101,
42795383,42791440,0,True,secondary,Whitestone Expressway North Service Road,71.674,,,,,,,,,,,5702218,
42795386,42835738,0,False,residential,Higgins Street,164.763,,,,,,,,,,,5704782,
42795386,42795383,0,True,secondary,Whitestone Expressway,94.97,,,,,,,,,,,587038077,
42795391,42835730,0,False,tertiary,32nd Avenue,32.207,,,,,,,,,,,25163329,
42795391,42835738,0,False,tertiary,32nd Avenue,115.354,,,,30 mph,,,,,,,183103766,
42795391,274321878,0,True,secondary,Whitestone Expressway,103.112,,,,,,,,,,,5700317,
42795391,2904303112,0,False,secondary_link,,67.502,,,,,,,,,,,286758892,
42795397,42795391,0,True,secondary,Whitestone Expressway,42.885,,,,,,,,,,,5700317,
42795397,42881560,0,False,secondary,College Point Boulevard,47.731,2,,,30 mph,,,,,,,420904619,
42795397,42835730,0,False,secondary,College Point Boulevard,44.46,2,,,30 mph,,,,,,,420904619,
42795848,42920204,0,False,residential,40th Road,275.863,,,,,,,,,,,5708608,
42799854,42811570,0,False,residential,160th Street,191.852,,,,,,,,,,,5701420,
42799854,42857647,0,True,secondary,Horace Harding Expressway,81.541,,,,,,,,,,,219972311,
42804638,42909471,0,True,residential,Lawrence Street,50.88,,,,,,,,,,,5707726,
42804638,5334046175,0,False,tertiary,North Hempstead Avenue,15.305,,,,,,,,,,,226504908,
42804638,42804639,0,False,tertiary,North Hempstead Avenue,144.614,,,,,,,,,,,226504909,
42804639,42812261,0,False,tertiary,North Hempstead Avenue,29.6,,,,,,,,,,,5701467,
42804639,42804638,0,False,tertiary,North Hempstead Avenue,144.614,,,,,,,,,,,226504909,
42806437,42806438,0,False,residential,Downing Street,28.497,,,,,,,,,,,5701101,
42806438,42806439,0,False,residential,Downing Street,103.883,,,,,,,,,,,5701101,
42806438,42806437,0,False,residential,Downing Street,28.497,,,,,,,,,,,5701101,
42806438,42881560,0,False,residential,33rd Avenue,188.579,,,,,,,,,,,5705752,
42806439,42806441,0,False,residential,Downing Street,183.028,,,,,,,,,,,5701101,
42806439,42806438,0,False,residential,Downing Street,103.883,,,,,,,,,,,5701101,
42806439,42835749,0,False,tertiary,32nd Avenue,100.632,,,,30 mph,,,,,,,183103766,
42806439,42835738,0,False,tertiary,32nd Avenue,77.488,,,,30 mph,,,,,,,183103766,
42806441,42795383,0,False,residential,Downing Street,37.204,,,,,,,,,,,5701101,
