osmid,x,y,ref,highway
42460722,-73.92487,40.591881,,
42460723,-73.925931,40.592842,,
42460725,-73.927,40.593801,,
42460729,-73.928067,40.594761,,
42460737,-73.929134,40.595719,,
42460740,-73.9302,40.596676,,
42466541,-73.925419,40.586197,,
42466554,-73.924878,40.586549,,
42466557,-73.92446,40.586814,,
42466561,-73.924164,40.587012,,
42466564,-73.923858,40.587209,,
42466573,-73.92356,40.587401,,
42466579,-73.923218,40.587624,,
42466586,-73.922875,40.587846,,
42466588,-73.922573,40.588043,,
42466591,-73.92227,40.588239,,
42466593,-73.921971,40.588434,,
42466596,-73.921668,40.588628,,
42466598,-73.921364,40.588827,,
42466608,-73.932431,40.595238,,
42466615,-73.927089,40.590446,,
42466617,-73.928157,40.591405,,
42466621,-73.929224,40.592363,,
42466625,-73.9297607,40.5928413,,
42467121,-73.927833,40.589965,,
42467123,-73.928897,40.590929,,
42467127,-73.929964,40.591883,,
42467135,-73.930105,40.592007,,
42468870,-73.92754,40.588494,,
42468883,-73.92675,40.588996,,
42468884,-73.926445,40.58919,,
42468886,-73.92614,40.589387,,
42468889,-73.925844,40.589579,,
42468891,-73.925543,40.589775,,
42468893,-73.925239,40.589975,,
42468896,-73.924938,40.590167,,
42468898,-73.924639,40.590365,,
42468901,-73.924337,40.590559,,
42468903,-73.924031,40.590755,,
42468906,-73.9237322,40.590948,,
42469098,-73.926514,40.587134,,
42469103,-73.925942,40.587505,,
42469105,-73.924281,40.58858,,
42471927,-73.926193,40.590191,,
42471929,-73.926382,40.590364,,
42471932,-73.926727,40.590682,,
42471982,-73.930574,40.596439,,
42471985,-73.930944,40.596201,,
42471986,-73.931293,40.595984,,
42471988,-73.931684,40.595719,,
42471990,-73.932054,40.59547,,
42471997,-73.933052,40.5948546,,
42474696,-73.929892,40.593638,,
42474705,-73.929533,40.593793,,
42474707,-73.929181,40.594041,,
42474709,-73.928812,40.59428,,
42474713,-73.928437,40.594521,,
42476444,-73.921233,40.585878,,
42476446,-73.921985,40.586516,,
42476451,-73.92351,40.587885,,
42476453,-73.92377,40.588119,,
42476456,-73.924023,40.588347,,
42476466,-73.924529,40.588867,,
42476905,-73.925137,40.588474,,
42476922,-73.922639,40.586096,,
42477538,-73.9283932,40.589069,,
42486860,-73.9193176,40.5860418,,
42486862,-73.920735,40.587324,,
42486867,-73.923319,40.589649,,
42489596,-73.9282,40.589729,,
42489598,-73.929266,40.590688,,
42489601,-73.9302797,40.5916363,,
42492809,-73.925241,40.591644,,
42492810,-73.926305,40.592603,,
42492813,-73.927367,40.593563,,
42492817,-73.929505,40.595481,,
42494598,-73.929875,40.59524,,
42494601,-73.930243,40.595001,,
42494605,-73.930624,40.594763,,
42494607,-73.93078,40.594623,,
42495746,-73.924835,40.588669,,
42495757,-73.921884,40.585895,,
42495761,-73.922325,40.586295,,
42497192,-73.918969,40.586206,,
42497196,-73.920434,40.587522,,
42497211,-73.923022,40.589842,,
42499966,-73.925985,40.591168,,
42499968,-73.927047,40.592124,,
42499971,-73.928112,40.593082,,
42500209,-73.920859,40.586037,,
42500211,-73.921641,40.586737,,
42500215,-73.924229,40.58906,,
42501520,-73.928793,40.589343,,
42501523,-73.928574,40.589486,,
42501528,-73.92746,40.590205,,
42501533,-73.926349,40.590927,,
42501537,-73.925611,40.591404,,
42503004,-73.926262,40.588558,,
42503010,-73.927152,40.58798,,
42503015,-73.925709,40.586463,,
42503016,-73.925172,40.586812,,
42505655,-73.9317297,40.5982615,,
42505658,-73.931487,40.596966,,
42507961,-73.925174,40.585909,,
42507962,-73.92459,40.586288,,
42507964,-73.924179,40.586558,,
42510317,-73.926016,40.588336,,
42510324,-73.926986,40.587704,,
42512033,-73.919921,40.586129,,
42512036,-73.921037,40.587128,,
42512040,-73.923623,40.589452,,
42512045,-73.9247719,40.5904837,,
42512415,-73.929643,40.590447,,
42512420,-73.930101,40.590859,,
42512896,-73.927279,40.588273,,
42512898,-73.926506,40.588773,,
42515236,-73.932576,40.597719,,
42518626,-73.926233,40.586917,,
42518629,-73.925684,40.587273,,
42518674,-73.927786,40.591644,,
42518676,-73.928854,40.592603,,
42518679,-73.9296804,40.5933532,,
42520089,-73.930006,40.5902,,
42520098,-73.930298,40.590454,,
42521503,-73.9323911,40.596868,,
42523659,-73.923555,40.586466,,
42523666,-73.925436,40.588279,,
42523674,-73.926589,40.589321,,
42524213,-73.933955,40.599635,,
42524466,-73.923875,40.586288,,
42524476,-73.925736,40.588085,,
42525629,-73.92486,40.585714,,
42525630,-73.924325,40.5860559,,
42525835,-73.9296,40.592122,,
42525845,-73.928483,40.592842,,
42525851,-73.927739,40.593324,,
42525868,-73.924273,40.586001,,
42525877,-73.925426,40.587042,,
42525886,-73.926226,40.587762,,
42525906,-73.928526,40.591167,,
42525911,-73.930023,40.592505,,
42528086,-73.927415,40.591884,,
42528100,-73.926815,40.587385,,
42528119,-73.923925,40.589255,,
42528131,-73.922715,40.590041,,
42529657,-73.919725,40.587987,,
42529659,-73.92013,40.587718,,
42529665,-73.921338,40.586934,,
42529673,-73.922794,40.586017,,
42531713,-73.925928,40.586715,,
42533895,-73.920449,40.586135,,
42535381,-73.926674,40.592364,,
42536360,-73.918553,40.5863,,
42538095,-73.9301979,40.5900828,,
1258828970,-73.9292008,40.5894772,,
4203227192,-73.9209591,40.5890919,,
4729745527,-73.9254766,40.5931376,,
4729763662,-73.9233405,40.59124,,
4729784495,-73.9265462,40.5941149,,
4729788362,-73.924415,40.5921887,,
4729818078,-73.9240636,40.5918664,,
4729824989,-73.922308,40.590308,,
5263146771,-73.9318829,40.5947538,,
5263147592,-73.9312047,40.5947127,,
