osmid,x,y,ref,highway
42798817,-73.7898,40.7194961,,
42805445,-73.786067,40.720034,,
42805447,-73.78651,40.721353,,
42805453,-73.785287,40.722916,,
42805456,-73.784129,40.723867,,
42805458,-73.781691,40.724975,,
42805460,-73.780768,40.725293,,
42806893,-73.7918869,40.7138079,,
42806895,-73.7899014,40.7143518,,
42806897,-73.7893518,40.7147311,,
42806899,-73.788785,40.715258,,
42806902,-73.7884741,40.7157047,,
42806904,-73.787227,40.716803,,
42806907,-73.786207,40.717408,,
42806910,-73.7850185,40.7177933,,
42806914,-73.783798,40.717918,,
42806916,-73.781598,40.717987,,
42806919,-73.780324,40.718183,,
42806922,-73.778113,40.718014,,
42806926,-73.775836,40.717666,,
42807682,-73.7931921,40.7125492,,
42807688,-73.7913908,40.7130355,,
42807691,-73.7894502,40.713425,,
42807693,-73.787448,40.71368,,
42809677,-73.7867829,40.7185631,,
42809679,-73.785545,40.715958,,
42810102,-73.7809137,40.7198878,,
42810105,-73.780547,40.719247,,
42810109,-73.780425,40.718902,,
42810113,-73.780287,40.71751,,
42810117,-73.78021,40.716783,,
42810122,-73.780124,40.716044,,
42811158,-73.7847974,40.7279577,,
42812432,-73.784346,40.719676,,
42812435,-73.783465,40.717117,,
42812436,-73.783141,40.716434,,
42812579,-73.7828503,40.7197943,,
42812582,-73.781363,40.717185,,
42812586,-73.781527,40.716191,,
42812591,-73.7812324,40.714535,,
42813266,-73.7929887,40.7115005,,
42813268,-73.790599,40.7124611,,
42814808,-73.776414,40.715985,,
42814810,-73.775182,40.716282,,
42815169,-73.7912874,40.7149304,,
42815171,-73.79023,40.715627,,
42815175,-73.7896067,40.7170118,,
42819022,-73.780337,40.727439,,
42820968,-73.792687,40.71568,,
42825718,-73.792341,40.716463,,
42828408,-73.7922461,40.7174422,,traffic_signals
42828411,-73.788546,40.717259,,
42828414,-73.7877699,40.7178156,,
42828418,-73.7852005,40.7189246,,
42828593,-73.778196,40.721235,,
42828624,-73.776208,40.720537,,
42829512,-73.7904283,40.7201306,,
42829618,-73.7908936,40.7188773,,traffic_signals
42829636,-73.789449,40.718896,,
42829640,-73.788841,40.718736,,
42829680,-73.7851791,40.7195744,,
42829686,-73.778909,40.720769,,
42830587,-73.7899776,40.719555,,
42830594,-73.7887979,40.7194817,,
42830596,-73.787673,40.719663,,
42830599,-73.7850437,40.7201865,,
42830602,-73.78349,40.720259,,
42830605,-73.782517,40.72029,,
42830611,-73.7806877,40.721236,,
42830614,-73.779725,40.721715,,
42830619,-73.777579,40.722642,,
42832045,-73.787288,40.714655,,
42834672,-73.782503,40.722215,,
42834673,-73.780445,40.723358,,
42834687,-73.7820063,40.7218131,,
42834688,-73.78166,40.721655,,
42834689,-73.780144,40.722491,,
42841300,-73.780171,40.727082,,
42841312,-73.777876,40.723037,,traffic_signals
42841335,-73.773922,40.715806,,
42851546,-73.788115,40.72106,,
42851549,-73.787894,40.72201,,
42851552,-73.786099,40.723928,,
42851557,-73.784829,40.724927,,
42851561,-73.782555,40.725882,,
42861684,-73.7861758,40.7275121,,
42861686,-73.785749,40.726795,,
42861692,-73.78531,40.726025,,
42861697,-73.783204,40.722932,,
42864169,-73.789464,40.724655,,
42864173,-73.788825,40.722686,,
42869904,-73.786621,40.715325,,
42869907,-73.7857174,40.713166,,
42878976,-73.788492,40.72498,,
42878977,-73.78775,40.723682,,
42879790,-73.7896196,40.7263759,,
42879794,-73.7891012,40.726563,,
42879825,-73.783575,40.7283664,,
42882559,-73.780891,40.72414,,
42882562,-73.7844418,40.7215867,,
42882571,-73.7842969,40.7163411,,
42882576,-73.7828953,40.7140064,,
42884277,-73.788309,40.725956,,
42884281,-73.783169,40.727644,,
42884602,-73.778268,40.720242,,
42884606,-73.776369,40.71877,,
42884616,-73.782921,40.726817,,
42886186,-73.781126,40.719169,,
42887992,-73.793149,40.714933,,
42890950,-73.792404,40.716193,,
42892420,-73.776027,40.715337,,
42892426,-73.7886219,40.7123628,,
42892427,-73.787101,40.71284,,
42892432,-73.7784644,40.715195,,
42892436,-73.7772634,40.715306,,
42892439,-73.7761374,40.715571,,
42893467,-73.787571,40.725282,,
42893469,-73.786803,40.724571,,
42898209,-73.778037,40.717142,,
42900441,-73.7905435,40.7197488,,traffic_signals
42903011,-73.778039,40.718756,,
42909691,-73.782,40.727237,,
42916641,-73.789213,40.720561,,
42923017,-73.778245,40.716339,,
42923384,-73.790357,40.7213827,,traffic_signals
42933360,-73.781406,40.72589,,
42937989,-73.781862,40.72652,,
461232930,-73.7814369,40.7200902,19,motorway_junction
461236241,-73.7866125,40.7195698,,
464765047,-73.7774372,40.7222954,,
1256670633,-73.7919607,40.7139566,,
1398578157,-73.7777877,40.7229105,,traffic_signals
1398578159,-73.7785037,40.7210339,,
1398578616,-73.7794381,40.7204348,,
1398579442,-73.7922855,40.7173005,,
1398579449,-73.7883759,40.7161284,,
1398579467,-73.788137,40.7160102,,
2553789163,-73.7889763,40.7262773,,
2693872578,-73.7833464,40.7150893,,
2693872585,-73.7848213,40.720211,,
2693872587,-73.7846269,40.7213181,,
2693872590,-73.7841715,40.7218257,,
