u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42423039,42450820,0,True,motorway,FDR Drive,133.076,3,,,40 mph,,,,,,,32936739,
42423295,42423296,0,True,motorway_link,,91.17,,,,40 mph,,,,,,,5669190,
42423295,42427747,0,True,residential,"['FDR Drive', 'Cherry Street']",328.281,,,,25 mph,,,,,,,"[125527384, 5670579, 226040987]",
42423295,42437786,0,False,primary,Grand Street,166.192,,,,25 mph,,,,,,,"[194923769, 420884506]",
42423296,370888100,0,True,motorway,FDR Drive,301.227,3,,,40 mph,,,,,,,32936739,
42423307,370892861,0,True,motorway,FDR Drive,896.327,3,,,40 mph,,,,,,,32935111,
42424641,42423295,0,True,residential,FDR Drive,163.297,,,,25 mph,,,,,,,125527383,
42424932,42437071,0,True,residential,Attorney Street,138.116,,,,25 mph,,,,,,,5671400,
42424932,3630219668,0,True,residential,Delancey Street,77.595,,,,25 mph,,,,,,,185934187,
42425100,42429819,0,True,residential,Delancey Street,14.532,,,,25 mph,,,,,,,194923761,
42425955,42427300,0,False,residential,Worth Street,167.738,,,,25 mph,,,,,,,414751576,
42425955,42435434,0,False,residential,Worth Street,90.381,,,,25 mph,,,,,,,414751576,
42427278,42427281,0,True,secondary,Centre Street,59.924,,,,25 mph,,,,,,,40956098,
42427278,4878831008,0,False,secondary,Centre Street,67.915,,,,25 mph,,,,,,,46116314,
42427281,42427300,0,True,secondary,Centre Street,158.141,,,,25 mph,,,,,,,"[5671172, 421825694]",
42427281,42430535,0,False,residential,Duane Street,34.619,,,,,,,,,,,46332307,
42427300,42445466,0,False,residential,Worth Street,90.143,,,,25 mph,,,,,,,194923798,
42427300,42425955,0,False,residential,Worth Street,167.738,,,,25 mph,,,,,,,414751576,
42427335,42433554,0,False,secondary,Samuel Dickstein Plaza,87.214,,,,25 mph,,,,,,,5670574,
42427335,42427337,0,True,residential,Pitt Street,113.705,,,,25 mph,,,,,,,5669639,
42427335,42452107,0,False,primary,Grand Street,83.955,,,,25 mph,,,,,,,"[281455419, 420354355]",
42427335,42440408,0,False,primary,Grand Street,225.573,3,,,25 mph,,,,,,,"[420354360, 281455418, 420354364, 420354365]",
42427337,5173480572,0,True,residential,Pitt Street,42.311,,,,25 mph,,,,,,,5669639,
42427340,5173480571,0,True,residential,Delancey Street,15.248,,,,25 mph,,,,,,,347311223,
42427340,42427345,0,True,residential,Pitt Street,58.478,,,,25 mph,,,,,,,25198488,
42427345,42429806,0,True,residential,Delancey Street,78.728,,,,25 mph,,,,,,,492148700,
42427345,4841945992,0,True,residential,Pitt Street,29.689,,,,25 mph,,,,,,,505773774,
42427346,42437067,0,True,residential,Rivington Street,81.225,,,,25 mph,,,,,,,5670532,
42427346,42427352,0,True,residential,Pitt Street,138.017,,,,25 mph,,,,,,,492148701,
42427352,1228990859,0,False,residential,Stanton Street,213.161,2,,,25 mph,,,,,,,46350695,
42427352,42427358,0,True,residential,Pitt Street,141.92,,,,25 mph,,,,,,,492148701,
42427358,42449874,0,True,primary,East Houston Street,228.747,,,,25 mph,,,,,,,"[46201665, 420629930]",
42427742,592405108,0,False,primary,Grand Street,52.258,,,,25 mph,,,,,,,194923773,
42427742,42452117,0,False,primary,Grand Street,84.301,,,,25 mph,,,,,,,194923774,
42427744,42427747,0,False,residential,Jackson Street,149.862,,,,25 mph,,,,,,,46348787,
42427744,42427742,0,True,residential,Jackson Street,77.639,,,,25 mph,,,,,,,5669662,
42427744,42432000,0,False,residential,Madison Street,258.587,,,,25 mph,,,,,,,125525165,
42427744,42437786,0,False,residential,Madison Street,127.146,,,,25 mph,,,,,,,127691874,
42427747,42427744,0,False,residential,Jackson Street,149.862,,,,25 mph,,,,,,,46348787,
42427747,42427750,0,False,residential,Jackson Street,75.746,,,,25 mph,,,,,,,194923775,
42427750,42427747,0,False,residential,Jackson Street,75.746,,,,25 mph,,,,,,,194923775,
42427750,370888101,0,True,residential,"['Front Street', 'Jackson Street']",211.178,,,,25 mph,,,,,,,"[5672076, 46348790]",
42429643,42429644,0,True,residential,Eldridge Street,110.31,,,,25 mph,,,,,,,127691872,
42429643,42437996,0,False,secondary,Grand Street,72.542,,,,25 mph,,,,,,,226041016,
42429643,42451660,0,False,secondary,Grand Street,79.182,,,,25 mph,,,,,,,226041016,
42429644,42432108,0,True,residential,Broome Street,70.381,,,,25 mph,,,,,,,25198317,
42429644,486867405,0,True,residential,Eldridge Street,100.936,,,,25 mph,,,,,,,127691872,
42429645,42429646,0,True,residential,Eldridge Street,142.57,,,,25 mph,,,,,,,127691872,
42429645,42429756,0,True,primary,Delancey Street,77.56,,,,25 mph,,,,,,,524395517,
42429646,42437111,0,True,residential,Rivington Street,79.115,,,,25 mph,,,,,,,221687788,
42429646,42429647,0,True,residential,Eldridge Street,137.571,,,,25 mph,,,,,,,127691872,
42429647,1918039876,0,True,residential,Eldridge Street,141.745,,,,25 mph,,,,,,,127691872,
42429647,42432057,0,True,residential,Stanton Street,73.652,,,,,,,,,,,439842838,
42429752,1773076511,0,False,primary,Kenmare Street,12.248,,,,25 mph,,,,,,,420354142,
42429752,1773076513,0,True,primary,Bowery,28.282,,,,25 mph,,,,,,,420355077,
42429754,486869282,0,False,secondary,Chrystie Street,18.09,,,,25 mph,,,,,,,46139043,
42429754,486867432,0,True,primary,Delancey Street,66.34,,,,25 mph,,,,,,,"[485165667, 421827959]",
42429754,42432085,0,False,secondary,Chrystie Street,100.092,,,,25 mph,,,,,,,454031476,
42429756,42437111,0,True,residential,Forsyth Street,143.409,,,,25 mph,,,,,,,40709928,
42429756,486869282,0,True,primary,Delancey Street,67.09,,,,25 mph,,,,,,,"[420354140, 524395517, 457937087]",
42429762,486868830,0,True,primary,Allen Street,17.976,,,,25 mph,,,,,,,46139047,
42429762,486867490,0,True,primary,Delancey Street,43.517,,,,25 mph,,,,,,,451954060,
42429766,486868830,0,True,primary,Delancey Street,43.466,,,,25 mph,,,,,,,488272734,
42429766,42437106,0,True,residential,Orchard Street,142.924,,,,25 mph,,,,,,,"[496988369, 384898122]",
42429769,486867459,0,True,residential,Ludlow Street,19.177,,,,25 mph,,,,,,,446864091,
42429769,42429766,0,True,primary,Delancey Street,68.244,,,,25 mph,,,,,,,"[496988368, 446864090]",
42429773,486867513,0,False,residential,Essex Street,18.873,,,,25 mph,,,,,,,231393430,
42429773,42429769,0,True,primary,Delancey Street,74.08,,,,25 mph,,,,,,,40337681,
42429773,42437084,0,False,primary,Essex Street,144.661,,,,25 mph,,,,,,,"[46201668, 421826773]",
42429782,42437082,0,True,residential,Norfolk Street,143.814,,,,25 mph,,,,,,,46201677,
42429782,42429773,0,True,primary,Delancey Street,71.489,,,,25 mph,,,,,,,420354145,
42429806,42435534,0,True,residential,Ridge Street,56.592,,,,25 mph,,,,,,,5670633,
42429806,42424932,0,True,residential,Delancey Street,75.737,,,,25 mph,,,,,,,492148700,
42429809,4300940094,0,True,residential,Delancey Street,47.419,,,,25 mph,,,,,,,5669860,
42429809,42435538,0,True,residential,Bialystoker Place,63.243,,,,25 mph,,,,,,,5671404,
42429811,42429809,0,True,residential,Delancey Street,77.247,,,,25 mph,,,,,,,5669860,
42429812,42429811,0,True,residential,Delancey Street,78.544,,,,25 mph,,,,,,,5669860,
42429812,42435544,0,True,residential,Columbia Street,62.256,,,,25 mph,,,,,,,5671756,
42429812,42437118,0,False,residential,Columbia Street,130.325,,,,25 mph,,,,,,,46349386,
42429814,42429812,0,True,residential,Delancey Street,149.563,,,,25 mph,,,,,,,481962896,
42429819,42435553,0,True,residential,Baruch Drive,62.489,,,,25 mph,,,,,,,5671061,
42429819,42429814,0,True,residential,Delancey Street,77.035,,,,25 mph,,,,,,,194923761,
42430535,42427281,0,False,residential,Duane Street,34.619,,,,,,,,,,,46332307,
42430535,42427278,0,True,secondary,Lafayette Street,54.998,,,,25 mph,,,,,,,496990369,
42430973,42423039,0,True,motorway_link,,123.282,1,,,40 mph,,,,,,,32936733,
42430973,42452936,0,True,residential,FDR Drive,270.386,,,,25 mph,,,,,,,46201666,
42431990,42435910,0,False,residential,Henry Street,74.435,,,,25 mph,,,,,,,5670402,
42431990,4158807592,0,True,residential,Oliver Street,68.099,,,,25 mph,,,,,,,5670058,
42431992,42431990,0,True,residential,Oliver Street,86.284,,,,25 mph,,,,,,,5670058,
42431992,42437124,0,False,secondary,Madison Street,71.583,,,,25 mph,,,,,,,414750044,
42431992,42437753,0,False,secondary,Madison Street,76.835,,,,25 mph,,,,,,,414750044,
42432000,42437773,0,False,residential,Madison Street,99.72,,,,25 mph,,,,,,,451954039,
42432000,42427744,0,False,residential,Madison Street,258.587,,,,25 mph,,,,,,,125525165,
42432002,42434833,0,True,residential,Water Street,24.523,,,,25 mph,,,,,,,5673073,
42432002,42432000,0,True,residential,Gouverneur Street,210.722,,,,25 mph,,,,,,,5670070,
42432054,42429647,0,True,residential,Stanton Street,78.929,,,,,,,,,,,5670076,
42432054,1918039896,0,True,residential,Forsyth Street,142.63,,,,25 mph,,,,,,,40709928,
42432057,42437109,0,True,primary,Allen Street,137.779,,,,25 mph,,,,,,,195743130,
42432060,805771586,0,True,primary,Allen Street,143.453,,,,25 mph,,,,,,,"[221687792, 439933936]",
42432060,42432063,0,True,residential,Stanton Street,43.405,,,,25 mph,,,,,,,496986998,
42432063,42432066,0,True,residential,Stanton Street,68.042,,,,25 mph,,,,,,,110854073,
42432063,1919595914,0,True,residential,Orchard Street,141.7,,,,25 mph,,,,,,,"[496986996, 496986997]",
42432066,42437096,0,True,residential,Ludlow Street,137.2,,,,25 mph,,,,,,,5670922,
42432066,42432068,0,True,residential,Stanton Street,74.277,,,,25 mph,,,,,,,110854073,
42432068,42437084,0,False,primary,Essex Street,137.31,,,,25 mph,,,,,,,46201668,
42432068,1919595929,0,False,primary,Essex Street,141.159,,,,25 mph,,,,,,,46201668,
42432068,42432071,0,True,residential,Stanton Street,71.743,,,,25 mph,,,,,,,110854073,
42432071,1919595924,0,True,residential,Norfolk Street,140.917,,,,25 mph,,,,,,,46201677,
42432071,42432073,0,True,residential,Stanton Street,76.291,,,,25 mph,,,,,,,110854073,
42432073,42437078,0,True,residential,Suffolk Street,137.548,,,,25 mph,,,,,,,110542344,
42432073,42432075,0,True,residential,Stanton Street,76.835,,,,25 mph,,,,,,,110854073,
42432075,3670609093,0,True,residential,Stanton Street,76.4,,,,25 mph,,,,,,,110854073,
42432075,1919595921,0,True,residential,Clinton Street,141.423,,,,25 mph,,,,,,,357946354,
42432078,42437067,0,True,residential,Ridge Street,137.915,,,,25 mph,,,,,,,5670633,
42432078,42427352,0,True,residential,Stanton Street,79.457,,,,25 mph,,,,,,,110854073,
42432082,1773082408,0,True,residential,Stanton Street,10.614,,,,25 mph,,,,,,,5670077,
42432082,42437608,0,True,primary,Bowery,51.388,,,,25 mph,,,,,,,40709921,
42432083,1918039877,0,False,secondary,Chrystie Street,140.963,,,,25 mph,,,,,,,454963832,
42432083,42437113,0,False,secondary,Chrystie Street,138.772,,,,25 mph,,,,,,,454963832,
42432085,42452067,0,False,secondary,Chrystie Street,108.549,,,,25 mph,,,,,,,454031476,
42432085,42432184,0,True,residential,Broome Street,98.028,,,,25 mph,,,,,,,5670079,
42432085,42429754,0,False,secondary,Chrystie Street,100.092,,,,25 mph,,,,,,,454031476,
42432091,42427337,0,True,residential,Broome Street,83.377,,,,25 mph,,,,,,,39662324,
42432094,42432091,0,True,residential,Broome Street,151.064,,,,25 mph,,,,,,,39662324,
42432094,42432095,0,True,residential,Broome Street,76.387,,,,25 mph,,,,,,,190550014,
42432094,3630249566,0,True,residential,Clinton Street,86.257,,,,25 mph,,,,,,,347311224,
42432095,42447428,0,True,residential,Suffolk Street,113.933,,,,25 mph,,,,,,,46349390,
42432095,42432097,0,True,residential,Broome Street,76.06,,,,25 mph,,,,,,,190550014,
42432097,486867534,0,True,primary,Norfolk Street,96.892,,,,25 mph,,,,,,,5671920,
42432099,42432097,0,True,residential,Broome Street,71.927,,,,25 mph,,,,,,,39956200,
42432099,486867513,0,False,residential,Essex Street,96.936,,,,25 mph,,,,,,,194923768,
42432099,42452084,0,False,residential,Essex Street,111.611,,,,25 mph,,,,,,,194923768,
42432102,42432099,0,True,residential,Broome Street,73.233,,,,25 mph,,,,,,,315174425,
42432102,42440686,0,True,residential,Ludlow Street,110.039,,,,25 mph,,,,,,,446864091,
42432103,42432102,0,True,residential,Broome Street,68.47,,,,25 mph,,,,,,,315174425,
42432103,486867490,0,True,residential,Orchard Street,98.532,,,,25 mph,,,,,,,5672899,
42432105,42432103,0,True,residential,Broome Street,43.881,,,,25 mph,,,,,,,315174425,
42432105,42429762,0,True,primary,Allen Street,100.235,,,,25 mph,,,,,,,524394634,
42432108,42437996,0,True,primary,Allen Street,110.173,,,,25 mph,,,,,,,46139048,
42432111,42429644,0,True,residential,Broome Street,79.269,,,,25 mph,,,,,,,25198317,
42432111,486867432,0,True,residential,Forsyth Street,99.349,,,,25 mph,,,,,,,40709928,
42432184,42437589,0,False,primary,Bowery,116.625,,,,25 mph,,,,,,,165777195,
42432184,1773076513,0,False,primary,Bowery,74.22,,,,25 mph,,,,,,,165777195,
42433302,4158680481,0,True,residential,Catherine Street,129.971,,,,25 mph,,,,,,,5670536,
42433302,42448430,0,True,residential,Monroe Street,213.839,,,,25 mph,,,,,,,5671584,
42433324,588455858,0,True,residential,Water Street,26.028,,,,25 mph,,,,,,,5673077,
42433324,42437135,0,True,residential,Catherine Slip,64.403,,,,25 mph,,,,,,,46224832,
42433537,42435910,0,True,residential,Catherine Street,75.412,,,,25 mph,,,,,,,5670536,
42433537,42433539,0,False,secondary,East Broadway,232.249,,,,25 mph,,,,,,,5673424,
42433537,588455742,0,False,secondary,East Broadway,67.881,,,,25 mph,,,,,,,"[421824309, 196117014]",
42433539,42433542,0,False,secondary,East Broadway,52.065,,,,25 mph,,,,,,,5673424,
42433539,42433537,0,False,secondary,East Broadway,232.249,,,,25 mph,,,,,,,5673424,
42433542,42433539,0,False,secondary,East Broadway,52.065,,,,25 mph,,,,,,,5673424,
42433542,42433543,0,False,secondary,East Broadway,82.138,,,,25 mph,,,,,,,5673424,
42433542,42435920,0,True,residential,Forsyth Street,78.26,,,,25 mph,,alley,,,,,5671928,
42433543,42433542,0,False,secondary,East Broadway,82.138,,,,25 mph,,,,,,,5673424,
42433543,42457821,0,False,secondary,East Broadway,19.146,,,,25 mph,,,,,,,452339695,
42433545,5407894891,0,False,secondary,East Broadway,193.743,,,,25 mph,,,,,,,46154289,
42433545,42437972,0,True,primary,Pike Street,58.369,,,,25 mph,,,,,,,"[224671408, 420357267]",
42433545,42457821,0,False,secondary,East Broadway,21.681,,,,25 mph,,,,,,,525698215,
42433550,42435925,0,True,residential,Jefferson Street,75.392,,,,25 mph,,,,,,,5672528,
42433550,42433551,0,False,secondary,East Broadway,128.636,,,,25 mph,,,,,,,560788342,
42433550,5407894891,0,False,secondary,East Broadway,128.373,,,,25 mph,,,,,,,560788342,
42433551,42440408,0,False,residential,Clinton Street,189.032,,,,25 mph,,,,,,,39662323,
42433551,42433553,0,False,secondary,East Broadway,155.978,,,,25 mph,,,,,,,39956203,
42433551,42433550,0,False,secondary,East Broadway,128.636,,,,25 mph,,,,,,,560788342,
42433553,588455700,0,True,residential,Montgomery Street,76.281,,,,25 mph,,,,,,,5670711,
42433553,42433554,0,False,secondary,East Broadway,53.88,,,,25 mph,,,,,,,39956203,
42433553,42433551,0,False,secondary,East Broadway,155.978,,,,25 mph,,,,,,,39956203,
42433554,42427335,0,False,secondary,Samuel Dickstein Plaza,87.214,,,,25 mph,,,,,,,5670574,
42433554,42433553,0,False,secondary,East Broadway,53.88,,,,25 mph,,,,,,,39956203,
42433554,42435931,0,False,secondary,Samuel Dickstein Plaza,85.181,,,,25 mph,,,,,,,5670574,
42433554,42433555,0,False,secondary,East Broadway,124.723,,,,25 mph,,,,,,,39956203,
42433555,4375208206,0,True,residential,East Broadway,68.369,,,,25 mph,,,,,,,5670191,
42433555,42433554,0,False,secondary,East Broadway,124.723,,,,25 mph,,,,,,,39956203,
42433557,42452107,0,False,primary,Grand Street,29.63,,,,25 mph,,,,,,,281455419,
42433557,42433555,0,True,secondary,East Broadway,34.709,,,,25 mph,,,,,,,46348783,
42433557,4375208206,0,False,primary,Grand Street,50.818,,,,25 mph,,,,,,,"[439842827, 281455419]",
42434832,42436971,0,True,secondary,Front Street,49.518,,,,25 mph,,,,,,,46629376,
42434833,42434832,0,True,residential,Gouverneur Slip East,58.111,,,,,,,,,,,5670299,
42434833,42427750,0,True,residential,Water Street,228.487,,,,25 mph,,,,,,,5673073,
42435434,42435435,0,True,residential,Mulberry Street,57.749,,,,25 mph,,,,,,,5670366,
42435434,42425955,0,False,residential,Worth Street,90.381,,,,25 mph,,,,,,,414751576,
42435434,1773055865,0,False,residential,Worth Street,88.892,,,,25 mph,,,,,,,414751576,
42435534,42432091,0,True,residential,Ridge Street,66.57,,,,25 mph,,,,,,,40174797,
