osmid,x,y,ref,highway
42947294,-74.088276,40.576759,,
42947299,-74.0898495,40.575037,,
42947303,-74.090328,40.574515,,
42947304,-74.091136,40.573656,,
42947309,-74.0920852,40.5726584,,
42947313,-74.092645,40.572062,,
42947316,-74.093435,40.571221,,
42947320,-74.094445,40.570131,,
42948254,-74.094848,40.580603,,
42949964,-74.0834179,40.5756305,,
42949971,-74.084356,40.576394,,
42949975,-74.084723,40.576689,,
42950390,-74.08887,40.573723,,
42950394,-74.0891523,40.5734211,,
42950396,-74.089681,40.572863,,
42950398,-74.090129,40.572381,,
42950401,-74.090607,40.57187,,
42950407,-74.0911683,40.5712711,,
42950415,-74.091988,40.57042,,
42950422,-74.092959,40.569387,,
42950450,-74.0822936,40.5814712,,
42950451,-74.0827729,40.5809184,,
42950455,-74.0832494,40.580334,,
42950476,-74.086772,40.575942,,
42955259,-74.09688,40.578798,,
42955264,-74.094665,40.577657,,
42955268,-74.092785,40.576694,,
42955505,-74.093192,40.582462,,
42955508,-74.091414,40.581548,,
42955512,-74.089353,40.580491,,
42955514,-74.087152,40.579358,,
42955520,-74.083526,40.577011,,
42955522,-74.0824969,40.5761512,,traffic_signals
42957538,-74.0865823,40.5836798,,
42957540,-74.087072,40.58305,,
42957546,-74.087689,40.582343,,
42957551,-74.088232,40.581732,,
42957555,-74.088754,40.58114,,
42957577,-74.0912125,40.5783804,,
42957592,-74.092134,40.577398,,
42957595,-74.0930166,40.5764647,,
42957602,-74.093357,40.576047,,
42957605,-74.094502,40.574793,,
42957608,-74.095574,40.573658,,
42957610,-74.09637,40.57281,,
42957614,-74.097343,40.571765,,
42961340,-74.086425,40.5752,,
42961344,-74.086131,40.574997,,
42961352,-74.086024,40.575526,,
42963894,-74.096132,40.577526,,
42963903,-74.094837,40.576806,,
42963906,-74.094087,40.576419,,
42963908,-74.092572,40.575672,,
42963911,-74.091822,40.575275,,
42963913,-74.091094,40.5749,,
42963915,-74.089605,40.57413,,
42963921,-74.0877211,40.5730688,,traffic_signals
42964692,-74.0885569,40.5847291,,
42964696,-74.0843803,40.5825409,,
42964704,-74.0799568,40.5802826,,
42964707,-74.0783867,40.5794645,,
42964710,-74.0779119,40.5792348,,
42964948,-74.089684,40.577532,,
42964968,-74.092603,40.574462,,
42964972,-74.093485,40.573527,,
42964975,-74.094114,40.572861,,
42964979,-74.094903,40.572011,,
42964982,-74.0958082,40.5709452,,
42965787,-74.100037,40.574799,,
42965789,-74.101009,40.573755,,
42970173,-74.084953,40.5819553,,
42970188,-74.0860925,40.5806403,,
42970193,-74.086604,40.580034,,
42970203,-74.088974,40.577145,,
42970215,-74.091514,40.574449,,
42970219,-74.091876,40.574063,,
42970221,-74.0928227,40.5730444,,
42970225,-74.093378,40.572457,,
42970228,-74.094172,40.571612,,stop
42970234,-74.095143,40.570572,,
42972588,-74.095231,40.57519,,
42972589,-74.096306,40.574055,,
42972591,-74.097098,40.573206,,
42972593,-74.098076,40.572165,,
42975737,-74.099298,40.574402,,
42975739,-74.09856,40.574002,,
42975750,-74.097836,40.573606,,
42975754,-74.095635,40.572413,,
42975760,-74.092702,40.570817,,
42975762,-74.0911442,40.5699743,,
42978998,-74.078921,40.578872,,
42979002,-74.079544,40.57825,,
42979005,-74.081103,40.577217,,
42982082,-74.080472,40.579699,,
42982129,-74.090895,40.585057,,
42982131,-74.0891257,40.584143,,
42982334,-74.0976116,40.5747771,,
42982343,-74.0970313,40.5744581,,
42982348,-74.094843,40.573259,,traffic_signals
42982356,-74.091912,40.571662,,
42982360,-74.0903366,40.570817,,traffic_signals
42983602,-74.093797,40.581816,,
42983607,-74.092002,40.58089,,
42983618,-74.0843395,40.5769898,,
42983621,-74.083957,40.576677,,
42983623,-74.0829612,40.5758947,,
42986611,-74.093356,40.574843,,
42986620,-74.090405,40.573267,,
42986630,-74.088766,40.572375,,
42986831,-74.0792079,40.5780942,,
42986833,-74.0808595,40.5770963,,
42986852,-74.0838303,40.5753814,,
42986856,-74.0842986,40.5750995,,
42986861,-74.0849409,40.5747274,,
42986869,-74.0858614,40.5741743,,
42986878,-74.0891962,40.5719599,,
42986884,-74.0897786,40.5714096,,
42986891,-74.092128,40.5689362,,
42987143,-74.081081,40.579022,,
42987147,-74.082176,40.577783,,
42987158,-74.083047,40.57735,,
42987163,-74.084744,40.576112,,
42987166,-74.08519,40.575811,,
42987172,-74.0853518,40.5756939,,
42988228,-74.090307,40.582798,,
42994779,-74.095969,40.575596,,
42994792,-74.0988015,40.572571,,
42995513,-74.0920592,40.577811,,
43000407,-74.097985,40.577503,,
43000409,-74.096693,40.576867,,
43002479,-74.096477,40.577113,,
43004447,-74.0923214,40.5759367,,
43004452,-74.093761,40.574396,,
43004459,-74.096609,40.571368,,
43006432,-74.092534,40.580341,,
43006519,-74.085378,40.5759663,,
43011126,-74.087512,40.576355,,
43012708,-74.096046,40.579417,,
43012710,-74.094037,40.578379,,
43012718,-74.0877668,40.5761001,,
43012745,-74.095335,40.580024,,
43012747,-74.093443,40.579049,,
43013358,-74.082874,40.578143,,
43013372,-74.09083,40.582209,,
43013375,-74.092605,40.58312,,
43013705,-74.098474,40.576906,,
43014517,-74.096597,40.575928,,
43014677,-74.1002731,40.573364,,
43014683,-74.099541,40.572959,,
43014703,-74.093676,40.569777,,
43014717,-74.095761,40.576757,,
43015585,-74.0981391,40.5742098,,
43015612,-74.089783,40.583392,,
43015633,-74.094951,40.577327,,
43019664,-74.088809,40.5732213,,
43020470,-74.085198,40.576491,,
43025723,-74.08708,40.576865,,
43025744,-74.089025,40.57477,,
43025748,-74.091362,40.572257,,
43026416,-74.0914103,40.574388,,
43027356,-74.090293,40.571682,,
392191871,-74.0969996,40.5773485,,
392198428,-74.094019,40.5815814,,
2545398297,-74.0905058,40.5801528,,
3552422325,-74.0910005,40.5698953,,
3552422327,-74.0902068,40.5707464,,traffic_signals
3552422336,-74.087639,40.5729897,,traffic_signals
3552422343,-74.0857712,40.5740821,,
3552422346,-74.0848412,40.5746327,,
3552422349,-74.0832873,40.575542,,
3552422351,-74.0823949,40.576059,,traffic_signals
3552422352,-74.0807553,40.5770056,,
3552422357,-74.0790925,40.5780181,,
3552422358,-74.0777761,40.5791669,,
3658635103,-74.0885798,40.5764261,,
5031334609,-74.0915845,40.577894,,
5031334611,-74.0914897,40.5780022,,
5031334612,-74.0917972,40.5781554,,
5049354235,-74.0855086,40.5743846,,
5221779971,-74.0959394,40.5710073,,
5221779972,-74.0958238,40.571023,,
5221779973,-74.0959158,40.5709306,,
5226604977,-74.0943497,40.5702226,,
5226604978,-74.0944638,40.5702086,,
5226604979,-74.0943344,40.5701458,,
5396439182,-74.095842,40.5782637,,
5414462257,-74.0816608,40.580326,,
